Région,Province,Arrondissement,Année,Mois,Entreprises Act. Fin T-1,Primo-assujetissements,Ré-assujetissements,Cessations,Immigration,Emigration,Entreprises Act. Fin T
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,août,114616.0,602.0,83.0,-405.0,208.0,-304.0,114800.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,avril,113578.0,1236.0,138.0,-758.0,224.0,-357.0,114061.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,décembre,115698.0,634.0,77.0,-796.0,273.0,-345.0,115541.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,février,113576.0,868.0,120.0,-766.0,242.0,-296.0,113744.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,janvier,113194.0,1286.0,131.0,-973.0,215.0,-277.0,113576.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,juillet,114295.0,1027.0,126.0,-748.0,180.0,-264.0,114616.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,juin,114373.0,674.0,91.0,-787.0,235.0,-291.0,114295.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,mai,114061.0,827.0,89.0,-572.0,220.0,-252.0,114373.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,mars,113744.0,882.0,111.0,-1011.0,243.0,-391.0,113578.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,novembre,115355.0,849.0,95.0,-559.0,266.0,-308.0,115698.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,octobre,114671.0,1204.0,145.0,-589.0,225.0,-301.0,115355.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2021,septembre,114800.0,642.0,65.0,-743.0,222.0,-315.0,114671.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,août,117720.0,617.0,68.0,-531.0,196.0,-325.0,117745.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,avril,116819.0,1275.0,138.0,-787.0,227.0,-305.0,117367.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,décembre,118566.0,665.0,47.0,-941.0,251.0,-302.0,118286.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,février,116594.0,1106.0,107.0,-753.0,253.0,-336.0,116971.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,janvier,115541.0,1977.0,149.0,-987.0,208.0,-294.0,116594.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,juillet,117454.0,1019.0,101.0,-749.0,194.0,-299.0,117720.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,juin,117591.0,669.0,62.0,-807.0,226.0,-287.0,117454.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,mai,117367.0,827.0,65.0,-566.0,204.0,-306.0,117591.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,mars,116971.0,848.0,90.0,-990.0,238.0,-338.0,116819.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,novembre,118316.0,899.0,77.0,-667.0,270.0,-329.0,118566.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,octobre,117564.0,1298.0,136.0,-715.0,290.0,-257.0,118316.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2022,septembre,117745.0,652.0,72.0,-799.0,210.0,-316.0,117564.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,août,118954.0,585.0,66.0,-565.0,195.0,-293.0,118942.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,avril,118601.0,1192.0,142.0,-862.0,195.0,-269.0,118999.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,décembre,119557.0,594.0,52.0,-1070.0,264.0,-313.0,119084.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,février,118562.0,912.0,114.0,-749.0,240.0,-338.0,118741.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,janvier,118286.0,1354.0,155.0,-1128.0,250.0,-355.0,118562.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,juillet,118694.0,1016.0,110.0,-823.0,195.0,-238.0,118954.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,juin,118948.0,632.0,72.0,-901.0,213.0,-270.0,118694.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,mai,118999.0,747.0,69.0,-843.0,231.0,-255.0,118948.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,mars,118741.0,896.0,87.0,-1025.0,257.0,-355.0,118601.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,novembre,119374.0,894.0,78.0,-714.0,244.0,-319.0,119557.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,octobre,118869.0,1311.0,141.0,-885.0,282.0,-344.0,119374.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2023,septembre,118942.0,684.0,61.0,-750.0,245.0,-313.0,118869.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2024,août,121640.0,755.0,81.0,-587.0,255.0,-286.0,121858.0
Région de Bruxelles-Capitale,nan,Arrondissement de Bruxelles-Capitale,2024,avril,120468.0,1565.0,141.0,-1032.0,312.0,-339.0,121115.0
