zone_id,target_year,a10,jobs,jobs_suppressed
CR01,2010,A,0.4,0
CR01,2010,BE,8.6,0
CR01,2010,FZ,1.9,0
CR01,2010,GI,11.4,0
CR01,2010,JZ,0.2,0
CR01,2010,KZ,0.7,0
CR01,2010,LZ,0.4,0
CR01,2010,MN,5.6,0
CR01,2010,OPQ,17.1,0
CR01,2010,RSU,1.3,0
CR01,2011,A,0.4,0
CR01,2011,BE,8.7,0
CR01,2011,FZ,1.9,0
CR01,2011,GI,11.4,0
CR01,2011,JZ,0.2,0
CR01,2011,KZ,0.9,0
CR01,2011,LZ,0.4,0
CR01,2011,MN,5.4,0
CR01,2011,OPQ,17.4,0
CR01,2011,RSU,1.2,0
CR01,2012,A,0.4,0
CR01,2012,BE,8.5,0
CR01,2012,FZ,1.9,0
CR01,2012,GI,11.0,0
CR01,2012,JZ,0.3,0
CR01,2012,KZ,0.7,0
CR01,2012,LZ,0.5,0
CR01,2012,MN,5.2,0
CR01,2012,OPQ,16.7,0
CR01,2012,RSU,1.1,0
CR01,2013,A,0.4,0
CR01,2013,BE,8.5,0
CR01,2013,FZ,1.8,0
CR01,2013,GI,10.1,0
CR01,2013,JZ,0.2,0
CR01,2013,KZ,0.6,0
CR01,2013,LZ,0.4,0
CR01,2013,MN,5.5,0
CR01,2013,OPQ,17.1,0
CR01,2013,RSU,1.1,0
CR01,2014,A,0.4,0
CR01,2014,BE,8.6,0
CR01,2014,FZ,1.6,0
CR01,2014,GI,9.6,0
CR01,2014,JZ,0.0,1
CR01,2014,KZ,0.5,0
CR01,2014,LZ,0.0,1
CR01,2014,MN,5.4,0
CR01,2014,OPQ,17.9,0
CR01,2014,RSU,1.0,0
CR01,2015,A,0.4,0
CR01,2015,BE,8.5,0
CR01,2015,FZ,1.6,0
CR01,2015,GI,9.9,0
CR01,2015,JZ,0.0,1
CR01,2015,KZ,0.7,0
CR01,2015,LZ,0.0,1
CR01,2015,MN,6.0,0
CR01,2015,OPQ,15.9,0
CR01,2015,RSU,1.1,0
CR01,2016,A,0.4,0
CR01,2016,BE,0.0,1
CR01,2016,FZ,1.7,0
CR01,2016,GI,0.0,1
CR01,2016,JZ,0.3,0
CR01,2016,KZ,0.7,0
CR01,2016,LZ,0.0,1
CR01,2016,MN,6.2,0
CR01,2016,OPQ,0.0,1
CR01,2016,RSU,1.0,0
CR01,2017,A,0.5,0
CR01,2017,BE,0.0,1
CR01,2017,FZ,1.7,0
CR01,2017,GI,0.0,1
CR01,2017,JZ,0.4,0
CR01,2017,KZ,0.6,0
CR01,2017,LZ,0.0,1
CR01,2017,MN,6.3,0
CR01,2017,OPQ,0.0,1
CR01,2017,RSU,1.1,0
CR01,2018,A,0.4,0
CR01,2018,BE,0.0,1
CR01,2018,FZ,1.7,0
CR01,2018,GI,0.0,1
CR01,2018,JZ,0.5,0
CR01,2018,KZ,0.7,0
CR01,2018,LZ,0.0,1
CR01,2018,MN,5.9,0
CR01,2018,OPQ,0.0,1
CR01,2018,RSU,1.1,0
CR01,2019,A,0.4,0
CR01,2019,BE,8.1,0
CR01,2019,FZ,2.0,0
CR01,2019,GI,10.3,0
CR01,2019,JZ,0.5,0
CR01,2019,KZ,0.6,0
CR01,2019,LZ,0.3,0
CR01,2019,MN,6.1,0
CR01,2019,OPQ,17.1,0
CR01,2019,RSU,1.0,0
CR01,2020,A,0.4,0
CR01,2020,BE,7.9,0
CR01,2020,FZ,2.1,0
CR01,2020,GI,10.4,0
CR01,2020,JZ,0.6,0
CR01,2020,KZ,0.6,0
CR01,2020,LZ,0.3,0
CR01,2020,MN,5.5,0
CR01,2020,OPQ,17.4,0
CR01,2020,RSU,1.0,0
CR01,2021,A,0.4,0
CR01,2021,BE,8.1,0
CR01,2021,FZ,2.2,0
CR01,2021,GI,10.6,0
CR01,2021,JZ,0.6,0
CR01,2021,KZ,0.6,0
CR01,2021,LZ,0.4,0
CR01,2021,MN,5.0,0
CR01,2021,OPQ,18.1,0
CR01,2021,RSU,1.1,0
CR01,2022,A,0.4,0
CR01,2022,BE,8.1,0
CR01,2022,FZ,2.2,0
CR01,2022,GI,11.4,0
CR01,2022,JZ,0.5,0
CR01,2022,KZ,0.6,0
CR01,2022,LZ,0.4,0
CR01,2022,MN,5.2,0
CR01,2022,OPQ,18.1,0
CR01,2022,RSU,1.0,0
CR01,2023,A,0.5,0
CR01,2023,BE,7.5,0
CR01,2023,FZ,2.5,0
CR01,2023,GI,11.5,0
CR01,2023,JZ,0.3,0
CR01,2023,KZ,0.6,0
CR01,2023,LZ,0.4,0
CR01,2023,MN,5.3,0
CR01,2023,OPQ,18.0,0
CR01,2023,RSU,1.1,0
CR01,2024,A,0.6,0
CR01,2024,BE,7.6,0
CR01,2024,FZ,2.5,0
CR01,2024,GI,11.6,0
CR01,2024,JZ,0.3,0
CR01,2024,KZ,0.3,0
CR01,2024,LZ,0.4,0
CR01,2024,MN,5.2,0
CR01,2024,OPQ,18.6,0
CR01,2024,RSU,1.0,0
CR02,2010,A,0.2,0
CR02,2010,BE,3.7,0
CR02,2010,FZ,0.6,0
CR02,2010,GI,4.2,0
CR02,2010,JZ,0.0,0
CR02,2010,KZ,0.4,0
