zone_id,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
CR01,2007,55.0,195.0,405.0,65.0,45.0,20.0,195.0,65.0,175.0,1220.0
CR01,2008,45.0,180.0,335.0,50.0,65.0,25.0,200.0,55.0,140.0,1095.0
CR01,2009,40.0,140.0,300.0,40.0,55.0,25.0,190.0,120.0,155.0,1065.0
CR01,2010,25.0,100.0,260.0,45.0,40.0,15.0,165.0,80.0,110.0,840.0
CR01,2011,35.0,120.0,255.0,45.0,35.0,20.0,185.0,50.0,105.0,850.0
CR01,2012,45.0,85.0,250.0,30.0,45.0,5.0,205.0,45.0,100.0,810.0
CR01,2013,45.0,70.0,275.0,35.0,35.0,15.0,200.0,45.0,100.0,820.0
CR01,2014,35.0,90.0,255.0,40.0,35.0,15.0,185.0,40.0,115.0,810.0
CR01,2015,45.0,85.0,225.0,30.0,35.0,10.0,165.0,170.0,125.0,890.0
CR01,2016,40.0,75.0,220.0,35.0,50.0,5.0,200.0,180.0,110.0,915.0
CR01,2017,35.0,90.0,225.0,20.0,40.0,10.0,150.0,190.0,90.0,850.0
CR01,2018,40.0,90.0,200.0,25.0,55.0,10.0,170.0,155.0,125.0,870.0
CR01,2019,35.0,95.0,220.0,50.0,25.0,10.0,170.0,180.0,115.0,900.0
CR01,2020,50.0,120.0,270.0,40.0,45.0,10.0,190.0,160.0,115.0,1000.0
CR01,2021,55.0,115.0,265.0,30.0,30.0,15.0,180.0,165.0,105.0,960.0
CR01,2022,60.0,160.0,215.0,25.0,25.0,10.0,175.0,195.0,135.0,1000.0
CR01,2023,55.0,210.0,235.0,25.0,15.0,15.0,235.0,175.0,120.0,1085.0
CR01,2024,50.0,160.0,275.0,30.0,15.0,10.0,245.0,160.0,120.0,1065.0
CR01,2025,50.0,115.0,255.0,35.0,5.0,10.0,205.0,130.0,120.0,925.0
CR02,2007,20.0,55.0,130.0,20.0,10.0,5.0,65.0,20.0,45.0,370.0
CR02,2008,15.0,40.0,110.0,10.0,15.0,5.0,55.0,20.0,30.0,300.0
CR02,2009,10.0,20.0,100.0,15.0,15.0,5.0,65.0,55.0,45.0,330.0
