zone_id,target_year,stock
CR01,2015,11030.0
CR01,2016,11325.0
CR01,2017,11605.0
CR01,2018,10975.0
CR01,2019,11385.0
CR01,2020,11730.0
CR01,2021,12090.0
CR01,2022,12805.0
CR01,2023,13140.0
CR01,2024,13800.0
CR01,2025,13965.0
CR02,2015,3390.0
CR02,2016,3510.0
CR02,2017,3545.0
CR02,2018,3550.0
CR02,2019,3625.0
CR02,2020,3695.0
CR02,2021,3775.0
CR02,2022,4020.0
CR02,2023,4110.0
CR02,2024,4375.0
CR02,2025,4405.0
CR03,2015,33995.0
CR03,2016,35535.0
CR03,2017,36525.0
CR03,2018,38950.0
CR03,2019,40350.0
CR03,2020,42065.0
CR03,2021,43550.0
CR03,2022,46785.0
CR03,2023,48220.0
CR03,2024,51260.0
CR03,2025,52090.0
CR04,2015,28565.0
CR04,2016,29720.0
CR04,2017,30415.0
CR04,2018,30845.0
CR04,2019,32040.0
CR04,2020,33270.0
CR04,2021,34405.0
CR04,2022,37010.0
CR04,2023,38415.0
CR04,2024,40715.0
CR04,2025,41340.0
CR05,2015,14625.0
CR05,2016,15055.0
CR05,2017,15370.0
CR05,2018,16555.0
CR05,2019,17130.0
CR05,2020,17615.0
CR05,2021,18025.0
CR05,2022,19245.0
CR05,2023,19670.0
CR05,2024,20435.0
CR05,2025,20695.0
CR06,2015,17270.0
CR06,2016,17960.0
CR06,2017,18360.0
CR06,2018,18960.0
CR06,2019,19485.0
CR06,2020,20185.0
CR06,2021,20640.0
CR06,2022,22140.0
CR06,2023,22820.0
CR06,2024,23880.0
CR06,2025,24250.0
CR07,2015,16395.0
CR07,2016,17130.0
CR07,2017,17550.0
CR07,2018,18225.0
CR07,2019,18915.0
CR07,2020,19615.0
CR07,2021,19995.0
CR07,2022,21380.0
CR07,2023,21945.0
CR07,2024,22980.0
CR07,2025,23410.0
CR08,2015,13950.0
CR08,2016,14425.0
CR08,2017,14695.0
CR08,2018,15120.0
CR08,2019,15535.0
CR08,2020,16050.0
CR08,2021,16440.0
CR08,2022,17585.0
CR08,2023,17900.0
CR08,2024,18830.0
CR08,2025,19050.0
CR09,2015,12150.0
CR09,2016,12580.0
CR09,2017,12980.0
CR09,2018,13470.0
CR09,2019,13980.0
CR09,2020,14495.0
CR09,2021,14905.0
CR09,2022,15870.0
CR09,2023,16185.0
CR09,2024,16900.0
CR09,2025,17205.0
CR10,2015,32970.0
CR10,2016,34355.0
CR10,2017,35420.0
CR10,2018,36920.0
CR10,2019,38655.0
CR10,2020,40170.0
CR10,2021,41485.0
CR10,2022,44475.0
CR10,2023,46030.0
CR10,2024,48485.0
CR10,2025,49480.0
CR11,2015,13025.0
CR11,2016,13620.0
CR11,2017,14075.0
CR11,2018,14685.0
CR11,2019,15335.0
CR11,2020,16020.0
CR11,2021,16575.0
CR11,2022,17795.0
CR11,2023,18450.0
CR11,2024,19570.0
CR11,2025,20065.0
CR12,2015,53330.0
CR12,2016,55440.0
CR12,2017,56765.0
CR12,2018,58730.0
CR12,2019,60540.0
CR12,2020,62535.0
CR12,2021,64110.0
CR12,2022,68820.0
CR12,2023,70700.0
CR12,2024,74415.0
CR12,2025,75570.0
CR13,2015,63830.0
CR13,2016,66615.0
CR13,2017,68690.0
CR13,2018,71550.0
CR13,2019,74915.0
CR13,2020,78480.0
CR13,2021,81320.0
CR13,2022,87935.0
CR13,2023,90900.0
CR13,2024,96240.0
CR13,2025,98205.0
CR14,2015,37825.0
CR14,2016,39190.0
CR14,2017,40360.0
CR14,2018,41520.0
CR14,2019,42820.0
CR14,2020,44295.0
CR14,2021,45495.0
CR14,2022,48740.0
