ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,BanenVanWerknemersInDecember_1
315,T001081,CR01  ,2010JJ00,47.7
316,T001081,CR01  ,2011JJ00,47.8
317,T001081,CR01  ,2012JJ00,46.1
318,T001081,CR01  ,2013JJ00,45.7
319,T001081,CR01  ,2014JJ00,45.8
320,T001081,CR01  ,2015JJ00,44.8
321,T001081,CR01  ,2016JJ00,45.8
322,T001081,CR01  ,2017JJ00,46.8
323,T001081,CR01  ,2018JJ00,45.3
324,T001081,CR01  ,2019JJ00,46.5
325,T001081,CR01  ,2020JJ00,46.1
326,T001081,CR01  ,2021JJ00,47.1
327,T001081,CR01  ,2022JJ00,48.0
328,T001081,CR01  ,2023JJ00,47.7
329,T001081,CR01  ,2024JJ00,48.0
330,T001081,CR02  ,2010JJ00,16.3
331,T001081,CR02  ,2011JJ00,16.8
332,T001081,CR02  ,2012JJ00,16.7
333,T001081,CR02  ,2013JJ00,15.8
334,T001081,CR02  ,2014JJ00,15.5
335,T001081,CR02  ,2015JJ00,15.8
336,T001081,CR02  ,2016JJ00,16.1
337,T001081,CR02  ,2017JJ00,15.9
338,T001081,CR02  ,2018JJ00,15.7
339,T001081,CR02  ,2019JJ00,15.8
340,T001081,CR02  ,2020JJ00,15.9
341,T001081,CR02  ,2021JJ00,16.8
342,T001081,CR02  ,2022JJ00,16.2
343,T001081,CR02  ,2023JJ00,15.6
344,T001081,CR02  ,2024JJ00,15.1
345,T001081,CR03  ,2010JJ00,185.2
346,T001081,CR03  ,2011JJ00,184.4
347,T001081,CR03  ,2012JJ00,177.9
348,T001081,CR03  ,2013JJ00,177.1
349,T001081,CR03  ,2014JJ00,178.0
350,T001081,CR03  ,2015JJ00,185.8
351,T001081,CR03  ,2016JJ00,190.6
352,T001081,CR03  ,2017JJ00,198.6
353,T001081,CR03  ,2018JJ00,204.2
354,T001081,CR03  ,2019JJ00,205.7
355,T001081,CR03  ,2020JJ00,203.2
356,T001081,CR03  ,2021JJ00,211.8
357,T001081,CR03  ,2022JJ00,216.5
358,T001081,CR03  ,2023JJ00,218.0
359,T001081,CR03  ,2024JJ00,219.4
360,T001081,CR04  ,2010JJ00,131.3
361,T001081,CR04  ,2011JJ00,131.4
362,T001081,CR04  ,2012JJ00,126.7
363,T001081,CR04  ,2013JJ00,120.2
364,T001081,CR04  ,2014JJ00,117.9
365,T001081,CR04  ,2015JJ00,121.6
366,T001081,CR04  ,2016JJ00,121.0
367,T001081,CR04  ,2017JJ00,124.7
368,T001081,CR04  ,2018JJ00,128.7
369,T001081,CR04  ,2019JJ00,129.4
370,T001081,CR04  ,2020JJ00,130.8
371,T001081,CR04  ,2021JJ00,136.7
372,T001081,CR04  ,2022JJ00,139.0
373,T001081,CR04  ,2023JJ00,137.1
374,T001081,CR04  ,2024JJ00,135.1
375,T001081,CR05  ,2010JJ00,38.6
376,T001081,CR05  ,2011JJ00,38.0
377,T001081,CR05  ,2012JJ00,37.7
378,T001081,CR05  ,2013JJ00,35.6
379,T001081,CR05  ,2014JJ00,45.1
380,T001081,CR05  ,2015JJ00,45.7
381,T001081,CR05  ,2016JJ00,48.1
382,T001081,CR05  ,2017JJ00,49.7
383,T001081,CR05  ,2018JJ00,51.8
384,T001081,CR05  ,2019JJ00,52.4
385,T001081,CR05  ,2020JJ00,51.4
386,T001081,CR05  ,2021JJ00,52.7
387,T001081,CR05  ,2022JJ00,53.9
388,T001081,CR05  ,2023JJ00,53.4
