ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,OprichtingenVanVestigingen_1
456,T001081,CR01  ,2007JJ00,
457,T001081,CR01  ,2008JJ00,
458,T001081,CR01  ,2009JJ00,
459,T001081,CR01  ,2010JJ00,
460,T001081,CR01  ,2011JJ00,
461,T001081,CR01  ,2012JJ00,
462,T001081,CR01  ,2013JJ00,
463,T001081,CR01  ,2014JJ00,
464,T001081,CR01  ,2015JJ00,885.0
465,T001081,CR01  ,2016JJ00,915.0
466,T001081,CR01  ,2017JJ00,845.0
467,T001081,CR01  ,2018JJ00,870.0
468,T001081,CR01  ,2019JJ00,895.0
469,T001081,CR01  ,2020JJ00,995.0
470,T001081,CR01  ,2021JJ00,965.0
471,T001081,CR01  ,2022JJ00,1010.0
472,T001081,CR01  ,2023JJ00,1090.0
473,T001081,CR01  ,2024JJ00,1060.0
474,T001081,CR01  ,2025JJ00,930.0
475,T001081,CR02  ,2007JJ00,
476,T001081,CR02  ,2008JJ00,
477,T001081,CR02  ,2009JJ00,
478,T001081,CR02  ,2010JJ00,
479,T001081,CR02  ,2011JJ00,
480,T001081,CR02  ,2012JJ00,
481,T001081,CR02  ,2013JJ00,
482,T001081,CR02  ,2014JJ00,
483,T001081,CR02  ,2015JJ00,300.0
484,T001081,CR02  ,2016JJ00,270.0
485,T001081,CR02  ,2017JJ00,225.0
486,T001081,CR02  ,2018JJ00,240.0
487,T001081,CR02  ,2019JJ00,250.0
488,T001081,CR02  ,2020JJ00,280.0
489,T001081,CR02  ,2021JJ00,320.0
490,T001081,CR02  ,2022JJ00,340.0
491,T001081,CR02  ,2023JJ00,415.0
492,T001081,CR02  ,2024JJ00,330.0
493,T001081,CR02  ,2025JJ00,280.0
494,T001081,CR03  ,2007JJ00,
495,T001081,CR03  ,2008JJ00,
496,T001081,CR03  ,2009JJ00,
497,T001081,CR03  ,2010JJ00,
498,T001081,CR03  ,2011JJ00,
499,T001081,CR03  ,2012JJ00,
500,T001081,CR03  ,2013JJ00,
501,T001081,CR03  ,2014JJ00,
502,T001081,CR03  ,2015JJ00,3470.0
503,T001081,CR03  ,2016JJ00,3540.0
504,T001081,CR03  ,2017JJ00,3530.0
505,T001081,CR03  ,2018JJ00,3735.0
506,T001081,CR03  ,2019JJ00,4260.0
507,T001081,CR03  ,2020JJ00,4445.0
508,T001081,CR03  ,2021JJ00,4870.0
509,T001081,CR03  ,2022JJ00,4805.0
510,T001081,CR03  ,2023JJ00,5335.0
511,T001081,CR03  ,2024JJ00,4835.0
512,T001081,CR03  ,2025JJ00,4250.0
513,T001081,CR04  ,2007JJ00,
514,T001081,CR04  ,2008JJ00,
515,T001081,CR04  ,2009JJ00,
516,T001081,CR04  ,2010JJ00,
517,T001081,CR04  ,2011JJ00,
518,T001081,CR04  ,2012JJ00,
519,T001081,CR04  ,2013JJ00,
520,T001081,CR04  ,2014JJ00,
521,T001081,CR04  ,2015JJ00,2565.0
522,T001081,CR04  ,2016JJ00,2445.0
