zone_id,target_year,cae_section,births_cae,a10
1111601,2008,A,7.0,A
1111601,2008,B,1.0,BE
1111601,2008,C,5.0,BE
1111601,2008,D,0.0,BE
1111601,2008,E,0.0,BE
1111601,2008,F,40.0,F
1111601,2008,G,38.0,G
1111601,2008,H,2.0,G
1111601,2008,I,24.0,G
1111601,2008,J,3.0,J
1111601,2008,L,8.0,L
1111601,2008,M,16.0,MN
1111601,2008,N,55.0,MN
1111601,2008,P,24.0,OPQ
1111601,2008,Q,10.0,OPQ
1111601,2008,R,8.0,RSU
1111601,2008,S,9.0,RSU
1111601,2009,A,5.0,A
1111601,2009,B,0.0,BE
1111601,2009,C,7.0,BE
1111601,2009,D,0.0,BE
1111601,2009,E,0.0,BE
1111601,2009,F,28.0,F
1111601,2009,G,44.0,G
1111601,2009,H,1.0,G
1111601,2009,I,27.0,G
1111601,2009,J,1.0,J
1111601,2009,L,2.0,L
1111601,2009,M,9.0,MN
1111601,2009,N,36.0,MN
1111601,2009,P,30.0,OPQ
1111601,2009,Q,25.0,OPQ
1111601,2009,R,3.0,RSU
1111601,2009,S,5.0,RSU
1111601,2010,A,4.0,A
1111601,2010,B,0.0,BE
1111601,2010,C,8.0,BE
1111601,2010,D,0.0,BE
1111601,2010,E,0.0,BE
1111601,2010,F,31.0,F
1111601,2010,G,34.0,G
1111601,2010,H,2.0,G
1111601,2010,I,24.0,G
1111601,2010,J,4.0,J
1111601,2010,L,5.0,L
1111601,2010,M,15.0,MN
1111601,2010,N,33.0,MN
1111601,2010,P,32.0,OPQ
1111601,2010,Q,24.0,OPQ
1111601,2010,R,3.0,RSU
1111601,2010,S,6.0,RSU
1111601,2011,A,14.0,A
1111601,2011,B,0.0,BE
1111601,2011,C,6.0,BE
1111601,2011,D,2.0,BE
1111601,2011,E,0.0,BE
1111601,2011,F,37.0,F
1111601,2011,G,43.0,G
1111601,2011,H,2.0,G
1111601,2011,I,29.0,G
1111601,2011,J,1.0,J
1111601,2011,L,2.0,L
1111601,2011,M,24.0,MN
1111601,2011,N,33.0,MN
1111601,2011,P,15.0,OPQ
1111601,2011,Q,11.0,OPQ
1111601,2011,R,3.0,RSU
