zone_id,target_year,a10,births
PT_111,2008,A,73.0
PT_111,2008,BE,133.0
PT_111,2008,FZ,400.0
PT_111,2008,GI,811.0
PT_111,2008,JZ,39.0
PT_111,2008,KZ,0.0
PT_111,2008,LZ,56.0
PT_111,2008,MN,795.0
PT_111,2008,OPQ,510.0
PT_111,2008,RSU,198.0
PT_111,2009,A,67.0
PT_111,2009,BE,132.0
PT_111,2009,FZ,290.0
PT_111,2009,GI,751.0
PT_111,2009,JZ,23.0
PT_111,2009,KZ,0.0
PT_111,2009,LZ,46.0
PT_111,2009,MN,649.0
PT_111,2009,OPQ,614.0
PT_111,2009,RSU,156.0
PT_111,2010,A,79.0
PT_111,2010,BE,117.0
PT_111,2010,FZ,319.0
PT_111,2010,GI,672.0
PT_111,2010,JZ,27.0
PT_111,2010,KZ,0.0
PT_111,2010,LZ,47.0
PT_111,2010,MN,621.0
PT_111,2010,OPQ,488.0
PT_111,2010,RSU,149.0
PT_111,2011,A,127.0
PT_111,2011,BE,136.0
PT_111,2011,FZ,310.0
PT_111,2011,GI,780.0
PT_111,2011,JZ,31.0
PT_111,2011,KZ,0.0
PT_111,2011,LZ,41.0
PT_111,2011,MN,794.0
PT_111,2011,OPQ,431.0
PT_111,2011,RSU,163.0
PT_111,2012,A,109.0
PT_111,2012,BE,141.0
PT_111,2012,FZ,254.0
PT_111,2012,GI,776.0
PT_111,2012,JZ,29.0
PT_111,2012,KZ,0.0
PT_111,2012,LZ,45.0
PT_111,2012,MN,720.0
PT_111,2012,OPQ,322.0
PT_111,2012,RSU,165.0
PT_111,2013,A,3432.0
PT_111,2013,BE,212.0
PT_111,2013,FZ,396.0
PT_111,2013,GI,966.0
PT_111,2013,JZ,21.0
PT_111,2013,KZ,0.0
PT_111,2013,LZ,55.0
PT_111,2013,MN,700.0
PT_111,2013,OPQ,399.0
PT_111,2013,RSU,192.0
PT_111,2014,A,1819.0
PT_111,2014,BE,147.0
PT_111,2014,FZ,333.0
PT_111,2014,GI,856.0
PT_111,2014,JZ,24.0
PT_111,2014,KZ,0.0
PT_111,2014,LZ,58.0
PT_111,2014,MN,734.0
PT_111,2014,OPQ,454.0
PT_111,2014,RSU,210.0
PT_111,2015,A,719.0
PT_111,2015,BE,198.0
PT_111,2015,FZ,365.0
PT_111,2015,GI,871.0
PT_111,2015,JZ,27.0
PT_111,2015,KZ,0.0
PT_111,2015,LZ,75.0
PT_111,2015,MN,797.0
PT_111,2015,OPQ,407.0
PT_111,2015,RSU,224.0
PT_111,2016,A,417.0
PT_111,2016,BE,210.0
PT_111,2016,FZ,374.0
PT_111,2016,GI,849.0
PT_111,2016,JZ,29.0
PT_111,2016,KZ,0.0
PT_111,2016,LZ,62.0
PT_111,2016,MN,795.0
PT_111,2016,OPQ,439.0
PT_111,2016,RSU,244.0
PT_111,2017,A,482.0
PT_111,2017,BE,136.0
PT_111,2017,FZ,388.0
PT_111,2017,GI,818.0
PT_111,2017,JZ,41.0
PT_111,2017,KZ,0.0
PT_111,2017,LZ,95.0
PT_111,2017,MN,841.0
PT_111,2017,OPQ,471.0
PT_111,2017,RSU,276.0
PT_111,2018,A,523.0
PT_111,2018,BE,189.0
PT_111,2018,FZ,460.0
PT_111,2018,GI,1025.0
PT_111,2018,JZ,47.0
PT_111,2018,KZ,0.0
PT_111,2018,LZ,79.0
PT_111,2018,MN,916.0
PT_111,2018,OPQ,532.0
PT_111,2018,RSU,239.0
PT_111,2019,A,382.0
PT_111,2019,BE,182.0
PT_111,2019,FZ,403.0
PT_111,2019,GI,806.0
PT_111,2019,JZ,39.0
PT_111,2019,KZ,0.0
PT_111,2019,LZ,92.0
PT_111,2019,MN,805.0
PT_111,2019,OPQ,458.0
PT_111,2019,RSU,243.0
PT_111,2020,A,349.0
PT_111,2020,BE,120.0
PT_111,2020,FZ,333.0
PT_111,2020,GI,624.0
PT_111,2020,JZ,46.0
PT_111,2020,KZ,0.0
PT_111,2020,LZ,79.0
PT_111,2020,MN,793.0
PT_111,2020,OPQ,447.0
PT_111,2020,RSU,205.0
PT_111,2021,A,358.0
PT_111,2021,BE,155.0
PT_111,2021,FZ,403.0
PT_111,2021,GI,827.0
PT_111,2021,JZ,53.0
PT_111,2021,KZ,0.0
PT_111,2021,LZ,114.0
PT_111,2021,MN,909.0
PT_111,2021,OPQ,509.0
PT_111,2021,RSU,252.0
PT_111,2022,A,354.0
PT_111,2022,BE,183.0
PT_111,2022,FZ,434.0
PT_111,2022,GI,891.0
PT_111,2022,JZ,87.0
PT_111,2022,KZ,0.0
PT_111,2022,LZ,115.0
PT_111,2022,MN,1164.0
PT_111,2022,OPQ,587.0
PT_111,2022,RSU,350.0
PT_111,2023,A,333.0
PT_111,2023,BE,164.0
PT_111,2023,FZ,486.0
PT_111,2023,GI,1042.0
PT_111,2023,JZ,82.0
PT_111,2023,KZ,0.0
PT_111,2023,LZ,115.0
PT_111,2023,MN,1269.0
PT_111,2023,OPQ,570.0
PT_111,2023,RSU,363.0
PT_111,2024,A,316.0
PT_111,2024,BE,168.0
PT_111,2024,FZ,592.0
PT_111,2024,GI,1011.0
PT_111,2024,JZ,123.0
PT_111,2024,KZ,0.0
PT_111,2024,LZ,158.0
PT_111,2024,MN,1269.0
PT_111,2024,OPQ,547.0
PT_111,2024,RSU,374.0
PT_112,2008,A,100.0
PT_112,2008,BE,488.0
PT_112,2008,FZ,497.0
PT_112,2008,GI,1587.0
PT_112,2008,JZ,86.0
PT_112,2008,KZ,0.0
PT_112,2008,LZ,124.0
PT_112,2008,MN,1777.0
PT_112,2008,OPQ,878.0
PT_112,2008,RSU,344.0
PT_112,2009,A,89.0
PT_112,2009,BE,376.0
PT_112,2009,FZ,366.0
PT_112,2009,GI,1387.0
PT_112,2009,JZ,54.0
PT_112,2009,KZ,0.0
PT_112,2009,LZ,92.0
PT_112,2009,MN,1491.0
PT_112,2009,OPQ,1070.0
PT_112,2009,RSU,286.0
PT_112,2010,A,79.0
PT_112,2010,BE,307.0
PT_112,2010,FZ,407.0
PT_112,2010,GI,1363.0
PT_112,2010,JZ,69.0
PT_112,2010,KZ,0.0
PT_112,2010,LZ,103.0
PT_112,2010,MN,1335.0
PT_112,2010,OPQ,942.0
PT_112,2010,RSU,276.0
PT_112,2011,A,150.0
PT_112,2011,BE,491.0
PT_112,2011,FZ,414.0
PT_112,2011,GI,1455.0
PT_112,2011,JZ,79.0
PT_112,2011,KZ,0.0
PT_112,2011,LZ,100.0
PT_112,2011,MN,1383.0
PT_112,2011,OPQ,744.0
PT_112,2011,RSU,332.0
PT_112,2012,A,169.0
PT_112,2012,BE,417.0
PT_112,2012,FZ,324.0
PT_112,2012,GI,1462.0
PT_112,2012,JZ,75.0
PT_112,2012,KZ,0.0
PT_112,2012,LZ,101.0
PT_112,2012,MN,1311.0
PT_112,2012,OPQ,603.0
PT_112,2012,RSU,293.0
PT_112,2013,A,1539.0
PT_112,2013,BE,513.0
PT_112,2013,FZ,368.0
PT_112,2013,GI,1699.0
PT_112,2013,JZ,88.0
PT_112,2013,KZ,0.0
PT_112,2013,LZ,104.0
PT_112,2013,MN,1490.0
PT_112,2013,OPQ,705.0
PT_112,2013,RSU,363.0
