zone_id,target_year,a10,jobs,source
PT_111,2000,A,15880.0,Eurostat nama_10r_3empers
PT_111,2000,BE,25540.0,Eurostat nama_10r_3empers
PT_111,2000,FZ,18600.0,Eurostat nama_10r_3empers
PT_111,2000,GI,16030.000000000002,Eurostat nama_10r_3empers
PT_111,2000,JZ,270.0,Eurostat nama_10r_3empers
PT_111,2000,KZ,1220.0,Eurostat nama_10r_3empers
PT_111,2000,LZ,360.0,Eurostat nama_10r_3empers
PT_111,2000,MN,3130.0,Eurostat nama_10r_3empers
PT_111,2000,OPQ,17570.0,Eurostat nama_10r_3empers
PT_111,2000,RSU,4530.0,Eurostat nama_10r_3empers
PT_111,2001,A,16580.0,Eurostat nama_10r_3empers
PT_111,2001,BE,25090.0,Eurostat nama_10r_3empers
PT_111,2001,FZ,17880.0,Eurostat nama_10r_3empers
PT_111,2001,GI,17570.0,Eurostat nama_10r_3empers
PT_111,2001,JZ,280.0,Eurostat nama_10r_3empers
PT_111,2001,KZ,1180.0,Eurostat nama_10r_3empers
PT_111,2001,LZ,350.0,Eurostat nama_10r_3empers
PT_111,2001,MN,3400.0,Eurostat nama_10r_3empers
PT_111,2001,OPQ,17620.0,Eurostat nama_10r_3empers
PT_111,2001,RSU,4600.0,Eurostat nama_10r_3empers
PT_111,2002,A,15570.0,Eurostat nama_10r_3empers
PT_111,2002,BE,25920.0,Eurostat nama_10r_3empers
PT_111,2002,FZ,18080.0,Eurostat nama_10r_3empers
PT_111,2002,GI,17650.0,Eurostat nama_10r_3empers
PT_111,2002,JZ,280.0,Eurostat nama_10r_3empers
PT_111,2002,KZ,1150.0,Eurostat nama_10r_3empers
PT_111,2002,LZ,340.0,Eurostat nama_10r_3empers
PT_111,2002,MN,3330.0,Eurostat nama_10r_3empers
PT_111,2002,OPQ,18210.0,Eurostat nama_10r_3empers
PT_111,2002,RSU,4650.0,Eurostat nama_10r_3empers
PT_111,2003,A,16370.000000000002,Eurostat nama_10r_3empers
PT_111,2003,BE,24120.0,Eurostat nama_10r_3empers
PT_111,2003,FZ,16890.0,Eurostat nama_10r_3empers
PT_111,2003,GI,18450.0,Eurostat nama_10r_3empers
PT_111,2003,JZ,280.0,Eurostat nama_10r_3empers
PT_111,2003,KZ,1120.0,Eurostat nama_10r_3empers
PT_111,2003,LZ,340.0,Eurostat nama_10r_3empers
PT_111,2003,MN,3130.0,Eurostat nama_10r_3empers
PT_111,2003,OPQ,18270.0,Eurostat nama_10r_3empers
PT_111,2003,RSU,4780.0,Eurostat nama_10r_3empers
PT_111,2004,A,16129.999999999998,Eurostat nama_10r_3empers
PT_111,2004,BE,22910.0,Eurostat nama_10r_3empers
PT_111,2004,FZ,16740.0,Eurostat nama_10r_3empers
PT_111,2004,GI,19130.0,Eurostat nama_10r_3empers
PT_111,2004,JZ,270.0,Eurostat nama_10r_3empers
PT_111,2004,KZ,1080.0,Eurostat nama_10r_3empers
PT_111,2004,LZ,320.0,Eurostat nama_10r_3empers
PT_111,2004,MN,3090.0,Eurostat nama_10r_3empers
PT_111,2004,OPQ,18570.0,Eurostat nama_10r_3empers
