zone_id,target_year,stock
PT_111,2008,24573.0
PT_111,2009,24297.0
PT_111,2010,23697.0
PT_111,2011,23704.0
PT_111,2012,23069.0
PT_111,2013,26181.0
PT_111,2014,27656.0
PT_111,2015,28082.0
PT_111,2016,28505.0
PT_111,2017,29151.0
PT_111,2018,30089.0
PT_111,2019,30317.0
PT_111,2020,29966.0
PT_111,2021,30822.0
PT_111,2022,32204.0
PT_111,2023,33345.0
PT_111,2024,34577.0
PT_112,2008,43294.0
PT_112,2009,42711.0
PT_112,2010,41545.0
PT_112,2011,41078.0
PT_112,2012,39702.0
PT_112,2013,41023.0
PT_112,2014,41906.0
PT_112,2015,43125.0
PT_112,2016,44484.0
PT_112,2017,46075.0
PT_112,2018,47762.0
PT_112,2019,49562.0
PT_112,2020,49757.0
PT_112,2021,51675.0
PT_112,2022,54879.0
PT_112,2023,57634.0
PT_112,2024,60399.0
PT_119,2008,39572.0
PT_119,2009,38535.0
PT_119,2010,37409.0
PT_119,2011,36964.0
PT_119,2012,36224.0
PT_119,2013,36832.0
PT_119,2014,37810.0
PT_119,2015,38974.0
PT_119,2016,40145.0
PT_119,2017,41257.0
PT_119,2018,42118.0
PT_119,2019,42928.0
PT_119,2020,43186.0
PT_119,2021,44568.0
PT_119,2022,46804.0
PT_119,2023,48561.0
PT_119,2024,50313.0
PT_11A,2008,205304.0
PT_11A,2009,199369.0
PT_11A,2010,191519.0
PT_11A,2011,186669.0
PT_11A,2012,179986.0
PT_11A,2013,180039.0
PT_11A,2014,182940.0
PT_11A,2015,187803.0
PT_11A,2016,193084.0
PT_11A,2017,200898.0
PT_11A,2018,205419.0
PT_11A,2019,216170.0
PT_11A,2020,217334.0
PT_11A,2021,221093.0
PT_11A,2022,239856.0
PT_11A,2023,251493.0
PT_11A,2024,263032.0
PT_11B,2008,8816.0
PT_11B,2009,8516.0
PT_11B,2010,8316.0
PT_11B,2011,8226.0
PT_11B,2012,7744.0
PT_11B,2013,11087.0
PT_11B,2014,11664.0
PT_11B,2015,12081.0
PT_11B,2016,12297.0
PT_11B,2017,12338.0
PT_11B,2018,13256.0
PT_11B,2019,13399.0
PT_11B,2020,13071.0
PT_11B,2021,13333.0
PT_11B,2022,13401.0
PT_11B,2023,13448.0
PT_11B,2024,13597.0
PT_11C,2008,35107.0
PT_11C,2009,34469.0
PT_11C,2010,33525.0
PT_11C,2011,33462.0
PT_11C,2012,32666.0
PT_11C,2013,34622.0
PT_11C,2014,35739.0
PT_11C,2015,36911.0
PT_11C,2016,37531.0
PT_11C,2017,39010.0
PT_11C,2018,40071.0
PT_11C,2019,41088.0
PT_11C,2020,41191.0
PT_11C,2021,42200.0
PT_11C,2022,44057.0
PT_11C,2023,44880.0
PT_11C,2024,46470.0
PT_11D,2008,19651.0
PT_11D,2009,19222.0
PT_11D,2010,18664.0
PT_11D,2011,19051.0
PT_11D,2012,18285.0
PT_11D,2013,27691.0
PT_11D,2014,29937.0
PT_11D,2015,30264.0
PT_11D,2016,30274.0
PT_11D,2017,30340.0
PT_11D,2018,31592.0
PT_11D,2019,31598.0
PT_11D,2020,31143.0
PT_11D,2021,30912.0
PT_11D,2022,31362.0
PT_11D,2023,31453.0
PT_11D,2024,31917.0
PT_11E,2008,12405.0
PT_11E,2009,12152.0
PT_11E,2010,11920.0
PT_11E,2011,12005.0
PT_11E,2012,11143.0
PT_11E,2013,17000.0
PT_11E,2014,19025.0
PT_11E,2015,19413.0
PT_11E,2016,19198.0
PT_11E,2017,19013.0
PT_11E,2018,20741.0
PT_11E,2019,21087.0
PT_11E,2020,20664.0
PT_11E,2021,21431.0
PT_11E,2022,20782.0
PT_11E,2023,21298.0
PT_11E,2024,22008.0
PT_150,2008,67602.0
PT_150,2009,65891.0
PT_150,2010,61562.0
PT_150,2011,58256.0
PT_150,2012,54801.0
PT_150,2013,54645.0
PT_150,2014,57817.0
PT_150,2015,62981.0
PT_150,2016,66106.0
PT_150,2017,70521.0
PT_150,2018,73637.0
PT_150,2019,76971.0
PT_150,2020,72652.0
PT_150,2021,76680.0
PT_150,2022,86803.0
PT_150,2023,93838.0
