ze2020,libze2020,n_total_estab,n_active_estab,n_inactive_estab,active_share,total_workforce,avg_workforce_per_estab,n_distinct_naf4,n_estab_with_workforce,naf4_shannon_diversity,naf4_hhi,avg_pci_naf_weighted,avg_resilience_naf_weighted,avg_green_naf_weighted,avg_maslow_naf_weighted,mean_naf_proximity,mean_semantic_proximity,n_naf_pairs_in_ze,nace_io_mean,nace_io_total,n_nace_pairs_in_ze,n_recommendations_postmodel,n_estab_with_recom_postmodel,recommendation_density_postmodel
1109,Paris,124757,86612,38145,0.6942,478788,3.84,356,39812,3.9310,0.0355,0.1018,0.7194,0.0053,0.3714,0.3761,0.7506,32342,0.8003,1903.23,2378,0,0,0.0000
8421,Lyon,28587,20933,7654,0.7323,166517,5.82,323,11908,4.4445,0.0250,-0.3025,0.6008,0.0125,0.1147,0.4055,0.7721,24962,0.8005,1610.65,2012,5658,3509,0.2703
7625,Toulouse,19735,14744,4991,0.7471,116418,5.90,298,7523,4.0622,0.0478,-0.3180,0.5943,0.0107,0.1072,0.4057,0.7656,19292,0.8022,1365.32,1702,0,0,0.0000
7505,Bordeaux,18553,13551,5002,0.7304,79153,4.27,311,7584,4.1618,0.0415,-0.5408,0.6890,0.0080,0.1110,0.4078,0.7758,20674,0.8002,1411.56,1764,0,0,0.0000
7616,Montpellier,17309,13426,3883,0.7757,36745,2.12,283,5238,3.6054,0.0983,-0.7665,0.7557,0.0049,0.0734,0.4012,0.7759,16458,0.8005,1218.32,1522,0,0,0.0000
7620,Perpignan,14256,10655,3601,0.7474,22892,1.61,245,3638,3.4354,0.1116,-0.8935,0.7448,0.0011,0.0347,0.3824,0.7440,11463,0.8027,801.14,998,0,0,0.0000
9315,Nice,13175,10361,2814,0.7864,30741,2.33,269,4336,3.9689,0.0410,-0.3558,0.5983,0.0039,0.1785,0.3964,0.7594,13516,0.8017,905.92,1130,0,0,0.0000
5216,Nantes,13872,10078,3794,0.7265,79784,5.75,297,5609,4.2584,0.0299,-0.3731,0.5398,0.0096,0.1027,0.4049,0.7847,20486,0.8024,1381.74,1722,0,0,0.0000
4423,Strasbourg,12486,9534,2952,0.7636,65292,5.23,290,4896,4.1264,0.0368,-0.4165,0.6322,0.0051,0.1070,0.4153,0.7701,19290,0.7998,1428.39,1786,0,0,0.0000
1112,Roissy,11363,9529,1834,0.8386,48201,4.24,270,5369,3.9704,0.0389,-0.2554,0.5973,0.0096,0.1412,0.4269,0.7826,14520,0.8018,1063.14,1326,0,0,0.0000
4406,Épernay,12228,9449,2779,0.7727,12648,1.03,148,2344,1.1215,0.6658,-1.0858,0.8543,0.0005,0.0041,0.4156,0.7459,3154,0.7986,263.55,330,0,0,0.0000
9312,Marseille,12624,9380,3244,0.7430,47921,3.80,294,4974,4.1264,0.0395,-0.2300,0.6463,0.0084,0.1887,0.4004,0.7739,17008,0.8023,1182.65,1474,0,0,0.0000
7604,Auch,11030,8870,2160,0.8042,10870,0.99,195,1949,2.6502,0.2337,-0.5522,0.5816,0.0003,0.0091,0.3967,0.7361,6890,0.7997,521.38,652,0,0,0.0000
5315,Rennes,12070,8745,3325,0.7245,56646,4.69,256,4172,3.9329,0.0503,-0.3114,0.4191,0.0034,0.0895,0.4219,0.7698,12389,0.8030,945.97,1178,0,0,0.0000
9318,Toulon,10963,8404,2559,0.7666,26511,2.42,255,3807,3.9448,0.0431,-0.6834,0.6634,0.0034,0.0814,0.3876,0.7555,11163,0.8009,832.90,1040,0,0,0.0000
7522,Pau,9935,8311,1624,0.8365,26251,2.64,244,2353,3.5312,0.1016,-0.4947,0.5188,0.0021,0.0281,0.3937,0.7467,10718,0.8008,810.43,1012,0,0,0.0000
7606,Béziers,10633,8280,2353,0.7787,11448,1.08,220,2042,2.3753,0.3558,-1.0348,0.8225,0.0011,0.0151,0.3742,0.7022,7988,0.7975,622.02,780,0,0,0.0000
9304,Cannes,10345,7946,2399,0.7681,27612,2.67,269,3648,4.0688,0.0380,-0.3368,0.6234,0.0060,0.1627,0.3824,0.7438,13516,0.8035,970.66,1208,0,0,0.0000
7618,Nîmes,10121,7818,2303,0.7725,21394,2.11,254,3072,3.5863,0.0943,-0.8126,0.7435,0.0024,0.0478,0.3884,0.7471,12546,0.8034,973.72,1212,0,0,0.0000
8428,Saint-Étienne,10608,7797,2811,0.7350,50189,4.73,289,4062,4.2749,0.0336,-0.3567,0.4221,0.0077,0.0589,0.4279,0.7994,17377,0.8002,1387.55,1734,3924,2269,0.5033
2815,Rouen,9839,7763,2076,0.7890,63556,6.46,280,3887,4.1879,0.0327,-0.4240,0.4986,0.0051,0.0660,0.4108,0.7644,18130,0.7994,1216.71,1522,0,0,0.0000
3216,Lille,10681,7675,3006,0.7186,57682,5.40,296,4273,4.2298,0.0362,-0.2787,0.5949,0.0069,0.1258,0.4172,0.7757,17941,0.8003,1328.51,1660,0,0,0.0000
2804,Caen,9947,7643,2304,0.7684,37379,3.76,259,3684,4.0015,0.0409,-0.4816,0.4489,0.0054,0.0459,0.3932,0.7471,13682,0.7994,948.07,1186,0,0,0.0000
4413,Reims,9784,7636,2148,0.7805,26602,2.72,236,2993,2.8828,0.1996,-0.8405,0.7615,0.0023,0.0235,0.4178,0.7523,10138,0.7994,754.65,944,0,0,0.0000
4425,Troyes,9379,7529,1850,0.8028,23622,2.52,243,2781,3.2143,0.1294,-0.7702,0.6958,0.0015,0.0195,0.3998,0.7244,10867,0.8005,734.90,918,0,0,0.0000
7624,Tarbes-Lourdes,8776,7514,1262,0.8562,17568,2.00,232,1864,3.5084,0.0889,-0.5478,0.4548,0.0015,0.0180,0.4067,0.7623,10716,0.8003,739.46,924,0,0,0.0000
7608,Carcassonne-Limoux,9116,7273,1843,0.7978,10450,1.15,211,1832,2.7564,0.2169,-0.9065,0.7430,0.0007,0.0143,0.4026,0.7211,7736,0.7994,601.14,752,0,0,0.0000
8408,Clermont-Ferrand,9453,7189,2264,0.7605,44587,4.72,264,2971,3.9725,0.0470,-0.3963,0.4470,0.0047,0.0708,0.3969,0.7554,13682,0.8007,938.43,1172,3494,2091,0.4860
7617,Narbonne,8964,7144,1820,0.7970,7861,0.88,192,1462,1.9776,0.4452,-1.0495,0.8319,0.0005,0.0125,0.4198,0.7563,6205,0.7997,596.56,746,0,0,0.0000
7503,Bayonne,8891,7043,1848,0.7921,24495,2.76,257,2709,4.0906,0.0347,-0.6711,0.4548,0.0034,0.0636,0.3922,0.7380,12866,0.8010,964.41,1204,0,0,0.0000
8409,Grenoble,9308,6910,2398,0.7424,59089,6.35,289,3622,4.4409,0.0241,-0.2421,0.5482,0.0180,0.1324,0.4157,0.7796,17377,0.7996,1293.70,1618,1828,1105,0.2645
1114,Seine-Yvelinoise,8747,6836,1911,0.7815,50895,5.82,265,3750,4.1622,0.0320,-0.2053,0.6006,0.0148,0.1639,0.4211,0.8057,13029,0.8034,864.42,1076,0,0,0.0000
2413,Tours,9033,6470,2563,0.7163,40896,4.53,272,3371,4.0606,0.0503,-0.4928,0.5878,0.0048,0.0767,0.4144,0.7731,14181,0.8016,976.40,1218,0,0,0.0000
9301,Aix-en-Provence,8518,6302,2216,0.7398,28474,3.34,267,3133,4.1018,0.0443,-0.5487,0.7003,0.0086,0.0990,0.3891,0.7627,14183,0.8012,902.14,1126,0,0,0.0000
