object_type,schema,name,category,description_inferred,source_inferred,priority_for_herald
TABLE,public,establishment,core_entity,One row per establishment (SIRET). FK to company/address/activity.,SIRENE/INSEE,HIGH
TABLE,public,company,core_entity,One row per company (SIREN). FK to address.,SIRENE/INSEE,MEDIUM
TABLE,public,address,geo,Street address with city_id FK and z_val.,SIRENE/INSEE geocoded,HIGH
TABLE,public,city,geo,City with insee_code (indexed) and department_id/industry_territory_id FK.,COG INSEE,HIGH
TABLE,public,department,geo,French department with region_id FK.,COG INSEE,LOW
TABLE,public,region,geo,French region with country_id FK.,COG INSEE,LOW
TABLE,public,country,geo,Country list.,Internal,LOW
TABLE,public,industry_territory,geo,Territorial unit (industrie territoire) linked to cities.,Internal/INSEE,MEDIUM
TABLE,public,industry_territory_dep,geo,Industry territory aggregated at department level.,Internal,LOW
TABLE,public,epci,geo,EPCI groupings (intercommunal groups).,INSEE COG,LOW
TABLE,public,epci_city,geo,Many-to-many EPCI ↔ city.,INSEE COG,LOW
TABLE,public,nomenclature_activity,nomenclature,NAF activity code tree. FK to section/parent_activity.,NAF INSEE rev2,HIGH
TABLE,public,nomenclature_activity_section,nomenclature,NAF section grouping.,NAF INSEE rev2,LOW
TABLE,public,nomenclature_activity_product_proximity,nomenclature,Proximity score between NAF activity and HS product.,Harvard Atlas / internal,HIGH
TABLE,public,nomenclature_activity_semantic_proximity,nomenclature,Semantic embedding proximity between NAF activities.,NLP / internal,MEDIUM
TABLE,public,nomenclature_link_activity_rome,nomenclature,Crosswalk NAF ↔ ROME job codes.,France Travail / DARES,MEDIUM
TABLE,public,nomenclature_product,nomenclature,HS4/NC product codes with chapter/section FK and macro_sector.,HS Douanes / NC2020,HIGH
TABLE,public,nomenclature_product_chapter,nomenclature,HS/NC chapter hierarchy.,HS Douanes,LOW
TABLE,public,nomenclature_product_section,nomenclature,HS/NC section grouping.,HS Douanes,LOW
TABLE,public,nomenclature_product_proximity,nomenclature,Product-to-product proximity (product space). semantic_proximity_2 col noted.,Harvard Atlas / internal,HIGH
TABLE,public,nomenclature_product_relationship,nomenclature,Explicit relationship links between products.,Internal,MEDIUM
TABLE,public,nomenclature_product_complexity,nomenclature,Economic complexity index per product (ECI/PCI).,Harvard Atlas OEC,HIGH
TABLE,public,nomenclature_product_resilience,nomenclature,Resilience score per product.,Internal / Harvard,HIGH
TABLE,public,nomenclature_product_green,nomenclature,Green production score per product.,Internal / EU taxonomy inferred,HIGH
TABLE,public,nomenclature_product_necessity,nomenclature,Basic necessity ranking per product.,Internal / UN inferred,HIGH
TABLE,public,nomenclature_product_competitive_advantage,nomenclature,Competitive advantage indicator per product.,Internal / RCA-based,MEDIUM
TABLE,public,nomenclature_product_semantic_similarity,nomenclature,Semantic embedding similarity between products.,NLP / internal,MEDIUM
TABLE,public,nomenclature_rome,nomenclature,ROME job codes with professional domain FK.,France Travail (Pôle Emploi),MEDIUM
TABLE,public,nomenclature_rome_main_domain,nomenclature,ROME main domain (grand domaine).,France Travail,LOW
TABLE,public,nomenclature_rome_professional_domain,nomenclature,ROME professional domain (domaine professionnel).,France Travail,LOW
TABLE,public,nomenclature_country,nomenclature,Country codes for trade data.,ISO / Douanes,LOW
TABLE,public,macro_sector,nomenclature,High-level sector grouping.,Internal / A10-like,MEDIUM
TABLE,public,macro_secteur_naf,nomenclature,Mapping NAF → macro_secteur.,Internal,MEDIUM
TABLE,public,product,entity_link,Links establishment to nomenclature_product (declared products).,SIRENE+Douanes inferred,HIGH
TABLE,public,recommendation,output,Computed recommendations for an establishment (typed).,Internal model output,MEDIUM
TABLE,public,relation,output,Explicit client/supplier/partner relations (typed).,Internal model output,MEDIUM
TABLE,public,partner_calc,analysis,Computed partner scores by product proximity per establishment pair.,Internal computation,HIGH
TABLE,public,partner_calc_iot,analysis,Computed partner scores via IO table per establishment pair.,Internal computation,HIGH
TABLE,public,ia_establishment_potential_partners,analysis,Final potential partner table per establishment.,Internal (func output),HIGH
