qp2024,label_qp2024,statut,qp2015_1,label_qp2015_1,qp2015_2,label_qp2015_2,qp2015_3,label_qp2015_3
QN00101M,Grande Reyssouze Terre des Fleurs,MODIFIE,QP001001,Grande Reyssouze Terre Des Fleurs,,,,
QN00102M,Croix Blanche,MODIFIE,QP001002,Croix Blanche,,,,
QN00103M,Les Courbes de l’Albarine,MODIFIE,QP001005,Les Courbes De L'Albarine,,,,
QN00104M,La Plaine - La Forge - Guynemer,MODIFIE,QP001006,La Plaine - La Forge,,,,
QN00105I,Pré des Saules,INCHANGE,QP001007,Pré Des Saules,,,,
QN00106M,Clos Morcel - Brillat-Savarin - Bouvardière,MODIFIE,QP001008,Brillat - Savarin,,,,
QN00107M,La Maladière - Les Peupliers,MODIFIE,QP001009,Maladière,,,,
QN00201M,Europe,MODIFIE,QP002001,Europe,,,,
QN00202M,Faubourg D'Isle,MODIFIE,QP002002,Faubourg D'Isle,,,,
QN00203M,Neuville,MODIFIE,QP002003,Neuville,,,,
QN00204M,Vermandois,MODIFIE,QP002004,Vermandois,,,,
QN00205M,Champ Roland Et Bords De L'Oise,MODIFIE,QP002005,Champ Roland Et Bords De L'Oise,,,,
QN00206M,Gare Et Verrière,MODIFIE,QP002006,Gare Et Verrière,,,,
QN00207M,Quartier De L'Artilleur,MODIFIE,QP002007,Quartier De L'Artilleur,,,,
QN00208M,Roosevelt Rebequet,MODIFIE,QP002008,Roosevelt Rebequet,,,,
QN00209M,Quartier De La Résidence,MODIFIE,QP002009,Quartier De La Résidence,,,,
QN00210M,Montreuil,MODIFIE,QP002010,Montreuil,,,,
QN00211M,Champagne Moulin - Roux,MODIFIE,QP002011,Champagne Moulin - Roux,,,,
QN00212M,Saint-Crépin Ouest,MODIFIE,QP002012,Saint-Crépin Ouest,,,,
QN00213M,Presles,MODIFIE,QP002013,Presles,,,,
QN00214M,Chevreux,MODIFIE,QP002014,Chevreux,,,,
QN00215M,Route De Vivières,MODIFIE,QP002015,Route De Vivières,,,,
QN00216M,Blanchard,MODIFIE,QP002016,Blanchard,,,,
QN00217M,Vaucrises,MODIFIE,QP002017,Vaucrises,,,,
QN00301M,Coeur D’Agglo,MODIFIE,QP003001,Coeur D'Agglo,,,,
QN00302I,Les Ailes/Port Charmeil,INCHANGE,QP003002,Les Ailes,,,,
QN00303M,Moulins-Sud,MODIFIE,QP003003,Moulins-Sud,,,,
QN00304M,Rive Gauche,MODIFIE,QP003004,Rive Gauche,,,,
QN00305M,Fontbouillant,MODIFIE,QP003005,Fontbouillant,,,,
QN00306M,Bien-Assis,MODIFIE,QP003006,Bien-Assis,,,,
QN00401M,Centre Ville - Pigeonnier,MODIFIE,QP004001,Centre Ville - Pigeonnier,,,,
QN00402M,Quartier Est,MODIFIE,QP004002,Centre Ville - Saint-Lazare,,,,
QN00403M,Quartier Ouest,MODIFIE,QP004003,Arc Serrets - Plantiers - Aliziers,,,,
QN00501M,Quartier du Haut-Gap,MODIFIE,QP005001,Haut - Gap,,,,
QN00601M,Las Planas - Le Rouret,MODIFIE,QP006001,Las Planas,,,,
