idcom,idcomtxt,idreg,idregtxt,iddep,iddeptxt,epci24,epci24txt,scot,aav2020,aav2020txt,aav2020_typo,naf09art10,art09act10,art09hab10,art09mix10,art09rou10,art09fer10,art09inc10,naf10art11,art10act11,art10hab11,art10mix11,art10rou11,art10fer11,art10inc11,naf11art12,art11act12,art11hab12,art11mix12,art11rou12,art11fer12,art11inc12,naf12art13,art12act13,art12hab13,art12mix13,art12rou13,art12fer13,art12inc13,naf13art14,art13act14,art13hab14,art13mix14,art13rou14,art13fer14,art13inc14,naf14art15,art14act15,art14hab15,art14mix15,art14rou15,art14fer15,art14inc15,naf15art16,art15act16,art15hab16,art15mix16,art15rou16,art15fer16,art15inc16,naf16art17,art16act17,art16hab17,art16mix17,art16rou17,art16fer17,art16inc17,naf17art18,art17act18,art17hab18,art17mix18,art17rou18,art17fer18,art17inc18,naf18art19,art18act19,art18hab19,art18mix19,art18rou19,art18fer19,art18inc19,naf19art20,art19act20,art19hab20,art19mix20,art19rou20,art19fer20,art19inc20,naf20art21,art20act21,art20hab21,art20mix21,art20rou21,art20fer21,art20inc21,naf21art22,art21act22,art21hab22,art21mix22,art21rou22,art21fer22,art21inc22,naf22art23,art22act23,art22hab23,art22mix23,art22rou23,art22fer23,art22inc23,naf23art24,art23act24,art23hab24,art23mix24,art23rou24,art23fer24,art23inc24,naf09art24,art09act24,art09hab24,art09mix24,art09inc24,art09rou24,art09fer24,artcom0924,pop15,pop21,pop1521,men15,men21,men1521,emp15,emp21,emp1521,mepart1521,menhab1521,artpop1521,surfcom2024
01001,L'Abergement-Clémenciat,84,Auvergne-Rhône-Alpes,01,Ain,200069193,Communauté de communes de la Dombes,SCoT de la Dombes,20,Châtillon-sur-Chalaronne,20,8324,0,8324,0,0,0,0,8324,0,8324,0,0,0,0,0,0,0,0,0,0,0,650,0,650,0,0,0,0,8037,0,6629,0,1408,0,0,0,0,0,0,0,0,0,857,0,857,0,0,0,0,1718,0,1718,0,0,0,0,3580,0,3580,0,0,0,0,2721,0,2721,0,0,0,0,0,0,0,0,0,0,0,15955,0,15955,0,0,0,0,15699,0,15699,0,0,0,0,1646,0,1646,0,0,0,0,2500,0,2500,0,0,0,0,70011,0,68603,0,0,1408,0,0.45,767,832,65,310,347,37,90,75,-16,8.46,14.9,382.02,15619934
01002,L'Abergement-de-Varey,84,Auvergne-Rhône-Alpes,01,Ain,240100883,Communauté de communes de la Plaine de l'Ain,SCoT BUCOPA,30,Commune hors attraction des villes,30,1139,0,1094,0,45,0,0,1140,0,1095,0,45,0,0,4638,0,169,0,89,0,4380,977,0,977,0,0,0,0,0,0,0,0,0,0,0,975,0,500,0,475,0,0,1749,0,1749,0,0,0,0,1205,0,1205,0,0,0,0,0,0,0,0,0,0,0,1037,0,600,0,0,0,437,1740,0,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,15600,0,10129,0,4817,654,0,0.17,241,267,26,104,115,11,13,29,16,47.11,20.78,220.42,9175479
01004,Ambérieu-en-Bugey,84,Auvergne-Rhône-Alpes,01,Ain,240100883,Communauté de communes de la Plaine de l'Ain,SCoT BUCOPA,11,Ambérieu-en-Bugey,11,79035,47199,26590,931,4314,0,1,79035,47199,26590,932,4315,0,-1,30959,5957,11488,0,1264,0,12250,14426,5200,8241,0,985,0,0,14873,2996,8082,0,2925,869,1,29188,483,25553,0,3152,0,0,94624,20695,45881,149,27897,0,2,45103,1069,36572,0,7461,0,1,75418,32829,35128,0,7461,0,0,87831,10127,43702,8010,21795,4196,1,13093,4907,8124,0,62,0,0,9786,174,9148,0,464,0,0,23371,19426,3927,0,18,0,0,13374,0,13251,0,123,0,0,19577,757,13539,585,4696,0,0,629693,199018,315816,10607,12255,86932,5065,2.57,14127,14854,727,6253,6911,658,7511,8152,641,39.86,36.85,448.22,24508833
01005,Ambérieux-en-Dombes,84,Auvergne-Rhône-Alpes,01,Ain,200042497,Communauté de communes Dombes Saône Vallée,SCoT du Val de Saône-Dombes,20,Lyon,20,6205,0,5645,0,560,0,0,6205,0,5645,0,560,0,0,9185,0,9112,0,23,0,50,2799,0,1975,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,264,0,622,0,0,0,16323,1819,8444,2285,3775,0,0,3729,0,3729,0,0,0,0,0,0,0,0,0,0,0,25621,0,18354,0,7267,0,0,41956,33286,8670,0,0,0,0,776,0,776,0,0,0,0,8416,6226,1453,737,0,0,0,307,0,307,0,0,0,0,122408,41595,64110,4468,50,12185,0,0.76,1619,1897,278,605,799,194,293,261,-31,18.41,49.49,318.4,16014205
01006,Ambléon,84,Auvergne-Rhône-Alpes,01,Ain,200040350,Communauté de communes Bugey Sud,SCoT du Bugey,20,Belley,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,1450,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,3959,0,2657,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6507,0,5205,0,0,1302,0,0.11,109,113,4,55,55,0,6,5,-1,-1.56,0.0,1602.25,6030856
01007,Ambronay,84,Auvergne-Rhône-Alpes,01,Ain,240100883,Communauté de communes de la Plaine de l'Ain,SCoT BUCOPA,20,Ambérieu-en-Bugey,20,19333,1783,14425,0,282,0,2843,19334,1784,14425,0,283,0,2842,10161,0,10161,0,0,0,0,4418,0,3815,0,603,0,0,11208,0,9411,0,1797,0,0,24511,0,20172,0,4339,0,0,14000,7580,2399,0,4021,0,0,27673,2131,4930,0,19106,0,1506,12508,0,11698,0,809,0,1,19203,5757,10230,0,3216,0,0,21253,17043,4126,0,84,0,0,13026,5609,5002,0,2415,0,0,35574,0,34928,646,0,0,0,4563,0,4563,0,0,0,0,6845,0,4660,1840,345,0,0,243610,41687,154945,2486,7192,37300,0,0.72,2615,2833,218,1051,1207,156,497,482,-15,13.1,40.64,493.87,33651916
01008,Ambutrix,84,Auvergne-Rhône-Alpes,01,Ain,240100883,Communauté de communes de la Plaine de l'Ain,SCoT BUCOPA,20,Ambérieu-en-Bugey,20,1337,0,1337,0,0,0,0,1338,0,1338,0,0,0,0,3045,1379,1500,0,166,0,0,1847,0,1847,0,0,0,0,1218,0,1218,0,0,0,0,226,0,226,0,0,0,0,2862,0,2033,0,829,0,0,8959,0,7993,0,966,0,0,1338,0,743,0,595,0,0,2550,0,2550,0,0,0,0,1921,0,1921,0,0,0,0,2414,0,0,0,2414,0,0,4350,0,1050,0,0,0,3300,0,0,0,0,0,0,0,1498,0,1498,0,0,0,0,34903,1379,25254,0,3300,4970,0,0.67,747,768,21,312,335,23,143,121,-22,0.5,15.09,954.48,5174643
01009,Andert-et-Condon,84,Auvergne-Rhône-Alpes,01,Ain,200040350,Communauté de communes Bugey Sud,SCoT du Bugey,20,Belley,20,676,0,676,0,0,0,0,676,0,676,0,0,0,0,1088,0,1088,0,0,0,0,1314,0,1314,0,0,0,0,3418,0,3418,0,0,0,0,3065,0,3052,0,13,0,0,6847,0,6847,0,0,0,0,0,0,0,0,0,0,0,2265,0,2265,0,0,0,0,1000,0,1000,0,0,0,0,2020,0,2020,0,0,0,0,8,0,8,0,0,0,0,964,0,964,0,0,0,0,0,0,0,0,0,0,0,2739,0,2739,0,0,0,0,26080,0,26067,0,0,13,0,0.37,342,322,-20,142,149,7,31,17,-14,-5.77,5.77,-607.0,6995740
01010,Anglefort,84,Auvergne-Rhône-Alpes,01,Ain,200070852,Communauté de communes Usses et Rhône,Communautés de communes Usses et Rhône,30,Commune hors attraction des villes,30,17093,0,10686,0,147,0,6260,17094,0,10687,0,148,0,6259,22509,10150,7723,0,4636,0,0,7824,0,7824,0,0,0,0,8014,0,7524,0,490,0,0,0,0,0,0,0,0,0,1317,0,1317,0,0,0,0,3363,0,3155,0,208,0,0,978,0,978,0,0,0,0,700,0,700,0,0,0,0,1707,0,1645,0,62,0,0,5346,0,5346,0,0,0,0,650,0,650,0,0,0,0,7556,0,7283,250,23,0,0,2660,0,2660,0,0,0,0,96811,10150,68178,250,12519,5714,0,0.33,1133,1125,-8,483,484,2,248,255,7,5.97,1.52,-1676.38,29508583
01011,Apremont,84,Auvergne-Rhône-Alpes,01,Ain,200042935,Communauté d'agglomération Haut - Bugey Agglomération,SCoT du Haut-Bugey,20,Oyonnax,20,1893,0,1533,0,0,0,360,1894,0,1534,0,0,0,360,1208,0,1208,0,0,0,0,3992,0,3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,0,1897,0,193,0,0,1781,0,1612,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29710,16201,8988,0,4521,0,0,0,0,0,0,0,0,0,3468,0,3468,0,0,0,0,105,105,0,0,0,0,0,46141,16306,24232,0,720,4883,0,0.31,390,383,-7,161,160,0,28,28,0,-0.3,0.0,-4797.29,15048198
