codgeo,libgeo,zrr_simp,zonage_zrr
01001,L'Abergement-Clémenciat,NC - Commune non classée,NC - Commune non classée
01002,L'Abergement-de-Varey,NC - Commune non classée,NC - Commune non classée
01004,Ambérieu-en-Bugey,NC - Commune non classée,NC - Commune non classée
01005,Ambérieux-en-Dombes,NC - Commune non classée,NC - Commune non classée
01006,Ambléon,NC - Commune non classée,NC - Commune non classée
01007,Ambronay,NC - Commune non classée,NC - Commune non classée
01008,Ambutrix,NC - Commune non classée,NC - Commune non classée
01009,Andert-et-Condon,NC - Commune non classée,NC - Commune non classée
01010,Anglefort,NC - Commune non classée,NC - Commune non classée
01011,Apremont,NC - Commune non classée,NC - Commune non classée
01012,Aranc,NC - Commune non classée,NC - Commune non classée
01013,Arandas,NC - Commune non classée,NC - Commune non classée
01014,Arbent,NC - Commune non classée,NC - Commune non classée
01015,Arboys en Bugey,NC - Commune non classée,NC - Commune non classée
01016,Arbigny,NC - Commune non classée,NC - Commune non classée
01017,Argis,NC - Commune non classée,NC - Commune non classée
01019,Armix,NC - Commune non classée,NC - Commune non classée
01021,Ars-sur-Formans,NC - Commune non classée,NC - Commune non classée
01022,Artemare,NC - Commune non classée,NC - Commune non classée
01023,Asnières-sur-Saône,NC - Commune non classée,NC - Commune non classée
01024,Attignat,NC - Commune non classée,NC - Commune non classée
01025,Bâgé-Dommartin,NC - Commune non classée,NC - Commune non classée
01026,Bâgé-le-Châtel,NC - Commune non classée,NC - Commune non classée
01027,Balan,NC - Commune non classée,NC - Commune non classée
01028,Baneins,NC - Commune non classée,NC - Commune non classée
01029,Beaupont,NC - Commune non classée,NC - Commune non classée
01030,Beauregard,NC - Commune non classée,NC - Commune non classée
01031,Bellignat,NC - Commune non classée,NC - Commune non classée
01032,Béligneux,NC - Commune non classée,NC - Commune non classée
01033,Valserhône,NC - Commune non classée,NC - Commune non classée
01034,Belley,NC - Commune non classée,NC - Commune non classée
01035,Belleydoux,NC - Commune non classée,NC - Commune non classée
01036,Valromey-sur-Séran,NC - Commune non classée,NC - Commune non classée
01037,Bénonces,NC - Commune non classée,NC - Commune non classée
01038,Bény,NC - Commune non classée,NC - Commune non classée
01039,Béon,NC - Commune non classée,NC - Commune non classée
01040,Béréziat,NC - Commune non classée,NC - Commune non classée
01041,Bettant,NC - Commune non classée,NC - Commune non classée
01042,Bey,NC - Commune non classée,NC - Commune non classée
01043,Beynost,NC - Commune non classée,NC - Commune non classée
01044,Billiat,NC - Commune non classée,NC - Commune non classée
01045,Birieux,NC - Commune non classée,NC - Commune non classée
01046,Biziat,NC - Commune non classée,NC - Commune non classée
01047,Blyes,NC - Commune non classée,NC - Commune non classée
01049,La Boisse,NC - Commune non classée,NC - Commune non classée
01050,Boissey,NC - Commune non classée,NC - Commune non classée
01051,Bolozon,NC - Commune non classée,NC - Commune non classée
01052,Bouligneux,NC - Commune non classée,NC - Commune non classée
01053,Bourg-en-Bresse,NC - Commune non classée,NC - Commune non classée
01054,Bourg-Saint-Christophe,NC - Commune non classée,NC - Commune non classée
01056,Boyeux-Saint-Jérôme,NC - Commune non classée,NC - Commune non classée
01057,Boz,NC - Commune non classée,NC - Commune non classée
01058,Brégnier-Cordon,NC - Commune non classée,NC - Commune non classée
01060,Brénod,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01061,Brens,NC - Commune non classée,NC - Commune non classée
01062,Bressolles,NC - Commune non classée,NC - Commune non classée
01063,Brion,NC - Commune non classée,NC - Commune non classée
01064,Briord,NC - Commune non classée,NC - Commune non classée
01065,Buellas,NC - Commune non classée,NC - Commune non classée
01066,La Burbanche,NC - Commune non classée,NC - Commune non classée
01067,Ceignes,NC - Commune non classée,NC - Commune non classée
01068,Cerdon,NC - Commune non classée,NC - Commune non classée
01069,Certines,NC - Commune non classée,NC - Commune non classée
01071,Cessy,NC - Commune non classée,NC - Commune non classée
01072,Ceyzériat,NC - Commune non classée,NC - Commune non classée
01073,Ceyzérieu,NC - Commune non classée,NC - Commune non classée
01074,Chalamont,NC - Commune non classée,NC - Commune non classée
01075,Chaleins,NC - Commune non classée,NC - Commune non classée
01076,Chaley,NC - Commune non classée,NC - Commune non classée
01077,Challes-la-Montagne,NC - Commune non classée,NC - Commune non classée
01078,Challex,NC - Commune non classée,NC - Commune non classée
01079,Champagne-en-Valromey,NC - Commune non classée,NC - Commune non classée
01080,Champdor-Corcelles,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01081,Champfromier,NC - Commune non classée,NC - Commune non classée
01082,Chanay,NC - Commune non classée,NC - Commune non classée
01083,Chaneins,NC - Commune non classée,NC - Commune non classée
01084,Chanoz-Châtenay,NC - Commune non classée,NC - Commune non classée
01085,La Chapelle-du-Châtelard,NC - Commune non classée,NC - Commune non classée
01087,Charix,NC - Commune non classée,NC - Commune non classée
01088,Charnoz-sur-Ain,NC - Commune non classée,NC - Commune non classée
01089,Château-Gaillard,NC - Commune non classée,NC - Commune non classée
01090,Châtenay,NC - Commune non classée,NC - Commune non classée
01092,Châtillon-la-Palud,NC - Commune non classée,NC - Commune non classée
01093,Châtillon-sur-Chalaronne,NC - Commune non classée,NC - Commune non classée
01094,Chavannes-sur-Reyssouze,NC - Commune non classée,NC - Commune non classée
01095,Nivigne et Suran,NC - Commune non classée,NC - Commune non classée
01096,Chaveyriat,NC - Commune non classée,NC - Commune non classée
01098,Chazey-Bons,NC - Commune non classée,NC - Commune non classée
01099,Chazey-sur-Ain,NC - Commune non classée,NC - Commune non classée
01100,Cheignieu-la-Balme,NC - Commune non classée,NC - Commune non classée
01101,Chevillard,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01102,Chevroux,NC - Commune non classée,NC - Commune non classée
01103,Chevry,NC - Commune non classée,NC - Commune non classée
01104,Chézery-Forens,NC - Commune non classée,NC - Commune non classée
01105,Civrieux,NC - Commune non classée,NC - Commune non classée
01106,Cize,NC - Commune non classée,NC - Commune non classée
01107,Cleyzieu,NC - Commune non classée,NC - Commune non classée
01108,Coligny,NC - Commune non classée,NC - Commune non classée
01109,Collonges,NC - Commune non classée,NC - Commune non classée
01110,Colomieu,NC - Commune non classée,NC - Commune non classée
01111,Conand,NC - Commune non classée,NC - Commune non classée
01112,Condamine,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01113,Condeissiat,NC - Commune non classée,NC - Commune non classée
01114,Confort,NC - Commune non classée,NC - Commune non classée
01115,Confrançon,NC - Commune non classée,NC - Commune non classée
01116,Contrevoz,NC - Commune non classée,NC - Commune non classée
01117,Conzieu,NC - Commune non classée,NC - Commune non classée
01118,Corbonod,NC - Commune non classée,NC - Commune non classée
01121,Corlier,NC - Commune non classée,NC - Commune non classée
01123,Cormoranche-sur-Saône,NC - Commune non classée,NC - Commune non classée
01124,Cormoz,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01125,Corveissiat,NC - Commune non classée,NC - Commune non classée
01127,Courmangoux,NC - Commune non classée,NC - Commune non classée
01128,Courtes,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01129,Crans,NC - Commune non classée,NC - Commune non classée
01130,Bresse Vallons,NC - Commune non classée,NC - Commune non classée
01133,Cressin-Rochefort,NC - Commune non classée,NC - Commune non classée
01134,Crottet,NC - Commune non classée,NC - Commune non classée
01135,Crozet,NC - Commune non classée,NC - Commune non classée
01136,Cruzilles-lès-Mépillat,NC - Commune non classée,NC - Commune non classée
01138,Culoz,NC - Commune non classée,NC - Commune non classée
01139,Curciat-Dongalon,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01140,Curtafond,NC - Commune non classée,NC - Commune non classée
01141,Cuzieu,NC - Commune non classée,NC - Commune non classée
01142,Dagneux,NC - Commune non classée,NC - Commune non classée
01143,Divonne-les-Bains,NC - Commune non classée,NC - Commune non classée
01145,Dompierre-sur-Veyle,NC - Commune non classée,NC - Commune non classée
01146,Dompierre-sur-Chalaronne,NC - Commune non classée,NC - Commune non classée
01147,Domsure,NC - Commune non classée,NC - Commune non classée
01148,Dortan,NC - Commune non classée,NC - Commune non classée
01149,Douvres,NC - Commune non classée,NC - Commune non classée
01150,Drom,NC - Commune non classée,NC - Commune non classée
01151,Druillat,NC - Commune non classée,NC - Commune non classée
01152,Échallon,NC - Commune non classée,NC - Commune non classée
01153,Échenevex,NC - Commune non classée,NC - Commune non classée
01155,Évosges,NC - Commune non classée,NC - Commune non classée
01156,Faramans,NC - Commune non classée,NC - Commune non classée
01157,Fareins,NC - Commune non classée,NC - Commune non classée
01158,Farges,NC - Commune non classée,NC - Commune non classée
01159,Feillens,NC - Commune non classée,NC - Commune non classée
01160,Ferney-Voltaire,NC - Commune non classée,NC - Commune non classée
01162,Flaxieu,NC - Commune non classée,NC - Commune non classée
01163,Foissiat,NC - Commune non classée,NC - Commune non classée
01165,Francheleins,NC - Commune non classée,NC - Commune non classée
01166,Frans,NC - Commune non classée,NC - Commune non classée
01167,Garnerans,NC - Commune non classée,NC - Commune non classée
01169,Genouilleux,NC - Commune non classée,NC - Commune non classée
01170,Béard-Géovreissiat,NC - Commune non classée,NC - Commune non classée
01171,Géovreisset,NC - Commune non classée,NC - Commune non classée
01173,Gex,NC - Commune non classée,NC - Commune non classée
01174,Giron,NC - Commune non classée,NC - Commune non classée
01175,Gorrevod,NC - Commune non classée,NC - Commune non classée
01177,Grand-Corent,NC - Commune non classée,NC - Commune non classée
01179,Grièges,NC - Commune non classée,NC - Commune non classée
01180,Grilly,NC - Commune non classée,NC - Commune non classée
01181,Groissiat,NC - Commune non classée,NC - Commune non classée
01183,Guéreins,NC - Commune non classée,NC - Commune non classée
01184,Hautecourt-Romanèche,NC - Commune non classée,NC - Commune non classée
01185,Plateau d'Hauteville,NC - Commune non classée,NC - Commune non classée
01187,Haut Valromey,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01188,Illiat,NC - Commune non classée,NC - Commune non classée
01189,Injoux-Génissiat,NC - Commune non classée,NC - Commune non classée
01190,Innimond,NC - Commune non classée,NC - Commune non classée
01191,Izenave,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01192,Izernore,NC - Commune non classée,NC - Commune non classée
01193,Izieu,NC - Commune non classée,NC - Commune non classée
01194,Jassans-Riottier,NC - Commune non classée,NC - Commune non classée
01195,Jasseron,NC - Commune non classée,NC - Commune non classée
01196,Jayat,NC - Commune non classée,NC - Commune non classée
01197,Journans,NC - Commune non classée,NC - Commune non classée
01198,Joyeux,NC - Commune non classée,NC - Commune non classée
01199,Jujurieux,NC - Commune non classée,NC - Commune non classée
01200,Labalme,NC - Commune non classée,NC - Commune non classée
01202,Lagnieu,NC - Commune non classée,NC - Commune non classée
01203,Laiz,NC - Commune non classée,NC - Commune non classée
01204,Le Poizat-Lalleyriat,NC - Commune non classée,NC - Commune non classée
01206,Lantenay,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01207,Lapeyrouse,NC - Commune non classée,NC - Commune non classée
01208,Lavours,NC - Commune non classée,NC - Commune non classée
01209,Léaz,NC - Commune non classée,NC - Commune non classée
01210,Lélex,NC - Commune non classée,NC - Commune non classée
01211,Lent,NC - Commune non classée,NC - Commune non classée
01212,Lescheroux,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01213,Leyment,NC - Commune non classée,NC - Commune non classée
01214,Leyssard,NC - Commune non classée,NC - Commune non classée
01215,Surjoux-Lhopital,NC - Commune non classée,NC - Commune non classée
01216,Lhuis,NC - Commune non classée,NC - Commune non classée
01219,Lompnas,NC - Commune non classée,NC - Commune non classée
01224,Loyettes,NC - Commune non classée,NC - Commune non classée
01225,Lurcy,NC - Commune non classée,NC - Commune non classée
01227,Magnieu,NC - Commune non classée,NC - Commune non classée
01228,Maillat,NC - Commune non classée,NC - Commune non classée
01229,Malafretaz,NC - Commune non classée,NC - Commune non classée
01230,Mantenay-Montlin,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01231,Manziat,NC - Commune non classée,NC - Commune non classée
01232,Marboz,NC - Commune non classée,NC - Commune non classée
01233,Marchamp,NC - Commune non classée,NC - Commune non classée
01234,Marignieu,NC - Commune non classée,NC - Commune non classée
01235,Marlieux,NC - Commune non classée,NC - Commune non classée
01236,Marsonnas,NC - Commune non classée,NC - Commune non classée
01237,Martignat,NC - Commune non classée,NC - Commune non classée
01238,Massieux,NC - Commune non classée,NC - Commune non classée
01239,Massignieu-de-Rives,NC - Commune non classée,NC - Commune non classée
