year,codgeo,libgeo,zrr_status
2018,01001,L'Abergement-Clémenciat,NC - Non classée
2018,01002,L'Abergement-de-Varey,NC - Non classée
2018,01004,Ambérieu-en-Bugey,NC - Non classée
2018,01005,Ambérieux-en-Dombes,NC - Non classée
2018,01006,Ambléon,NC - Non classée
2018,01007,Ambronay,NC - Non classée
2018,01008,Ambutrix,NC - Non classée
2018,01009,Andert-et-Condon,NC - Non classée
2018,01010,Anglefort,NC - Non classée
2018,01011,Apremont,NC - Non classée
2018,01012,Aranc,NC - Non classée
2018,01013,Arandas,NC - Non classée
2018,01014,Arbent,NC - Non classée
2018,01015,Arboys en Bugey,NC - Non classée
2018,01016,Arbigny,NC - Non classée
2018,01017,Argis,NC - Non classée
2018,01019,Armix,NC - Non classée
2018,01021,Ars-sur-Formans,NC - Non classée
2018,01022,Artemare,NC - Non classée
2018,01023,Asnières-sur-Saône,NC - Non classée
2018,01024,Attignat,NC - Non classée
2018,01025,Bâgé-la-Ville,NC - Non classée
2018,01026,Bâgé-le-Châtel,NC - Non classée
2018,01027,Balan,NC - Non classée
2018,01028,Baneins,NC - Non classée
2018,01029,Beaupont,NC - Non classée
2018,01030,Beauregard,NC - Non classée
2018,01031,Bellignat,NC - Non classée
2018,01032,Béligneux,NC - Non classée
2018,01033,Bellegarde-sur-Valserine,NC - Non classée
2018,01034,Belley,NC - Non classée
2018,01035,Belleydoux,NC - Non classée
2018,01036,Belmont-Luthézieu,NC - Non classée
2018,01037,Bénonces,NC - Non classée
2018,01038,Bény,NC - Non classée
2018,01039,Béon,NC - Non classée
2018,01040,Béréziat,NC - Non classée
2018,01041,Bettant,NC - Non classée
2018,01042,Bey,NC - Non classée
2018,01043,Beynost,NC - Non classée
2018,01044,Billiat,NC - Non classée
2018,01045,Birieux,NC - Non classée
2018,01046,Biziat,NC - Non classée
2018,01047,Blyes,NC - Non classée
2018,01049,La Boisse,NC - Non classée
2018,01050,Boissey,NC - Non classée
2018,01051,Bolozon,NC - Non classée
2018,01052,Bouligneux,NC - Non classée
2018,01053,Bourg-en-Bresse,NC - Non classée
2018,01054,Bourg-Saint-Christophe,NC - Non classée
2018,01056,Boyeux-Saint-Jérôme,NC - Non classée
2018,01057,Boz,NC - Non classée
2018,01058,Brégnier-Cordon,NC - Non classée
2018,01059,Brénaz,NC - Non classée
2018,01060,Brénod,M - Sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
