codgeo,ze2020,bpe_facilities_2023_total
01001,8405,19.0
01002,8405,7.0
01004,8405,761.0
01005,8434,81.0
01006,8404,4.0
01007,8405,87.0
01008,8405,39.0
01009,8404,6.0
01010,8416,37.0
01011,8425,8.0
01012,8404,14.0
01013,8405,6.0
01014,8425,182.0
01015,8404,12.0
01016,0059,10.0
01017,8405,17.0
01019,8404,2.0
01021,8434,48.0
01022,8404,67.0
01023,0059,3.0
01024,8405,109.0
01025,0059,94.0
01026,0059,47.0
01027,8421,86.0
01028,8434,26.0
01029,8405,22.0
01030,8434,33.0
01031,8425,125.0
01032,8421,129.0
01033,8416,657.0
01034,8404,505.0
01035,8425,9.0
01036,8404,30.0
01037,8404,8.0
01038,8405,23.0
01040,8405,19.0
01041,8405,22.0
01042,0059,6.0
01043,8421,288.0
01044,8416,17.0
01045,8405,6.0
01046,0059,26.0
01047,8405,49.0
01049,8421,141.0
01050,0059,8.0
01051,8425,7.0
01052,8405,9.0
01053,8405,2005.0
01054,8405,28.0
01056,8405,11.0
01057,0059,14.0
01058,8404,47.0
01060,8404,27.0
01061,8404,31.0
01062,8421,26.0
01063,8425,22.0
01064,8405,38.0
01065,8405,59.0
01066,8404,6.0
01067,8425,13.0
01068,8405,38.0
01069,8405,45.0
01071,8416,124.0
01072,8405,136.0
01073,8404,32.0
01074,8405,126.0
01075,8434,63.0
01076,8404,6.0
01077,8405,8.0
01078,8416,24.0
01079,8404,44.0
01080,8404,17.0
01081,8416,27.0
01082,8416,20.0
01083,8434,46.0
01084,8405,27.0
01085,8405,9.0
01087,8425,11.0
01088,8405,30.0
01089,8405,86.0
01090,8405,16.0
01092,8405,55.0
01093,8405,328.0
01094,0059,13.0
01095,8405,31.0
01096,8405,37.0
01098,8404,48.0
01099,8405,61.0
01100,8404,5.0
01101,8425,4.0
01102,0059,30.0
01103,8416,32.0
01104,8416,22.0
01105,8434,91.0
01106,8405,8.0
01107,8405,6.0
01108,8405,71.0
01109,8416,77.0
01110,8404,8.0
01111,8405,5.0
01112,8425,17.0
01113,8405,29.0
01114,8416,19.0
01115,8405,42.0
01116,8404,17.0
01117,8404,9.0
01118,8416,46.0
01121,8404,7.0
01123,0059,40.0
01124,8405,16.0
01125,8405,18.0
