codgeo,ze2020,year,bpe_evolution_presence_type_count,source_geography_year,measure_definition
01001,8405,2019,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01001,8405,2024,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01002,8405,2019,2,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01002,8405,2024,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01004,8405,2019,112,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01004,8405,2024,111,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01005,8434,2019,28,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01005,8434,2024,34,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01006,8404,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01006,8404,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01007,8405,2019,24,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01007,8405,2024,30,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01008,8405,2019,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01008,8405,2024,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01009,8404,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01009,8404,2024,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01010,8416,2019,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01010,8416,2024,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01011,8425,2019,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01011,8425,2024,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01012,8404,2019,8,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01012,8404,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01013,8405,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01013,8405,2024,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01014,8425,2019,51,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01014,8425,2024,54,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01015,8404,2019,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01015,8404,2024,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01016,0059,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01016,0059,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01017,8405,2019,8,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01017,8405,2024,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01019,8404,2019,1,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01019,8404,2024,1,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01021,8434,2019,26,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01021,8434,2024,24,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01022,8404,2019,35,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01022,8404,2024,33,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01023,0059,2019,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01023,0059,2024,2,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01024,8405,2019,37,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01024,8405,2024,44,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01025,0059,2019,34,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01025,0059,2024,34,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01026,0059,2019,27,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01026,0059,2024,24,2025,count of facility types present in commune; OBS_VALUE=1 rows only
