ZE2020,year,energy_electricity_conso_nonres,energy_gas_conso_nonres,energy_heat_cold_conso_nonres,energy_electricity_pdl_nonres,energy_gas_pdl_nonres,energy_heat_cold_pdl_nonres
0051,2008,,54508.61,2439.0,,2.0,22.0
0052,2008,,755556.2999999999,,,4.0,
0053,2008,,347020.80000000005,142.0,,4.0,8.0
0054,2008,,502925.83999999997,,,6.0,
0055,2008,,11342.07,4996.0,,1.0,39.0
0058,2008,,478386.5,,,2.0,
0059,2008,,230675.91,46770.0,,3.0,282.0
0060,2008,,123588.2,8732.0,,1.0,28.0
0061,2008,,136037.2,0.0,,2.0,10.0
0062,2008,,101545.59999999999,,,2.0,
0063,2008,,,12476.0,,,10.0
0064,2008,,10351.67,,,1.0,
1101,2008,,85142.4,135059.0,,3.0,361.0
1102,2008,,179459.7,8484.0,,2.0,19.0
1103,2008,,55817.78,1772.0,,1.0,17.0
1104,2008,,566575.28,105314.0,,9.0,384.0
1105,2008,,586473.8099999999,32105.0,,7.0,83.0
1106,2008,,81375.19,25298.0,,2.0,139.0
1107,2008,,945784.1,57742.0,,5.0,135.0
1108,2008,,3839742.32,27085.0,,8.0,182.0
1109,2008,,7579049.26,1649964.68,,42.0,3102.0
1110,2008,,16604.91,,,1.0,
1112,2008,,1335315.31,456285.0,,11.0,643.0
1113,2008,,718141.74,199634.0,,7.0,365.0
1114,2008,,1657370.49,59275.0,,13.0,178.0
1115,2008,,780759.04,169206.0,,11.0,320.0
2401,2008,,19216.81,9300.0,,1.0,111.0
2402,2008,,121627.66,7629.0,,5.0,62.0
2403,2008,,,6115.0,,,46.0
2405,2008,,394730.22,0.0,,8.0,9.0
2406,2008,,,9152.0,,,7.0
2407,2008,,792254.56,,,7.0,
2408,2008,,403703.8,,,2.0,
2409,2008,,52385.689999999995,4310.0,,2.0,31.0
2410,2008,,1090556.5,98306.0,,8.0,233.0
2411,2008,,162455.32,24639.0,,2.0,1.0
2412,2008,,42727.85999999999,,,3.0,
2413,2008,,215367.79,102330.0,,4.0,153.0
2414,2008,,851029.4500000001,,,5.0,
2415,2008,,2512.51,2767.0,,1.0,1.0
2701,2008,,,15228.0,,,33.0
2702,2008,,28106.13,1247.0,,1.0,14.0
2704,2008,,144675.52,,,2.0,
2705,2008,,260389.18000000002,4554.0,,5.0,34.0
2706,2008,,106843.5,63540.0,,1.0,133.0
2707,2008,,516192.94,37318.0,,6.0,190.0
2708,2008,,465918.82,,,7.0,
2709,2008,,202468.12000000002,,,3.0,
2710,2008,,752241.89,42821.0,,10.0,115.0
2711,2008,,612625.39,31271.0,,5.0,199.0
2712,2008,,1959353.0999999999,23184.0,,6.0,29.0
2713,2008,,76995.29,4596.0,,1.0,39.0
2714,2008,,753649.5,29740.0,,5.0,149.0
2715,2008,,108554.4,1474.0,,1.0,22.0
2717,2008,,83717.79,17883.0,,1.0,40.0
2718,2008,,279225.2,0.0,,5.0,4.0
2801,2008,,,1569.0,,,14.0
2802,2008,,34756.36,,,1.0,
2803,2008,,17861.46,,,2.0,
2804,2008,,495107.05,27549.0,,5.0,127.0
2805,2008,,70779.45,3716.0,,1.0,64.0
2807,2008,,240859.55,16191.0,,4.0,20.0
2808,2008,,448028.48,58551.0,,6.0,77.0
2809,2008,,125838.2,6425.0,,1.0,28.0
2811,2008,,,7547.0,,,6.0
2812,2008,,36356.33,,,1.0,
2813,2008,,14931000.209999999,23932.0,,16.0,93.0
2814,2008,,,1494.0,,,25.0
2815,2008,5915.0,5077557.2,102801.0,12.0,8.0,282.0
2817,2008,,10292.45,6380.0,,2.0,19.0
2819,2008,,4504447.98,,,9.0,
3202,2008,,1929827.85,8694.0,,8.0,41.0
3203,2008,,626305.11,19767.0,,4.0,51.0
3204,2008,,160450.69999999998,,,4.0,
3205,2008,,4226715.41,18572.0,,7.0,97.0
3206,2008,,411289.3,2164.0,,2.0,10.0
3207,2008,,1269090.72,10077.0,,4.0,56.0
3208,2008,1189.0,157683.53,,17.0,2.0,
3210,2008,,1540509.69,19558.0,,21.0,59.0
3211,2008,38756.0,596497.16,9404.0,0.0,10.0,102.0
3212,2008,,804584.3,3941.0,,7.0,24.0
3213,2008,,7023118.14,75149.0,,10.0,173.0
3215,2008,,567778.46,47740.0,,11.0,77.0
3216,2008,,1195004.72,185790.0,,8.0,378.0
3217,2008,,1085178.59,189.0,,11.0,7.0
3218,2008,,229288.28,67230.0,,3.0,146.0
3219,2008,,3055016.57,,,11.0,
3220,2008,35214.0,2479117.87,7098.0,121.0,9.0,37.0
3221,2008,,19095.86,7658.0,,1.0,37.0
3222,2008,,1131064.65,520.0,,10.0,4.0
4401,2008,,190557.9,12678.0,,3.0,40.0
4402,2008,,311565.19,,,5.0,
4403,2008,,,6109.0,,,34.0
4404,2008,,,2300.0,,,38.0
4405,2008,224262.0,1156644.75,100309.0,0.0,6.0,133.0
4406,2008,,401123.7,3017.0,,6.0,15.0
4407,2008,,1231363.87,25123.0,,13.0,69.0
4408,2008,0.0,601052.35,65427.0,0.0,2.0,350.0
4409,2008,,1290237.12,8527.0,,12.0,10.0
4410,2008,60956.0,1225969.92,117254.0,155.0,8.0,310.0
4411,2008,,9476160.799999999,32603.0,,11.0,148.0
4412,2008,,3708051.1799999997,105384.0,,17.0,209.0
4413,2008,,1249705.9,82478.0,,3.0,93.0
4414,2008,,80324.06,585.0,,1.0,10.0
4415,2008,,570570.26,,,4.0,
4416,2008,0.0,1159236.71,0.0,0.0,4.0,19.0
4417,2008,,780862.02,7251.0,,7.0,36.0
4418,2008,,289564.05,12241.0,,4.0,56.0
4419,2008,,134008.48,,,2.0,
4420,2008,24919.16,273303.93,7809.0,296.0,4.0,17.0
4421,2008,,58586.04,20765.0,,1.0,106.0
4422,2008,840.0,533214.42,,9.0,4.0,
4423,2008,,484745.58999999997,206504.0,,4.0,294.0
4424,2008,1644.0,1407185.96,44505.0,2.0,6.0,89.0
4425,2008,,1127339.09,29971.0,,9.0,66.0
4426,2008,,421885.07,16570.0,,2.0,22.0
4427,2008,,304743.36,11498.0,,8.0,53.0
5201,2008,,157037.79,,,3.0,
5202,2008,,32416.9,49129.0,,1.0,87.0
5204,2008,,91527.04,,,1.0,
5205,2008,,1938.2,,,1.0,
5206,2008,,178350.9,278.0,,2.0,9.0
5207,2008,,104541.86,,,2.0,
5208,2008,,102175.59,,,2.0,
5210,2008,,106233.82,0.0,,3.0,1.0
5211,2008,,73515.41,6616.0,,1.0,32.0
5212,2008,,376370.77999999997,26664.0,,5.0,163.0
5213,2008,,118924.45000000001,,,6.0,
5215,2008,,331355.19999999995,,,2.0,
5216,2008,,368622.58999999997,95669.0,,5.0,169.0
5218,2008,,109211.98,,,2.0,
5219,2008,,460965.2,,,3.0,
5220,2008,,4036.86,1245.0,,1.0,23.0
5221,2008,,826.08,,,1.0,
5302,2008,,58638.85,65574.0,,3.0,1.0
5303,2008,,57574.4,,,1.0,
5304,2008,,90144.92,,,1.0,
5306,2008,,17247.26,,,1.0,
5309,2008,,15094.27,,,1.0,
5312,2008,,262567.0,,,4.0,
5313,2008,,256021.46,,,3.0,
5314,2008,,295984.02,,,3.0,
5315,2008,,395892.4,86023.0,,2.0,262.0
5316,2008,,23887.46,,,1.0,
5317,2008,,73237.93,,,1.0,
5319,2008,,20006.06,,,1.0,
7501,2008,,6237.99,28000.0,,2.0,1.0
7502,2008,,654864.34,31.0,,15.0,2.0
7503,2008,,181802.87,,,6.0,
7504,2008,,701081.91,,,7.0,
7505,2008,,1192980.16,23585.0,,26.0,130.0
7506,2008,,46979.36,700.0,,1.0,11.0
7507,2008,,1609872.1600000001,37986.0,,6.0,1.0
7508,2008,,63064.270000000004,,,2.0,
7509,2008,,399933.65,20238.0,,6.0,245.0
7510,2008,,729564.54,,,15.0,
7511,2008,,27981.04,14052.0,,2.0,31.0
7512,2008,,106803.16,6980.0,,3.0,63.0
7513,2008,,250108.05,,,4.0,
7514,2008,2944.38,42135.21,,152.0,1.0,
7516,2008,,223873.13,9198.0,,3.0,8.0
7517,2008,,199363.62,43662.0,,3.0,91.0
7518,2008,,120729.48000000001,,,7.0,
7519,2008,22995.0,64701.64,,621.0,4.0,
7520,2008,,,15321.0,,,9.0
7521,2008,,29727.940000000002,,,4.0,
7522,2008,,3685116.45,,,14.0,
7523,2008,,153873.29,,,3.0,
7524,2008,,244830.36,23261.0,,4.0,55.0
7526,2008,,5298.47,,,3.0,
7527,2008,,1455692.9,2483.0,,11.0,23.0
7532,2008,,68945.63,,,4.0,
7602,2008,0.0,446707.3,3876.0,0.0,7.0,21.0
7603,2008,,242621.6,0.0,,2.0,36.0
7604,2008,,13303.96,,,1.0,
7605,2008,,276232.03,,,2.0,
7606,2008,,141834.1,,,1.0,
7607,2008,,,184.0,,,56.0
7608,2008,5595.39,458832.49,,36.0,7.0,
7609,2008,,76441.64,,,5.0,
7610,2008,,59444.2,191.0,,4.0,36.0
7611,2008,,,6363.0,,,8.0
7612,2008,21583.0,,,669.0,,
7615,2008,,43544.04,17000.0,,4.0,8.0
7616,2008,7525.0,56828.39,83407.0,77.0,1.0,184.0
7617,2008,,,1022.0,,,21.0
7618,2008,,218823.42,37640.0,,2.0,59.0
7619,2008,,,0.0,,,0.0
7620,2008,1078280.0,109507.0,,395.0,1.0,
7621,2008,,11251.41,,,1.0,
7622,2008,0.0,481939.10000000003,,0.0,5.0,
7624,2008,1785.0,446902.84,,102.0,11.0,
7625,2008,,381418.6,107073.0,,12.0,176.0
8401,2008,,189131.98,24012.0,,2.0,117.0
8404,2008,,,8017.0,,,29.0
8405,2008,,,0.0,,,53.0
8406,2008,,106690.22,1847.0,,2.0,9.0
8407,2008,90.0,696054.8,102804.0,6.0,6.0,485.0
8408,2008,,813563.4199999999,32497.0,,9.0,104.0
8409,2008,37174.0,2721231.93,343846.0,1229.0,10.0,854.0
8410,2008,,313801.35000000003,,,3.0,
8411,2008,16455076.0,95897.28,570.0,538.0,1.0,14.0
8412,2008,,32175.03,,,1.0,
8413,2008,52907.0,253429.7,0.0,928.0,1.0,69.0
8414,2008,,,2272.0,,,83.0
8415,2008,,,1492.0,,,29.0
8417,2008,,297196.19,,,3.0,
8419,2008,,72044.48,775.0,,1.0,11.0
8420,2008,,,22.0,,,15.0
8421,2008,,3579423.06,144564.0,,21.0,460.0
8423,2008,,89041.93,13590.0,,1.0,61.0
8424,2008,,,4635.0,,,19.0
8425,2008,,,11658.0,,,54.0
8426,2008,,,1511.0,,,38.0
8428,2008,,1132503.55,39317.0,,12.0,222.0
8430,2008,,13339.02,,,1.0,
8431,2008,,,54567.0,,,87.0
8433,2008,,3634553.1,,,6.0,
8434,2008,,2219.78,644.0,,2.0,38.0
8435,2008,29414.0,247384.66,2283.0,904.0,4.0,9.0
9301,2008,,2075467.38,12019.0,,6.0,14.0
9303,2008,,81482.99,,,1.0,
9304,2008,,,710.0,,,3.0
9305,2008,,129122.5,0.0,,1.0,1.0
9306,2008,,76780.31,,,2.0,
9310,2008,,,265.0,,,4.0
9311,2008,,66987.75,,,1.0,
9312,2008,,99851.13,0.0,,3.0,18.0
9313,2008,,9262176.75,40576.0,,20.0,102.0
9315,2008,2871.0,,52829.0,104.0,,238.0
9316,2008,,219422.91999999998,,,2.0,
9318,2008,,,0.0,,,20.0
9404,2008,,,8746.0,,,33.0
0051,2009,,32080.68,2162.0,,2.0,22.0
0052,2009,,656277.48,,,4.0,
0053,2009,,331940.1,152.0,,6.0,20.0
0054,2009,,437534.83,,,5.0,
0055,2009,,26075.76,4655.0,,1.0,39.0
0058,2009,,445212.17,,,3.0,
0059,2009,,217652.72999999998,46982.0,,3.0,283.0
0060,2009,,102035.6,8077.0,,1.0,29.0
0061,2009,,127972.1,0.0,,2.0,10.0
0062,2009,,90813.77,,,2.0,
0063,2009,,,11966.0,,,10.0
0064,2009,,16077.13,,,1.0,
1101,2009,,72731.23999999999,133765.0,,3.0,361.0
1102,2009,,155081.01,8616.0,,2.0,19.0
1103,2009,,,1682.0,,,17.0
1104,2009,,553431.16,105842.0,,9.0,385.0
1105,2009,,537705.95,28281.0,,7.0,78.0
1106,2009,,79505.78,21756.0,,2.0,232.0
1107,2009,,853182.98,58242.0,,5.0,138.0
1108,2009,,4368173.13,25366.0,,8.0,185.0
1109,2009,,7724111.18,1510880.6,,42.0,3087.0
1110,2009,,13828.23,,,1.0,
1112,2009,,1326385.1600000001,549775.0,,12.0,769.0
1113,2009,,697698.65,188517.0,,7.0,356.0
1114,2009,,1516139.67,57726.0,,13.0,178.0
1115,2009,,766561.72,170108.0,,11.0,320.0
2401,2009,,19784.62,7885.0,,1.0,148.0
2402,2009,,106147.53,6396.0,,5.0,62.0
2403,2009,,,4674.0,,,46.0
2405,2009,,330500.39,0.0,,8.0,9.0
2406,2009,,,8372.0,,,7.0
2407,2009,,756410.26,,,7.0,
2408,2009,,408194.5,,,2.0,
2409,2009,,57401.63,4300.0,,2.0,31.0
2410,2009,,1148425.29,90669.0,,8.0,241.0
2411,2009,,207904.22,23545.0,,2.0,1.0
2412,2009,,35057.69,,,3.0,
2413,2009,,202285.22999999998,116276.0,,4.0,155.0
2414,2009,,819974.8899999999,,,5.0,
2415,2009,,2341.78,2509.0,,1.0,1.0
2701,2009,,,15057.0,,,35.0
2702,2009,,23599.65,1170.0,,1.0,14.0
2704,2009,,108357.19,,,2.0,
2705,2009,,224071.85000000003,3895.0,,5.0,34.0
2706,2009,,105030.6,61165.0,,1.0,133.0
2707,2009,,567688.22,35003.0,,6.0,211.0
2708,2009,,345543.16000000003,,,7.0,
2709,2009,,118061.81,,,3.0,
2710,2009,,560598.36,40849.0,,10.0,134.0
2711,2009,,587360.0599999999,28438.0,,5.0,210.0
2712,2009,,1799912.52,21706.0,,6.0,45.0
2713,2009,,57549.53,4356.0,,1.0,53.0
2714,2009,,722034.43,26055.0,,5.0,137.0
2715,2009,,86800.32,4256.0,,1.0,35.0
2716,2009,,,3444.0,,,12.0
2717,2009,,78785.37,17991.0,,1.0,40.0
2718,2009,,252577.40000000002,0.0,,5.0,5.0
2801,2009,,,2434.0,,,25.0
2802,2009,,33819.74,,,1.0,
2803,2009,,18853.66,,,2.0,
2804,2009,,489505.73,28364.0,,5.0,129.0
2805,2009,,69343.14,3123.0,,1.0,64.0
2807,2009,,255566.59,16353.0,,4.0,20.0
2808,2009,,438996.28,49937.0,,6.0,77.0
2809,2009,,118903.0,6409.0,,1.0,28.0
2811,2009,,,7181.0,,,6.0
2812,2009,,24000.96,,,1.0,
2813,2009,,14683689.16,24229.0,,13.0,97.0
2814,2009,,,1595.0,,,25.0
2815,2009,5778.0,4880203.23,89188.0,12.0,8.0,289.0
2817,2009,,8296.880000000001,5537.0,,2.0,19.0
2819,2009,,4639383.76,,,9.0,
3202,2009,,1760243.2,7980.0,,8.0,41.0
3203,2009,,673908.9099999999,17184.0,,4.0,51.0
3204,2009,,84819.09999999999,,,4.0,
3205,2009,,3875055.72,16802.0,,7.0,97.0
3206,2009,,232000.6,2164.0,,2.0,10.0
3207,2009,,1114690.56,8845.0,,4.0,56.0
3208,2009,1180.0,139298.5,,18.0,2.0,
3210,2009,,1333059.22,18512.0,,21.0,59.0
3211,2009,36297.0,474736.55,8800.0,0.0,10.0,102.0
3212,2009,,744149.9,3853.0,,7.0,24.0
3213,2009,,8344409.82,71574.0,,10.0,173.0
3215,2009,,564233.87,44628.0,,11.0,77.0
3216,2009,,1149293.64,176690.0,,8.0,378.0
3217,2009,,3826783.7600000002,164.0,,11.0,7.0
3218,2009,,255957.97999999998,59619.0,,3.0,146.0
3219,2009,,2528785.75,0.0,,11.0,14.0
3220,2009,34721.0,2393568.21,7280.0,120.0,9.0,37.0
3221,2009,,16936.1,6951.0,,1.0,37.0
3222,2009,,909894.0,520.0,,10.0,4.0
4401,2009,,192049.74,12446.0,,3.0,40.0
4402,2009,,284390.15,,,5.0,
4403,2009,,,5919.0,,,33.0
4404,2009,,,2425.0,,,38.0
4405,2009,214680.09000000003,1004060.11,100683.0,6822.0,6.0,133.0
4406,2009,,361725.0,3959.0,,6.0,17.0
4407,2009,,1090870.88,26194.0,,13.0,112.0
4408,2009,0.0,605803.36,59255.0,0.0,2.0,346.0
4409,2009,,1244617.54,8527.0,,12.0,10.0
4410,2009,58067.0,661331.38,188066.0,165.0,8.0,314.0
4411,2009,,8462096.66,32493.0,,11.0,148.0
4412,2009,,3170504.4699999997,88456.0,,17.0,188.0
4413,2009,,1523936.4,78636.0,,3.0,85.0
4414,2009,,67350.38,581.0,,1.0,10.0
4415,2009,,544705.76,,,4.0,
4416,2009,0.0,1494341.32,0.0,0.0,8.0,19.0
4417,2009,,680943.18,7740.0,,7.0,38.0
4418,2009,,246266.02,11427.0,,4.0,56.0
4419,2009,,106476.15,,,2.0,
4420,2009,21374.63,255683.41,5420.0,320.0,4.0,16.0
4421,2009,,44056.17,19570.0,,1.0,106.0
4422,2009,,561323.24,,,4.0,
4423,2009,890.0,460196.62,217764.0,10.0,4.0,295.0
4424,2009,2663.0,1227057.28,44773.0,2.0,6.0,94.0
4425,2009,,1152867.85,27206.0,,9.0,66.0
4426,2009,,154296.44,13664.0,,2.0,22.0
4427,2009,,229039.74000000002,10845.0,,8.0,53.0
5201,2009,,146575.14,,,3.0,
5202,2009,,33237.46,46742.0,,1.0,94.0
5204,2009,,91299.07,,,1.0,
5205,2009,,1346.12,,,1.0,
