ZE2020,year,stock
0051,2017,4166.0
0051,2018,4135.0
0051,2019,4303.0
0051,2020,4284.0
0051,2021,4331.0
0051,2022,7912.0
0051,2023,7825.0
0052,2017,5733.0
0052,2018,5753.0
0052,2019,5991.0
0052,2020,6022.0
0052,2021,6283.0
0052,2022,15183.0
0052,2023,15582.0
0053,2017,11130.0
0053,2018,11081.0
0053,2019,11611.0
0053,2020,11602.0
0053,2021,12006.0
0053,2022,31530.0
0053,2023,32075.0
0054,2017,7504.0
0054,2018,7492.0
0054,2019,7728.0
0054,2020,7711.0
0054,2021,7914.0
0054,2022,17649.0
0054,2023,18132.0
0055,2017,2453.0
0055,2018,2424.0
0055,2019,2498.0
0055,2020,2498.0
0055,2021,2597.0
0055,2022,6637.0
0055,2023,6792.0
0056,2017,2530.0
0056,2018,2487.0
0056,2019,2538.0
0056,2020,2487.0
0056,2021,2570.0
0056,2022,5057.0
0056,2023,4962.0
0057,2017,3482.0
0057,2018,3467.0
0057,2019,3633.0
0057,2020,3696.0
0057,2021,3773.0
0057,2022,9566.0
0057,2023,9746.0
0058,2017,2335.0
0058,2018,2281.0
0058,2019,2335.0
0058,2020,2289.0
0058,2021,2346.0
0058,2022,4629.0
0058,2023,4626.0
0059,2017,5946.0
0059,2018,5920.0
0059,2019,6117.0
0059,2020,6061.0
0059,2021,6226.0
0059,2022,14320.0
0059,2023,14621.0
0060,2017,4761.0
0060,2018,4739.0
0060,2019,4783.0
0060,2020,4708.0
0060,2021,4766.0
0060,2022,9680.0
0060,2023,9723.0
0061,2017,2056.0
0061,2018,2039.0
0061,2019,2089.0
0061,2020,2105.0
0061,2021,2131.0
0061,2022,4659.0
0061,2023,4620.0
0062,2017,2266.0
0062,2018,2275.0
0062,2019,2322.0
0062,2020,2345.0
0062,2021,2391.0
0062,2022,5786.0
0062,2023,5885.0
0063,2017,3019.0
0063,2018,2980.0
0063,2019,3026.0
0063,2020,2994.0
0063,2021,3080.0
0063,2022,6218.0
0063,2023,5934.0
0064,2017,2753.0
0064,2018,2758.0
0064,2019,2959.0
0064,2020,2949.0
0064,2021,3011.0
0064,2022,7223.0
0064,2023,7197.0
0101,2017,344.0
0101,2018,337.0
0101,2019,376.0
0101,2020,393.0
0101,2021,419.0
0101,2022,1303.0
0101,2023,1361.0
0102,2017,1296.0
0102,2018,1302.0
0102,2019,1463.0
0102,2020,1538.0
0102,2021,1687.0
0102,2022,4723.0
0102,2023,5005.0
0103,2017,285.0
0103,2018,280.0
0103,2019,299.0
0103,2020,308.0
0103,2021,339.0
0103,2022,822.0
0103,2023,855.0
0104,2017,7692.0
0104,2018,7694.0
0104,2019,8533.0
0104,2020,8868.0
0104,2021,9301.0
0104,2022,25359.0
0104,2023,26661.0
0105,2017,1638.0
0105,2018,1632.0
0105,2019,1794.0
0105,2020,1824.0
0105,2021,1888.0
0105,2022,4284.0
0105,2023,4429.0
0201,2017,1191.0
0201,2018,1090.0
0201,2019,1243.0
0201,2020,1262.0
0201,2021,1324.0
0201,2022,3480.0
0201,2023,3620.0
0202,2017,6130.0
0202,2018,5746.0
0202,2019,6415.0
0202,2020,6490.0
0202,2021,6784.0
0202,2022,30808.0
0202,2023,33211.0
0203,2017,390.0
0203,2018,360.0
0203,2019,373.0
0203,2020,384.0
0203,2021,395.0
0203,2022,693.0
0203,2023,701.0
0204,2017,523.0
0204,2018,465.0
0204,2019,523.0
0204,2020,529.0
0204,2021,546.0
0204,2022,1274.0
0204,2023,1307.0
0205,2017,1154.0
0205,2018,1038.0
0205,2019,1176.0
0205,2020,1200.0
0205,2021,1273.0
0205,2022,3461.0
0205,2023,3657.0
0206,2017,1901.0
0206,2018,1740.0
0206,2019,1960.0
0206,2020,2054.0
0206,2021,2192.0
0206,2022,6337.0
0206,2023,6628.0
0301,2017,3382.0
0301,2018,3499.0
0301,2019,4070.0
0301,2020,4133.0
0301,2021,4436.0
0301,2022,9925.0
0301,2023,10385.0
0302,2017,523.0
0302,2018,534.0
0302,2019,596.0
0302,2020,613.0
0302,2021,667.0
0302,2022,1283.0
0302,2023,1370.0
0303,2017,622.0
0303,2018,657.0
0303,2019,723.0
0303,2020,713.0
0303,2021,741.0
0303,2022,1443.0
0303,2023,1479.0
0401,2017,2840.0
0401,2018,2784.0
0401,2019,2877.0
0401,2020,2998.0
0401,2021,3292.0
0401,2022,7228.0
0401,2023,7563.0
0402,2017,6351.0
0402,2018,6209.0
0402,2019,6456.0
0402,2020,6763.0
0402,2021,7300.0
0402,2022,21646.0
0402,2023,22308.0
0403,2017,6428.0
0403,2018,6241.0
0403,2019,6464.0
0403,2020,6665.0
0403,2021,7045.0
0403,2022,17360.0
0403,2023,18264.0
0404,2017,8091.0
0404,2018,8014.0
0404,2019,8251.0
0404,2020,8585.0
0404,2021,9282.0
0404,2022,22247.0
0404,2023,23402.0
0601,2022,2265.0
0601,2023,3924.0
1101,2017,14601.0
1101,2018,14939.0
1101,2019,15740.0
1101,2020,16050.0
1101,2021,16684.0
1101,2022,48600.0
1101,2023,49743.0
1102,2017,1876.0
1102,2018,1885.0
1102,2019,1897.0
1102,2020,1905.0
1102,2021,1986.0
1102,2022,5451.0
1102,2023,5507.0
1103,2017,2663.0
1103,2018,2706.0
1103,2019,2827.0
1103,2020,2801.0
1103,2021,2845.0
1103,2022,7728.0
1103,2023,7807.0
1104,2017,13048.0
1104,2018,13767.0
1104,2019,14663.0
1104,2020,14851.0
1104,2021,15473.0
1104,2022,42333.0
1104,2023,43211.0
1105,2017,5410.0
1105,2018,5448.0
1105,2019,5596.0
1105,2020,5595.0
1105,2021,5753.0
1105,2022,16777.0
1105,2023,17116.0
1106,2017,12880.0
1106,2018,13178.0
1106,2019,13925.0
1106,2020,14060.0
1106,2021,14753.0
1106,2022,40587.0
1106,2023,41309.0
1107,2017,4972.0
1107,2018,4983.0
1107,2019,5212.0
1107,2020,5158.0
1107,2021,5390.0
1107,2022,14967.0
1107,2023,15157.0
1108,2017,4884.0
1108,2018,4902.0
1108,2019,5168.0
1108,2020,5229.0
1108,2021,5412.0
1108,2022,13994.0
1108,2023,14278.0
1109,2017,127924.0
1109,2018,130268.0
1109,2019,138424.0
1109,2020,139717.0
1109,2021,144857.0
1109,2022,949044.0
1109,2023,965945.0
1110,2017,1539.0
1110,2018,1521.0
1110,2019,1561.0
1110,2020,1553.0
1110,2021,1634.0
1110,2022,3845.0
1110,2023,3944.0
1111,2017,2263.0
1111,2018,2264.0
1111,2019,2338.0
1111,2020,2314.0
1111,2021,2430.0
1111,2022,7138.0
1111,2023,7243.0
1112,2017,22146.0
1112,2018,22937.0
1112,2019,24776.0
1112,2020,25312.0
1112,2021,26663.0
1112,2022,66205.0
1112,2023,67801.0
1113,2017,13774.0
1113,2018,13806.0
1113,2019,14542.0
1113,2020,14705.0
1113,2021,15215.0
1113,2022,42293.0
1113,2023,43413.0
1114,2017,18748.0
1114,2018,18899.0
1114,2019,19891.0
1114,2020,20221.0
