codgeo,ze2020,filosofi_measure,weight_households_2020,obs_value
01004,8405,S_HH_TAX,6882.0,72.2
01004,8405,S_DIR_TAX_DI,6882.0,-14.5
01007,8405,S_HH_TAX,1192.0,76.1
01007,8405,S_DIR_TAX_DI,1192.0,-14.4
01014,8425,S_HH_TAX,1375.0,68.6
01014,8425,S_DIR_TAX_DI,1375.0,-14.6
01024,8405,S_HH_TAX,1331.0,74.5
01024,8405,S_DIR_TAX_DI,1331.0,-15.2
01025,0059,S_HH_TAX,1610.0,77.3
01025,0059,S_DIR_TAX_DI,1610.0,-14.5
01031,8425,S_HH_TAX,1556.0,64.8
01031,8425,S_DIR_TAX_DI,1556.0,-13.6
01032,8421,S_HH_TAX,1199.0,80.3
01032,8421,S_DIR_TAX_DI,1199.0,-14.8
01033,8416,S_HH_TAX,6686.0,79.0
01033,8416,S_DIR_TAX_DI,6686.0,-13.6
01034,8404,S_HH_TAX,4134.0,63.7
01034,8404,S_DIR_TAX_DI,4134.0,-14.1
01043,8421,S_HH_TAX,1921.0,82.1
01043,8421,S_DIR_TAX_DI,1921.0,-19.6
01049,8421,S_HH_TAX,1263.0,79.3
01049,8421,S_DIR_TAX_DI,1263.0,-16.2
01053,8405,S_HH_TAX,18724.0,63.2
01053,8405,S_DIR_TAX_DI,18724.0,-14.4
01071,8416,S_HH_TAX,1924.0,97.3
01071,8416,S_DIR_TAX_DI,1924.0,-19.0
01072,8405,S_HH_TAX,1337.0,75.1
01072,8405,S_DIR_TAX_DI,1337.0,-17.4
01074,8405,S_HH_TAX,1072.0,77.2
01074,8405,S_DIR_TAX_DI,1072.0,-14.0
01089,8405,S_HH_TAX,873.0,80.0
01089,8405,S_DIR_TAX_DI,873.0,-13.8
01093,8405,S_HH_TAX,2303.0,63.7
01093,8405,S_DIR_TAX_DI,2303.0,-15.0
01109,8416,S_HH_TAX,828.0,96.0
01109,8416,S_DIR_TAX_DI,828.0,-14.7
01130,8405,S_HH_TAX,899.0,78.6
01130,8405,S_DIR_TAX_DI,899.0,-13.9
01135,8416,S_HH_TAX,757.0,89.8
01135,8416,S_DIR_TAX_DI,757.0,-17.3
01138,8404,S_HH_TAX,1287.0,67.3
01138,8404,S_DIR_TAX_DI,1287.0,-12.5
01142,8421,S_HH_TAX,1856.0,80.4
01142,8421,S_DIR_TAX_DI,1856.0,-16.0
01143,8416,S_HH_TAX,4075.0,96.1
01143,8416,S_DIR_TAX_DI,4075.0,-22.3
01153,8416,S_HH_TAX,749.0,94.7
01153,8416,S_DIR_TAX_DI,749.0,-19.1
01157,8434,S_HH_TAX,958.0,76.2
01157,8434,S_DIR_TAX_DI,958.0,-18.6
01159,0059,S_HH_TAX,1494.0,71.8
01159,0059,S_DIR_TAX_DI,1494.0,-15.4
01160,8416,S_HH_TAX,3676.0,85.0
01160,8416,S_DIR_TAX_DI,3676.0,-17.2
01166,8434,S_HH_TAX,996.0,80.4
01166,8434,S_DIR_TAX_DI,996.0,-16.3
01173,8416,S_HH_TAX,5127.0,98.8
01173,8416,S_DIR_TAX_DI,5127.0,-18.6
01185,8404,S_HH_TAX,2013.0,62.3
01185,8404,S_DIR_TAX_DI,2013.0,-13.7
01192,8425,S_HH_TAX,925.0,80.9
01192,8425,S_DIR_TAX_DI,925.0,-15.7
01194,8434,S_HH_TAX,2658.0,72.2
01194,8434,S_DIR_TAX_DI,2658.0,-14.7
01199,8405,S_HH_TAX,914.0,75.4
01199,8405,S_DIR_TAX_DI,914.0,-13.7
01202,8405,S_HH_TAX,3313.0,72.2
01202,8405,S_DIR_TAX_DI,3313.0,-15.3
01224,8421,S_HH_TAX,1312.0,79.9
01224,8421,S_DIR_TAX_DI,1312.0,-14.0
01231,0059,S_HH_TAX,820.0,70.3
01231,0059,S_DIR_TAX_DI,820.0,-14.5
01232,8405,S_HH_TAX,947.0,67.3
01232,8405,S_DIR_TAX_DI,947.0,-14.5
01238,8434,S_HH_TAX,1050.0,82.2
01238,8434,S_DIR_TAX_DI,1050.0,-17.7
01244,8405,S_HH_TAX,3427.0,79.3
01244,8405,S_DIR_TAX_DI,3427.0,-15.1
01246,8405,S_HH_TAX,898.0,69.1
01246,8405,S_DIR_TAX_DI,898.0,-14.1
01248,8421,S_HH_TAX,870.0,82.5
01248,8421,S_DIR_TAX_DI,870.0,-18.4
01249,8421,S_HH_TAX,4068.0,79.1
01249,8421,S_DIR_TAX_DI,4068.0,-17.2
01254,8405,S_HH_TAX,844.0,77.6
01254,8405,S_DIR_TAX_DI,844.0,-18.8
01262,8421,S_HH_TAX,2975.0,79.1
01262,8421,S_DIR_TAX_DI,2975.0,-15.6
01263,8434,S_HH_TAX,1626.0,73.1
01263,8434,S_DIR_TAX_DI,1626.0,-16.1
01265,8425,S_HH_TAX,1535.0,71.9
01265,8425,S_DIR_TAX_DI,1535.0,-12.8
01266,8405,S_HH_TAX,1236.0,64.1
01266,8405,S_DIR_TAX_DI,1236.0,-13.0
01269,8425,S_HH_TAX,1436.0,66.5
01269,8425,S_DIR_TAX_DI,1436.0,-13.2
01275,8421,S_HH_TAX,1014.0,80.8
01275,8421,S_DIR_TAX_DI,1014.0,-24.4
01281,8416,S_HH_TAX,1635.0,90.5
01281,8416,S_DIR_TAX_DI,1635.0,-17.2
01283,8425,S_HH_TAX,9235.0,66.6
01283,8425,S_DIR_TAX_DI,9235.0,-12.9
01288,8416,S_HH_TAX,991.0,92.7
01288,8416,S_DIR_TAX_DI,991.0,-15.9
01289,8405,S_HH_TAX,2735.0,63.6
01289,8405,S_DIR_TAX_DI,2735.0,-15.2
01301,8405,S_HH_TAX,1128.0,68.4
01301,8405,S_DIR_TAX_DI,1128.0,-15.6
01304,8405,S_HH_TAX,1195.0,77.0
01304,8405,S_DIR_TAX_DI,1195.0,-13.7
01305,0059,S_HH_TAX,1084.0,61.1
01305,0059,S_DIR_TAX_DI,1084.0,-12.8
01313,8416,S_HH_TAX,3100.0,93.1
01313,8416,S_DIR_TAX_DI,3100.0,-17.3
01320,0059,S_HH_TAX,1613.0,72.5
01320,0059,S_DIR_TAX_DI,1613.0,-15.1
01322,8434,S_HH_TAX,1885.0,81.9
01322,8434,S_DIR_TAX_DI,1885.0,-19.7
01333,8421,S_HH_TAX,1434.0,73.5
01333,8421,S_DIR_TAX_DI,1434.0,-15.6
01344,8405,S_HH_TAX,2614.0,65.3
01344,8405,S_DIR_TAX_DI,2614.0,-16.3
01345,8405,S_HH_TAX,976.0,68.7
01345,8405,S_DIR_TAX_DI,976.0,-13.7
01347,8434,S_HH_TAX,816.0,79.4
01347,8434,S_DIR_TAX_DI,816.0,-17.9
01348,8434,S_HH_TAX,1217.0,71.2
01348,8434,S_DIR_TAX_DI,1217.0,-13.4
01350,8405,S_HH_TAX,1108.0,68.9
01350,8405,S_DIR_TAX_DI,1108.0,-14.2
01354,8416,S_HH_TAX,4494.0,91.6
01354,8416,S_DIR_TAX_DI,4494.0,-15.9
01376,8421,S_HH_TAX,1685.0,76.6
01376,8421,S_DIR_TAX_DI,1685.0,-15.2
01378,8421,S_HH_TAX,1093.0,82.9
01378,8421,S_DIR_TAX_DI,1093.0,-17.2
01384,8405,S_HH_TAX,971.0,68.3
01384,8405,S_DIR_TAX_DI,971.0,-11.6
01399,8416,S_HH_TAX,783.0,91.1
01399,8416,S_DIR_TAX_DI,783.0,-18.0
01419,8416,S_HH_TAX,2307.0,86.7
01419,8416,S_DIR_TAX_DI,2307.0,-16.5
01426,8405,S_HH_TAX,1062.0,72.9
01426,8405,S_DIR_TAX_DI,1062.0,-14.6
01427,8434,S_HH_TAX,2988.0,79.2
01427,8434,S_DIR_TAX_DI,2988.0,-15.8
01435,8416,S_HH_TAX,773.0,90.3
01435,8416,S_DIR_TAX_DI,773.0,-17.3
01443,8405,S_HH_TAX,2128.0,73.7
01443,8405,S_DIR_TAX_DI,2128.0,-14.2
01450,8405,S_HH_TAX,1491.0,82.6
01450,8405,S_DIR_TAX_DI,1491.0,-16.7
01451,8405,S_HH_TAX,2739.0,69.8
01451,8405,S_DIR_TAX_DI,2739.0,-15.4
01457,0059,S_HH_TAX,1314.0,62.2
01457,0059,S_DIR_TAX_DI,1314.0,-13.0
02018,3214,S_HH_TAX,1097.0,61.2
02018,3214,S_DIR_TAX_DI,1097.0,-12.3
02028,3214,S_HH_TAX,1103.0,69.0
02028,3214,S_DIR_TAX_DI,1103.0,-13.2
02059,3220,S_HH_TAX,1166.0,55.5
02059,3220,S_DIR_TAX_DI,1166.0,-10.0
02064,3221,S_HH_TAX,1641.0,59.9
02064,3221,S_DIR_TAX_DI,1641.0,-11.7
02095,3220,S_HH_TAX,2365.0,51.6
02095,3220,S_DIR_TAX_DI,2365.0,-9.6
02110,3221,S_HH_TAX,908.0,66.0
02110,3221,S_DIR_TAX_DI,908.0,-12.6
02163,3209,S_HH_TAX,1085.0,68.0
02163,3209,S_DIR_TAX_DI,1085.0,-16.2
02168,3209,S_HH_TAX,6931.0,65.5
02168,3209,S_DIR_TAX_DI,6931.0,-13.9
02173,3220,S_HH_TAX,5418.0,60.1
02173,3220,S_DIR_TAX_DI,5418.0,-12.4
02243,3221,S_HH_TAX,1297.0,67.0
02243,3221,S_DIR_TAX_DI,1297.0,-12.8
02290,3209,S_HH_TAX,1129.0,73.9
02290,3209,S_DIR_TAX_DI,1129.0,-16.6
02304,3220,S_HH_TAX,1194.0,58.2
02304,3220,S_DIR_TAX_DI,1194.0,-9.7
02305,3209,S_HH_TAX,1321.0,59.1
02305,3209,S_DIR_TAX_DI,1321.0,-11.8
02334,3220,S_HH_TAX,1223.0,62.2
02334,3220,S_DIR_TAX_DI,1223.0,-12.3
02340,3220,S_HH_TAX,2305.0,62.1
02340,3220,S_DIR_TAX_DI,2305.0,-11.3
02360,3214,S_HH_TAX,1184.0,71.1
02360,3214,S_DIR_TAX_DI,1184.0,-14.3
02361,3220,S_HH_TAX,2092.0,52.5
02361,3220,S_DIR_TAX_DI,2092.0,-11.1
02381,3217,S_HH_TAX,3756.0,50.3
02381,3217,S_DIR_TAX_DI,3756.0,-10.1
02408,3214,S_HH_TAX,11039.0,59.9
02408,3214,S_DIR_TAX_DI,11039.0,-12.8
02468,3214,S_HH_TAX,937.0,56.9
02468,3214,S_DIR_TAX_DI,937.0,-11.9
02555,3209,S_HH_TAX,873.0,73.9
02555,3209,S_DIR_TAX_DI,873.0,-13.5
02558,3217,S_HH_TAX,1114.0,59.4
02558,3217,S_DIR_TAX_DI,1114.0,-11.3
02684,3217,S_HH_TAX,1380.0,57.8
02684,3217,S_DIR_TAX_DI,1380.0,-10.3
02691,3220,S_HH_TAX,24635.0,60.6
02691,3220,S_DIR_TAX_DI,24635.0,-12.9
02719,3220,S_HH_TAX,893.0,68.1
02719,3220,S_DIR_TAX_DI,893.0,-12.7
02722,3221,S_HH_TAX,12907.0,60.0
02722,3221,S_DIR_TAX_DI,12907.0,-13.8
02738,3220,S_HH_TAX,5975.0,58.8
02738,3220,S_DIR_TAX_DI,5975.0,-10.2
02758,3221,S_HH_TAX,953.0,57.2
02758,3221,S_DIR_TAX_DI,953.0,-12.0
02789,3217,S_HH_TAX,1162.0,61.6
02789,3217,S_DIR_TAX_DI,1162.0,-11.8
02805,3221,S_HH_TAX,1108.0,66.6
02805,3221,S_DIR_TAX_DI,1108.0,-11.4
02810,3221,S_HH_TAX,4466.0,71.6
02810,3221,S_DIR_TAX_DI,4466.0,-13.3
03001,8432,S_HH_TAX,1303.0,67.9
03001,8432,S_DIR_TAX_DI,1303.0,-14.9
03013,8424,S_HH_TAX,1855.0,62.5
03013,8424,S_DIR_TAX_DI,1855.0,-15.0
03023,8432,S_HH_TAX,4170.0,55.7
03023,8432,S_DIR_TAX_DI,4170.0,-16.4
03036,8424,S_HH_TAX,1128.0,54.2
03036,8424,S_DIR_TAX_DI,1128.0,-12.6
03082,8423,S_HH_TAX,3122.0,51.2
03082,8423,S_DIR_TAX_DI,3122.0,-11.4
03084,8423,S_HH_TAX,1033.0,54.0
03084,8423,S_DIR_TAX_DI,1033.0,-12.1
03094,8432,S_HH_TAX,1481.0,64.2
03094,8432,S_DIR_TAX_DI,1481.0,-16.3
03095,8432,S_HH_TAX,6230.0,57.5
03095,8432,S_DIR_TAX_DI,6230.0,-13.2
03098,8423,S_HH_TAX,2153.0,59.4
