codgeo,ze2020,filosofi_measure,obs_value
01263,8434,S_DIR_TAX_DI,-16.4
01384,8405,S_DIR_TAX_DI,-12
01043,8421,S_DIR_TAX_DI,-19
01192,8425,S_DIR_TAX_DI,-15.2
01435,8416,S_HH_TAX,54
01344,8405,S_HH_TAX,63
01305,0059,S_HH_TAX,44
01160,8416,S_DIR_TAX_DI,-15.1
01347,8434,S_DIR_TAX_DI,-19
02018,3214,S_HH_TAX,45
01378,8421,S_HH_TAX,68
01005,8434,S_HH_TAX,61
01192,8425,S_HH_TAX,57
01457,0059,S_HH_TAX,46
01109,8416,S_DIR_TAX_DI,-14.5
01130,8405,S_DIR_TAX_DI,-14.6
01283,8425,S_DIR_TAX_DI,-13.3
01199,8405,S_DIR_TAX_DI,-14.5
01109,8416,S_HH_TAX,47
01320,0059,S_HH_TAX,60
01224,8421,S_DIR_TAX_DI,-14.4
01322,8434,S_HH_TAX,70
01135,8416,S_HH_TAX,56
01202,8405,S_HH_TAX,55
01224,8421,S_HH_TAX,58
01157,8434,S_DIR_TAX_DI,-17.9
01166,8434,S_DIR_TAX_DI,-16.5
01450,8405,S_DIR_TAX_DI,-17
01185,8404,S_DIR_TAX_DI,-14.2
01074,8405,S_HH_TAX,50
01142,8421,S_DIR_TAX_DI,-16.4
01163,8405,S_HH_TAX,52
01093,8405,S_DIR_TAX_DI,-15.1
01266,8405,S_HH_TAX,49
01283,8425,S_HH_TAX,40
01031,8425,S_HH_TAX,44
01071,8416,S_HH_TAX,63
01034,8404,S_DIR_TAX_DI,-14.3
01007,8405,S_HH_TAX,60
01232,8405,S_DIR_TAX_DI,-15.2
01457,0059,S_DIR_TAX_DI,-13.2
01199,8405,S_HH_TAX,54
01238,8434,S_DIR_TAX_DI,-17.3
01345,8405,S_DIR_TAX_DI,-14.9
01244,8405,S_DIR_TAX_DI,-15.7
01072,8405,S_HH_TAX,63
01399,8416,S_DIR_TAX_DI,-18
01173,8416,S_DIR_TAX_DI,-18.8
01426,8405,S_DIR_TAX_DI,-15.7
01072,8405,S_DIR_TAX_DI,-17.6
01071,8416,S_DIR_TAX_DI,-19
01159,0059,S_HH_TAX,58
01435,8416,S_DIR_TAX_DI,-16.8
01348,8434,S_DIR_TAX_DI,-14.2
01304,8405,S_DIR_TAX_DI,-14.6
01004,8405,S_HH_TAX,50
01350,8405,S_DIR_TAX_DI,-14.7
01005,8434,S_DIR_TAX_DI,-16.3
01185,8404,S_HH_TAX,54
01135,8416,S_DIR_TAX_DI,-17.3
01269,8425,S_HH_TAX,42
01254,8405,S_HH_TAX,71
01089,8405,S_HH_TAX,62
01443,8405,S_DIR_TAX_DI,-14.7
01024,8405,S_DIR_TAX_DI,-14.9
01249,8421,S_HH_TAX,64
01142,8421,S_HH_TAX,64
01194,8434,S_DIR_TAX_DI,-14.5
01313,8416,S_DIR_TAX_DI,-17.3
01033,8416,S_DIR_TAX_DI,-13.9
01033,8416,S_HH_TAX,46
02028,3214,S_HH_TAX,54
09265,7612,S_DIR_TAX_DI,-14.3
09261,7622,S_HH_TAX,40
11049,7608,S_HH_TAX,42
10265,4425,S_DIR_TAX_DI,-11.3
09332,7612,S_HH_TAX,56
10003,4425,S_DIR_TAX_DI,-13.3
10268,4415,S_HH_TAX,47
09185,7612,S_DIR_TAX_DI,-13.1
10060,4425,S_HH_TAX,54
09185,7612,S_HH_TAX,47
10343,4425,S_HH_TAX,53
10325,4425,S_DIR_TAX_DI,-16.9
10209,4425,S_HH_TAX,56
09306,7612,S_DIR_TAX_DI,-11.3
10034,4425,S_HH_TAX,39
11049,7608,S_DIR_TAX_DI,-12.7
10333,4425,S_DIR_TAX_DI,-15.4
10323,4415,S_DIR_TAX_DI,-11
09306,7612,S_HH_TAX,37
09324,7612,S_HH_TAX,52
10115,4425,S_DIR_TAX_DI,-16
10357,4425,S_DIR_TAX_DI,-16
10420,4415,S_HH_TAX,49
22046,5307,S_DIR_TAX_DI,-12.8
22251,5316,S_DIR_TAX_DI,-16.4
22118,5304,S_HH_TAX,53
22172,5304,S_HH_TAX,44
