codgeo,ze2020,economic_sphere,unit_loc_2024
01233,8404,PRESENTIAL,2
01053,8405,PRODUCTIVE,548
01099,8405,PRESENTIAL,37
01065,8405,PRODUCTIVE,8
01064,8405,PRODUCTIVE,7
01199,8405,PRESENTIAL,27
01203,0059,PRESENTIAL,17
01185,8404,PRODUCTIVE,30
01188,8434,PRODUCTIVE,10
01169,8434,PRODUCTIVE,1
01133,8404,PRODUCTIVE,1
01261,8421,PRODUCTIVE,6
01255,8405,PRODUCTIVE,4
01239,8404,PRODUCTIVE,4
01007,8405,PRESENTIAL,49
01005,8434,PRODUCTIVE,12
01156,8421,PRESENTIAL,11
01279,8405,PRODUCTIVE,0
01260,8421,PRODUCTIVE,10
01196,8405,PRESENTIAL,28
01210,8416,PRODUCTIVE,4
01063,8425,PRODUCTIVE,16
01067,8425,PRESENTIAL,4
01056,8405,PRESENTIAL,1
01151,8405,PRODUCTIVE,8
01147,8405,PRODUCTIVE,6
01231,0059,PRESENTIAL,30
01246,8405,PRODUCTIVE,12
01100,8404,PRESENTIAL,2
01171,8425,PRESENTIAL,5
01019,8404,PRODUCTIVE,0
01063,8425,PRESENTIAL,12
01075,8434,PRODUCTIVE,27
01258,8434,PRESENTIAL,25
01194,8434,PRESENTIAL,106
01224,8421,PRESENTIAL,61
01125,8405,PRESENTIAL,6
01145,8405,PRODUCTIVE,18
01151,8405,PRESENTIAL,15
01293,8425,PRODUCTIVE,2
01307,8425,PRODUCTIVE,20
01265,8425,PRODUCTIVE,58
01193,8404,PRODUCTIVE,1
01191,8425,PRESENTIAL,2
01190,8404,PRODUCTIVE,3
01008,8405,PRODUCTIVE,3
01170,8425,PRESENTIAL,17
01295,8434,PRODUCTIVE,4
01138,8404,PRESENTIAL,61
01123,0059,PRODUCTIVE,9
01129,8405,PRESENTIAL,2
01244,8405,PRODUCTIVE,72
01167,8434,PRESENTIAL,8
01213,8405,PRESENTIAL,26
01056,8405,PRODUCTIVE,9
01060,8404,PRESENTIAL,11
01046,0059,PRODUCTIVE,7
01280,8404,PRODUCTIVE,3
01288,8416,PRESENTIAL,40
01263,8434,PRODUCTIVE,38
01308,8416,PRESENTIAL,6
01123,0059,PRESENTIAL,14
01254,8405,PRODUCTIVE,42
01227,8404,PRODUCTIVE,7
01235,8405,PRESENTIAL,18
01225,8434,PRODUCTIVE,2
01184,8405,PRESENTIAL,9
01074,8405,PRESENTIAL,56
01058,8404,PRESENTIAL,15
01079,8404,PRESENTIAL,26
01038,8405,PRODUCTIVE,5
01026,0059,PRODUCTIVE,6
01272,8405,PRODUCTIVE,21
01284,0059,PRESENTIAL,10
01121,8404,PRODUCTIVE,4
01244,8405,PRESENTIAL,240
01163,8405,PRODUCTIVE,28
01082,8416,PRESENTIAL,6
01068,8405,PRODUCTIVE,6
01068,8405,PRESENTIAL,9
01112,8425,PRODUCTIVE,7
