ZE2020,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0051,129247.0,129344.0,129478.0,129567.0,129086.0,128874.0,128674.0,128654.0,128256.0,127951.0,127379.0,126561.0,125695.0,125216.0,124646.0,124267.0,124291.0,123814.0
0052,132710.0,133233.0,134574.0,135357.0,136194.0,136732.0,137698.0,138757.0,140355.0,141827.0,140850.0,141086.0,139812.0,139963.0,139958.0,139840.0,141292.0,142322.0
0053,268555.0,269981.0,269474.0,269845.0,270593.0,272755.0,273542.0,275375.0,278502.0,279655.0,281198.0,281434.0,281660.0,282435.0,283184.0,284909.0,288353.0,290589.0
0054,271845.0,272858.0,274213.0,275820.0,277609.0,278619.0,280448.0,282612.0,283341.0,284418.0,285668.0,286131.0,286628.0,287479.0,287355.0,286982.0,286478.0,285835.0
0055,72270.0,73270.0,74397.0,75139.0,75686.0,76134.0,76757.0,76790.0,77147.0,77316.0,77826.0,77915.0,78011.0,78159.0,78820.0,78756.0,79350.0,79887.0
0056,72606.0,72544.0,72412.0,72036.0,71881.0,71570.0,71169.0,70937.0,70441.0,69792.0,69058.0,68172.0,67353.0,66612.0,66160.0,66025.0,66439.0,66152.0
0057,140599.0,140969.0,140910.0,141342.0,142740.0,143012.0,144152.0,144973.0,145567.0,145503.0,145772.0,145858.0,145474.0,145431.0,145708.0,146035.0,147414.0,147117.0
0058,82988.0,83108.0,82916.0,82493.0,82130.0,81870.0,81565.0,81329.0,81054.0,80654.0,79996.0,79339.0,78385.0,77651.0,76966.0,76633.0,76247.0,75793.0
0059,152818.0,154102.0,156167.0,157448.0,158853.0,159601.0,159694.0,160912.0,161597.0,161976.0,162893.0,163559.0,164511.0,165226.0,166288.0,166657.0,167619.0,168596.0
0060,170824.0,170185.0,169738.0,169829.0,169230.0,168377.0,167109.0,165797.0,164555.0,163291.0,161441.0,160114.0,159248.0,158266.0,156838.0,156665.0,156329.0,155668.0
0061,68915.0,68968.0,68968.0,68993.0,68890.0,68867.0,68690.0,68300.0,67623.0,66999.0,66509.0,65759.0,65119.0,64558.0,64117.0,63774.0,63647.0,63469.0
0062,78990.0,79821.0,80596.0,81448.0,82501.0,83071.0,83341.0,83413.0,83523.0,83685.0,83846.0,83963.0,84087.0,84204.0,84292.0,84524.0,85017.0,85799.0
0063,85737.0,85546.0,85281.0,84871.0,84550.0,83772.0,83277.0,82751.0,82302.0,81921.0,81576.0,81233.0,80649.0,80107.0,79486.0,79208.0,79049.0,78889.0
0064,62502.0,63132.0,63501.0,63614.0,63259.0,63017.0,62663.0,62785.0,62961.0,63225.0,63337.0,63147.0,62856.0,62671.0,62397.0,62299.0,62154.0,62246.0
0101,18947.0,18973.0,18999.0,19026.0,18982.0,18826.0,18537.0,18225.0,17964.0,17676.0,17440.0,17212.0,17037.0,16876.0,16686.0,16444.0,15986.0,15599.0
0102,54458.0,55216.0,55387.0,55912.0,57010.0,57513.0,57714.0,57668.0,57123.0,56539.0,55539.0,54613.0,54078.0,53079.0,53487.0,54869.0,55551.0,56493.0
0103,12009.0,11939.0,11872.0,11718.0,11561.0,11404.0,11288.0,11173.0,11066.0,10966.0,10867.0,10760.0,10655.0,10565.0,10512.0,10467.0,10422.0,10350.0
0104,237101.0,236821.0,238718.0,238714.0,239772.0,241192.0,240328.0,240325.0,239913.0,239394.0,237254.0,235802.0,234315.0,233380.0,232995.0,232943.0,232887.0,233535.0
0105,78221.0,77635.0,76808.0,76184.0,76030.0,75700.0,75447.0,74728.0,74120.0,73415.0,73010.0,71866.0,71544.0,70339.0,69879.0,69592.0,68723.0,68183.0
0201,67936.0,67664.0,67495.0,66902.0,66619.0,65900.0,64659.0,63749.0,62824.0,62668.0,61840.0,60763.0,59987.0,59114.0,58088.0,57578.0,57691.0,57373.0
0202,168720.0,167961.0,167113.0,165494.0,164107.0,163654.0,162118.0,161021.0,160498.0,158944.0,157449.0,156079.0,154706.0,152102.0,150518.0,150038.0,150323.0,150642.0
0203,19130.0,19040.0,18848.0,18627.0,18373.0,18118.0,17909.0,17726.0,17591.0,17326.0,17097.0,16769.0,16446.0,16124.0,15842.0,15713.0,15610.0,15522.0
0204,23807.0,23796.0,23783.0,23683.0,23563.0,23483.0,23410.0,23402.0,23305.0,23127.0,22926.0,22815.0,22576.0,22344.0,22257.0,22352.0,22357.0,22190.0
0205,55313.0,55504.0,55540.0,55560.0,55042.0,54113.0,53373.0,52660.0,52313.0,51930.0,51321.0,50817.0,50223.0,49671.0,49420.0,49246.0,49153.0,48657.0
0206,62826.0,63765.0,64914.0,66138.0,66469.0,67023.0,66895.0,66993.0,67380.0,66882.0,65847.0,65351.0,64845.0,65153.0,65100.0,65822.0,65885.0,66246.0
