ZE2020,rei_cfe_commune_base,rei_cfe_commune_product,rei_cfe_commune_articles,rei_cfe_epci_base,rei_cfe_epci_product,rei_cfe_epci_articles,rei_cfe_microentrepreneurs,rei_cfe_microentrepreneurs_created_n_1,year
0051,4457905.0,405863.0,1000.0,29288318.0,5620069.0,5928.0,2671.0,0.0,2018
0052,0.0,0.0,0.0,70566532.0,21428252.0,11523.0,5787.0,0.0,2018
0053,0.0,0.0,0.0,137183543.0,47251411.0,22798.0,11198.0,0.0,2018
0054,22736940.0,3967655.0,4286.0,93521619.0,18858941.0,13414.0,6332.0,0.0,2018
0055,71620123.0,15542473.0,2473.0,107153220.0,12475490.0,4782.0,2474.0,0.0,2018
0056,32891562.0,7819996.0,1580.0,44331145.0,3779902.0,3984.0,1773.0,0.0,2018
0057,0.0,0.0,0.0,38132042.0,9015108.0,7252.0,3909.0,0.0,2018
0058,8206211.0,1425738.0,1263.0,28382969.0,5795314.0,3331.0,1462.0,0.0,2018
0059,0.0,0.0,0.0,62949956.0,15106527.0,10231.0,4670.0,0.0,2018
0060,3453757.0,816244.0,1018.0,41324316.0,10303201.0,7269.0,3639.0,0.0,2018
0061,0.0,0.0,0.0,20923857.0,4195635.0,3085.0,1550.0,0.0,2018
0062,0.0,0.0,0.0,21335518.0,5195119.0,4201.0,1973.0,0.0,2018
0063,0.0,0.0,0.0,36438644.0,11286455.0,4829.0,1831.0,0.0,2018
0064,4105335.0,966786.0,1928.0,12601005.0,2867152.0,5449.0,2977.0,0.0,2018
0101,0.0,0.0,0.0,3060361.0,773948.0,1314.0,790.0,0.0,2018
0102,0.0,0.0,0.0,10801818.0,2757187.0,5392.0,2195.0,0.0,2018
0103,0.0,0.0,0.0,1590851.0,432439.0,859.0,405.0,0.0,2018
0104,0.0,0.0,0.0,112070289.0,28166076.0,27355.0,9401.0,0.0,2018
0105,0.0,0.0,0.0,12104594.0,3039510.0,4250.0,2487.0,0.0,2018
0201,0.0,0.0,0.0,10156174.0,2005248.0,3806.0,1655.0,0.0,2018
0202,0.0,0.0,0.0,112602222.0,26181746.0,24432.0,4944.0,0.0,2018
0203,0.0,0.0,0.0,1944778.0,382375.0,899.0,339.0,0.0,2018
0204,0.0,0.0,0.0,15416657.0,3096870.0,1674.0,615.0,0.0,2018
0205,0.0,0.0,0.0,12796442.0,2575686.0,3574.0,1580.0,0.0,2018
0206,0.0,0.0,0.0,21184367.0,4228768.0,6398.0,2228.0,0.0,2018
0301,0.0,0.0,0.0,34563351.0,9222381.0,11528.0,3881.0,0.0,2018
0302,0.0,0.0,0.0,2842920.0,742937.0,1311.0,558.0,0.0,2018
0303,0.0,0.0,0.0,12809023.0,3154302.0,1423.0,589.0,0.0,2018
0401,0.0,0.0,0.0,29015844.0,8027006.0,5748.0,2503.0,0.0,2018
0402,0.0,0.0,0.0,82126725.0,20622008.0,16660.0,5991.0,0.0,2018
0403,0.0,0.0,0.0,88554974.0,20508897.0,13854.0,5042.0,0.0,2018
0404,0.0,0.0,0.0,75382253.0,21398375.0,17554.0,8056.0,0.0,2018
0601,0.0,0.0,0.0,21392683.0,4656767.0,9605.0,5621.0,0.0,2018
1101,8328766.0,2166892.0,2554.0,201138896.0,46709734.0,36885.0,20761.0,0.0,2018
1102,0.0,0.0,0.0,13436276.0,2861422.0,4124.0,2641.0,0.0,2018
1103,0.0,0.0,0.0,32125035.0,8979929.0,5845.0,3391.0,0.0,2018
1104,0.0,0.0,0.0,271901107.0,68759618.0,31974.0,17432.0,0.0,2018
1105,0.0,0.0,0.0,77597844.0,18620878.0,12719.0,6652.0,0.0,2018
1106,0.0,0.0,0.0,268493051.0,70767497.0,30237.0,14050.0,0.0,2018
1107,0.0,0.0,0.0,58840232.0,13779313.0,10965.0,6095.0,0.0,2018
1108,0.0,0.0,0.0,79460071.0,19220704.0,10711.0,5923.0,0.0,2018
1109,2015512424.0,334706692.0,440043.0,2836269983.0,786683582.0,344320.0,368005.0,0.0,2018
1110,3554709.0,647161.0,1334.0,11377095.0,1839128.0,3454.0,1967.0,0.0,2018
1111,0.0,0.0,0.0,30471699.0,6207978.0,4753.0,2110.0,0.0,2018
1112,9133592.0,1687906.0,1649.0,603221856.0,173063051.0,53553.0,28515.0,0.0,2018
1113,0.0,0.0,0.0,298613113.0,75073046.0,32368.0,16633.0,0.0,2018
1114,0.0,0.0,0.0,324352181.0,79012602.0,48458.0,25182.0,0.0,2018
1115,4835749.0,919384.0,1592.0,361354012.0,75393064.0,40712.0,18146.0,0.0,2018
2401,0.0,0.0,0.0,84027322.0,20320664.0,9758.0,4281.0,0.0,2018
2402,14535360.0,3272019.0,2712.0,70148916.0,15070851.0,10793.0,4926.0,0.0,2018
2403,0.0,0.0,0.0,89455912.0,21756255.0,10806.0,4859.0,0.0,2018
2404,0.0,0.0,0.0,16567684.0,3533261.0,2551.0,876.0,0.0,2018
2405,10160881.0,1399417.0,1641.0,61073477.0,13716491.0,10412.0,4357.0,0.0,2018
2406,0.0,0.0,0.0,42932353.0,10159110.0,2569.0,1203.0,0.0,2018
2407,5251124.0,1230940.0,897.0,69629734.0,12224492.0,4522.0,1765.0,0.0,2018
2408,0.0,0.0,0.0,11820562.0,2600850.0,2907.0,1466.0,0.0,2018
2409,0.0,0.0,0.0,42400321.0,9420336.0,7456.0,4144.0,0.0,2018
2410,0.0,0.0,0.0,208621886.0,48997612.0,23563.0,10532.0,0.0,2018
2411,0.0,0.0,0.0,28129562.0,5645796.0,3258.0,1867.0,0.0,2018
2412,0.0,0.0,0.0,30149312.0,6905830.0,5244.0,2686.0,0.0,2018
2413,0.0,0.0,0.0,164774767.0,37989567.0,30373.0,14259.0,0.0,2018
2414,0.0,0.0,0.0,19849205.0,4604240.0,3649.0,1653.0,0.0,2018
2415,3264315.0,593691.0,820.0,14588945.0,3126971.0,2479.0,1176.0,0.0,2018
2701,75631.0,8706.0,78.0,10324399.0,2749363.0,2402.0,1109.0,0.0,2018
2702,7782174.0,1623079.0,1087.0,57254794.0,12453158.0,10470.0,5329.0,0.0,2018
2703,3724294.0,625918.0,1221.0,15344454.0,3080915.0,3220.0,1374.0,0.0,2018
2704,2419766.0,321827.0,413.0,46667062.0,9277906.0,6574.0,2718.0,0.0,2018
2705,0.0,0.0,0.0,65539726.0,18406326.0,8550.0,3183.0,0.0,2018
2706,690467.0,91754.0,201.0,110644929.0,27724795.0,20308.0,10361.0,0.0,2018
2707,151002.0,24613.0,156.0,63919645.0,16020489.0,9110.0,4251.0,0.0,2018
2708,879694.0,172635.0,454.0,22454713.0,5470963.0,4558.0,1940.0,0.0,2018
2709,7563431.0,1126173.0,1768.0,22141874.0,3693894.0,3972.0,1868.0,0.0,2018
2710,0.0,0.0,0.0,31786899.0,8028398.0,4542.0,1945.0,0.0,2018
2711,515213.0,74628.0,221.0,152736914.0,38925411.0,24678.0,11952.0,0.0,2018
2712,907095.0,110353.0,301.0,35179548.0,7776025.0,4624.0,2474.0,0.0,2018
2713,845267.0,132961.0,403.0,50184293.0,10444280.0,10578.0,5016.0,0.0,2018
2714,0.0,0.0,0.0,85685878.0,21732892.0,7857.0,4101.0,0.0,2018
2715,3842639.0,636852.0,1788.0,35128508.0,7812998.0,7319.0,3460.0,0.0,2018
2716,3248586.0,453198.0,1007.0,20201307.0,3953733.0,3607.0,1590.0,0.0,2018
2717,6019642.0,1210231.0,1525.0,41658125.0,9026485.0,6068.0,3297.0,0.0,2018
2718,53272.0,7848.0,34.0,39378326.0,8839856.0,6154.0,3100.0,0.0,2018
2801,549581.0,74059.0,243.0,11322035.0,2454139.0,2063.0,959.0,0.0,2018
2802,0.0,0.0,0.0,25302133.0,5726728.0,4682.0,1730.0,0.0,2018
2803,4107349.0,578040.0,1077.0,15642839.0,2766141.0,4020.0,2101.0,0.0,2018
2804,7576893.0,1305565.0,852.0,165423306.0,39362752.0,31623.0,14501.0,0.0,2018
2805,0.0,0.0,0.0,205850415.0,43296208.0,8682.0,3636.0,0.0,2018
2806,0.0,0.0,0.0,14478438.0,3240879.0,3489.0,1649.0,0.0,2018
2807,62177350.0,5128556.0,2161.0,149757824.0,28331793.0,7584.0,3753.0,0.0,2018
2808,2482939.0,313601.0,1164.0,52712327.0,12430873.0,10221.0,5164.0,0.0,2018
2809,1333939.0,104692.0,145.0,28414330.0,6247536.0,4978.0,2249.0,0.0,2018
2810,0.0,0.0,0.0,12020407.0,2819493.0,3596.0,1479.0,0.0,2018
2811,23313548.0,4458838.0,3958.0,39669607.0,4701991.0,7368.0,3642.0,0.0,2018
2812,31841.0,3243.0,29.0,11220082.0,2262218.0,2063.0,1114.0,0.0,2018
2813,84307.0,6287.0,82.0,207300454.0,49388272.0,15207.0,6022.0,0.0,2018
2814,0.0,0.0,0.0,27038727.0,5792173.0,4936.0,2085.0,0.0,2018
2815,19588505.0,3943216.0,4960.0,273633490.0,66934793.0,36698.0,17304.0,0.0,2018
2816,0.0,0.0,0.0,26084043.0,5541325.0,5418.0,2223.0,0.0,2018
2817,28125.0,6252.0,8.0,51937578.0,12160089.0,6930.0,3676.0,0.0,2018
2818,0.0,0.0,0.0,13092132.0,2835755.0,2210.0,987.0,0.0,2018
2819,1843502.0,300509.0,675.0,81684441.0,19594587.0,4913.0,2219.0,0.0,2018
3201,1282842.0,173600.0,502.0,23457525.0,5746669.0,4903.0,2067.0,0.0,2018
3202,23318235.0,3488760.0,3238.0,123437911.0,27071474.0,17643.0,7630.0,0.0,2018
3203,0.0,0.0,0.0,59572313.0,17217605.0,9438.0,4104.0,0.0,2018
3204,0.0,0.0,0.0,36373875.0,9243313.0,8181.0,3557.0,0.0,2018
3205,0.0,0.0,0.0,74576478.0,21354028.0,10270.0,5116.0,0.0,2018
3206,4110030.0,934894.0,1155.0,49348852.0,14861874.0,8845.0,3732.0,0.0,2018
3207,1822177.0,386409.0,583.0,55458096.0,16378580.0,6172.0,2894.0,0.0,2018
3208,0.0,0.0,0.0,51424168.0,13757236.0,6760.0,2330.0,0.0,2018
3209,4350541.0,747978.0,884.0,23700406.0,4978666.0,3579.0,1955.0,0.0,2018
3210,32232110.0,5408506.0,2441.0,95341948.0,17221520.0,10467.0,4851.0,0.0,2018
3211,12947688.0,2554604.0,3472.0,102529900.0,24698224.0,14492.0,7326.0,0.0,2018
3212,0.0,0.0,0.0,81238799.0,23883805.0,9784.0,5095.0,0.0,2018
3213,648698.0,146313.0,344.0,220444136.0,75014564.0,11373.0,4578.0,0.0,2018
3214,698469.0,123323.0,269.0,24643678.0,5612156.0,4200.0,1690.0,0.0,2018
