codgeo,ze2020,active_15_64_2021_total,employed_15_64_2021_total,unemployed_15_64_2021_total,unemployment_rate_est_2021,jobs_lt_2021_total
01001,8405,417.591741,390.425166,27.166576,0.065055,74.63219
01002,8405,130.225119,128.07743,2.147689,0.016492,28.786083
01004,8405,7118.709003,6149.021844,969.687159,0.136217,8152.06077
01005,8434,987.970116,925.76067,62.209446,0.062967,261.328103
01006,8404,50.552632,45.596491,4.95614,0.098039,4.95614
01007,8405,1397.342171,1291.381952,105.96022,0.07583,482.131843
01008,8405,428.452914,401.156734,27.29618,0.063709,120.903479
01009,8404,139.351904,124.667081,14.684823,0.105379,17.179911
01010,8416,540.885487,500.807788,40.077699,0.074096,254.926799
01011,8425,182.97578,171.937292,11.038489,0.060328,27.746207
01012,8404,154.21295,142.653464,11.559486,0.074958,43.147633
01013,8405,68.456522,62.326087,6.130435,0.089552,21.370534
01014,8425,1548.11475,1382.686222,165.428528,0.106858,2204.132105
01015,8404,307.373835,268.261342,39.112494,0.127247,53.528732
01016,0059,217.223773,201.187527,16.036247,0.073824,36.366341
01017,8405,180.839148,161.846342,18.992806,0.105026,39.143484
01019,8404,13.0,9.0,4.0,0.307692,1.898562
01021,8434,725.20859,678.574678,46.633912,0.064304,202.033159
01022,8404,522.059405,463.74778,58.311626,0.111695,331.27869
01023,0059,37.486842,32.421053,5.065789,0.135135,18.672503
01024,8405,1688.82097,1571.230906,117.590064,0.069628,925.210495
01025,0059,2030.959494,1886.012483,144.947011,0.071369,739.260615
01026,0059,463.300781,422.916014,40.384767,0.087167,289.182642
01027,8421,1695.866523,1608.349266,87.517256,0.051606,1858.76346
01028,8434,293.174291,281.314045,11.860246,0.040455,75.45809
01029,8405,352.140305,324.414565,27.72574,0.078735,226.520526
01030,8434,432.58947,397.435745,35.153725,0.081263,66.344867
01031,8425,1565.709612,1344.440191,221.26942,0.141322,2151.305831
01032,8421,1639.60086,1499.129271,140.471589,0.085674,1460.988624
01033,8416,8050.909076,6832.498376,1218.410701,0.151338,5618.236825
01034,8404,3905.941204,3439.085621,466.855583,0.119524,6223.305063
01035,8425,156.107064,149.131629,6.975435,0.044684,26.462323
01036,8404,577.610549,539.770695,37.839854,0.065511,117.7503
01037,8404,149.759309,136.845113,12.914196,0.086233,52.351793
01038,8405,373.734249,355.877301,17.856949,0.04778,87.506849
01040,8405,251.776023,237.680473,14.09555,0.055984,41.768248
01041,8405,390.355702,355.060251,35.29545,0.090419,58.531464
01042,0059,151.53945,144.396478,7.142972,0.047136,16.068947
01043,8421,2379.709391,2219.917745,159.791646,0.067148,3857.493133
01044,8416,327.929749,284.256828,43.672922,0.133178,65.621263
01045,8405,141.575528,132.475418,9.10011,0.064277,54.97873
01046,0059,474.46169,456.368145,18.093545,0.038135,108.300154
01047,8405,730.278295,677.286302,52.991993,0.072564,921.256437
01049,8421,1642.803028,1506.776807,136.02622,0.082801,1094.510804
01050,0059,189.616391,179.535426,10.080964,0.053165,36.411818
01051,8425,40.582524,35.970874,4.61165,0.113636,7.551904
01052,8405,146.135262,142.126718,4.008544,0.02743,45.492001
01053,8405,17650.810322,14870.41172,2780.398602,0.157522,33054.01367
01054,8405,793.165105,751.9876,41.177505,0.051915,89.173506
01056,8405,165.767673,156.0438,9.723873,0.05866,46.631033
01057,0059,251.748656,240.738654,11.010002,0.043734,133.537146
01058,8404,384.090325,351.161156,32.929169,0.085733,322.404578
01060,8404,252.083971,237.753476,14.330495,0.056848,87.293865
01061,8404,539.356141,494.399576,44.956565,0.083352,88.843293
01062,8421,498.948105,464.322726,34.625379,0.069397,202.114317
01063,8425,262.408513,240.900817,21.507696,0.081963,418.575298
01064,8405,591.689907,548.542922,43.146986,0.072922,640.133751
01065,8405,907.651632,856.362971,51.288661,0.056507,212.691066
01066,8404,37.359551,32.022472,5.337079,0.142857,6.296867
01067,8425,155.283296,146.043326,9.23997,0.059504,95.617295
01068,8405,374.034348,332.915079,41.119268,0.109934,159.7384
01069,8405,808.550067,759.59193,48.958137,0.060551,378.81453
01071,8416,3012.954688,2802.651532,210.303157,0.0698,966.350894
01072,8405,1532.486044,1401.049892,131.436152,0.085767,1289.946364
01073,8404,458.351463,417.974305,40.377158,0.088092,106.72527
01074,8405,1271.217576,1182.928009,88.289568,0.069453,661.321443
01075,8434,782.734683,731.712596,51.022087,0.065184,440.978954
01076,8404,48.062016,42.294574,5.767442,0.12,4.722129
01077,8405,83.772973,76.621622,7.151351,0.085366,14.292826
01078,8416,811.947379,759.159741,52.787638,0.065014,159.027215
01079,8404,305.581443,284.119828,21.461615,0.070232,332.864142
01080,8404,303.557938,282.212816,21.345122,0.070316,94.091758
01081,8416,366.011371,332.485075,33.526296,0.091599,447.003659
01082,8416,263.544574,253.824962,9.719611,0.03688,176.790273
01083,8434,551.103697,521.228993,29.874704,0.054209,204.278242
01084,8405,452.801165,426.446771,26.354394,0.058203,60.191015
01085,8405,214.000501,209.006322,4.994179,0.023337,55.093016
01087,8425,132.338693,122.233359,10.105335,0.07636,31.621901
01088,8405,525.894117,487.553722,38.340395,0.072905,193.058897
01089,8405,1150.646904,1073.44967,77.197234,0.06709,894.808727
01090,8405,159.638899,147.513818,12.125082,0.075953,29.509276
01092,8405,814.811243,766.528927,48.282316,0.059256,185.93041
01093,8405,2236.989774,2038.786907,198.202867,0.088602,3098.524738
01094,0059,374.543357,348.287876,26.255481,0.0701,76.316823
01095,8405,403.954903,372.347408,31.607495,0.078245,140.03217
01096,8405,530.311009,499.453995,30.857014,0.058187,171.553329
01098,8404,550.289945,481.714955,68.574991,0.124616,412.514635
01099,8405,845.351602,789.843442,55.50816,0.065663,309.921177
01100,8404,50.0,41.0,9.0,0.18,7.180536
01101,8425,87.828947,87.828947,0.0,0.0,8.881579
01102,0059,504.004224,465.820681,38.183543,0.07576,136.665088
01103,8416,1287.685106,1198.757512,88.927594,0.06906,157.954655
01104,8416,234.384394,222.192202,12.192192,0.052018,81.457509
01105,8434,1044.37312,986.765978,57.607142,0.05516,715.490057
01106,8405,76.692737,68.826816,7.865922,0.102564,18.810109
01107,8405,64.166667,60.277778,3.888889,0.060606,10.806278
01108,8405,513.548435,478.415876,35.132559,0.068411,282.979162
01109,8416,1247.918977,1126.686439,121.232538,0.097148,250.867922
01110,8404,75.230769,65.826923,9.403846,0.125,13.924694
01111,8405,63.409091,61.363636,2.045455,0.032258,3.068182
01112,8425,270.339958,255.125397,15.21456,0.056279,79.202147
01113,8405,427.110786,390.217257,36.89353,0.086379,123.718873
01114,8416,288.096344,257.3257,30.770644,0.106807,154.86182
01115,8405,737.518823,702.661353,34.85747,0.047263,253.512432
01116,8404,207.787797,184.779624,23.008173,0.110729,47.785329
01117,8404,69.072848,62.165563,6.907285,0.1,10.865608
01118,8416,613.213736,585.255354,27.958382,0.045593,305.052263
01121,8404,65.560345,60.517241,5.043103,0.076923,17.1202
01123,0059,562.043159,528.126071,33.917088,0.060346,204.751338
01124,8405,347.50545,314.478573,33.026877,0.09504,63.146363
01125,8405,286.915392,254.309455,32.605937,0.113643,101.315235
01127,8405,230.787265,216.922085,13.86518,0.060078,29.795231
01128,8405,142.086293,122.389865,19.696428,0.138623,48.440277
01129,8405,132.929145,123.897508,9.031637,0.067943,30.346631
01130,8405,1224.338193,1159.759885,64.578308,0.052745,416.82735
01133,8404,189.096268,171.466265,17.630003,0.093233,24.877532
01134,0059,889.59208,830.521996,59.070085,0.066401,485.223926
