codgeo,ze2020,empsta_enq,obs_value
02809,3209,1T2,30
02486,3214,1T2,53
02271,3209,1T2,77
02716,3220,1T2,125
02790,3214,1T2,108
02538,3209,1T2,19.15385
03036,8424,1T2,933.015
01352,0059,1T2,298.24445
03189,8423,1T2,312.14919
02127,3209,1T2,90
02621,3214,1T2,162.02532
01136,0059,1T2,474.80622
02822,3221,1T2,212.07407
02073,3214,1T2,358
02095,3220,1T2,2098.0659
02214,3220,1T2,28.46667
02021,3214,1T2,41.46154
02452,3220,1T2,130.48
01077,8405,1T2,71.15385
03271,8432,1T2,330.18075
02109,3217,1T2,181.57365
02553,3214,1T2,104.34252
08217,4403,1T2,29
08146,4413,1T2,48
07206,8402,1T2,45
09049,7612,1T2,87
2B208,9402,1T2,36
38283,8409,1T2,36
16404,7502,1T2,54
10071,4425,1T2,26
14402,2804,1T2,50
08464,4421,1T2,48
21393,2709,1T2,86
41196,2404,1T2,28
45016,2407,1T2,429
38428,8409,1T2,16
47160,7532,1T2,55
2B043,9402,1T2,663
24062,7523,1T2,70
43250,8419,1T2,13
11440,7608,1T2,17
08463,4421,1T2,6
30207,7605,1T2,390
12098,7621,1T2,195
29126,5302,1T2,110
11249,7612,1T2,48
2B353,9402,1T2,1418
42221,8412,1T2,250
2B082,9404,1T2,7
25376,2706,1T2,84
14198,2804,1T2,115
43055,8410,1T2,82
08383,4421,1T2,40
2B068,9404,1T2,8
2B257,9402,1T2,74
2B020,9403,1T2,272
2B088,9405,1T2,90
05049,9310,1T2,20
43149,8419,1T2,50
31534,7625,1T2,110
26126,0064,1T2,24
26263,0064,1T2,78
2B168,9403,1T2,893
28003,0057,1T2,102
2B246,9402,1T2,75
30074,7614,1T2,10
07274,8402,1T2,85
31485,7625,1T2,60
43155,8419,1T2,24
39479,2712,1T2,82
28346,0057,1T2,22
19159,0063,1T2,28
2B337,9404,1T2,62
2B339,9403,1T2,8
2A094,9401,1T2,30
08259,4421,1T2,33
41268,2412,1T2,37
2B217,9402,1T2,29
09309,7612,1T2,66
31322,7604,1T2,44
2B248,9404,1T2,17
47272,7532,1T2,65
2B193,9404,1T2,263
31516,7625,1T2,1150
50087,2805,1T2,1073
77041,1105,1T2,137
62263,3203,1T2,2280
55361,4426,1T2,69
58221,0060,1T2,65
76079,2813,1T2,72
61141,0051,1T2,210
88187,4407,1T2,15
72227,0051,1T2,22
57228,4412,1T2,93
84120,9306,1T2,40
68327,4418,1T2,168
88164,4407,1T2,53
55482,4426,1T2,55
76274,2815,1T2,20
71451,2708,1T2,46
88388,4407,1T2,55
52200,4404,1T2,35
80103,3220,1T2,29
50399,2802,1T2,95
64098,7522,1T2,30
63323,8417,1T2,60
51236,4415,1T2,75
57671,4410,1T2,84
52097,4404,1T2,16
51443,4415,1T2,70
52443,4427,1T2,11
54576,4424,1T2,58
65278,7624,1T2,24
70335,2706,1T2,28
88047,4407,1T2,47
89304,2702,1T2,335
61216,2801,1T2,93
51211,4402,1T2,25
62389,3203,1T2,18
70523,2706,1T2,92
55510,4421,1T2,60
55528,4426,1T2,35
58237,2703,1T2,12
66030,7620,1T2,96
76464,2815,1T2,1176
81199,7602,1T2,77
53270,5215,1T2,55
65297,7624,1T2,5
50221,2810,1T2,40
62283,3204,1T2,56
51396,4406,1T2,69
62668,3204,1T2,107
70070,2718,1T2,5
58018,0056,1T2,15
51490,4402,1T2,100
81123,7602,1T2,30
55208,4421,1T2,24
55561,4421,1T2,17
88100,4407,1T2,18
