codgeo,ze2020,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_est,unemployment_rate_est_2022
01001,8405,451.58857,441.77143,9.81714,0.021739
01002,8405,119.12727,114.16364,4.96363,0.041667
01004,8405,7568.72812,6657.16966,911.55846,0.120437
01005,8434,1013.988,938.81737,75.17063,0.074134
01006,8404,72.54545,67.36364,5.18181,0.071428
01007,8405,1447.55016,1328.62403,118.92613,0.082157
01008,8405,375.76283,355.5063,20.25653,0.053908
01009,8404,131.02055,131.02055,0.0,0.0
01010,8416,518.06349,463.85491,54.20858,0.104637
01011,8425,173.77515,159.47116,14.30399,0.082313
01012,8404,128.15457,123.52139,4.63318,0.036153
01013,8405,57.03704,57.03704,0.0,0.0
01014,8425,1543.38688,1372.56258,170.8243,0.110681
01015,8404,320.43143,311.16266,9.26877,0.028926
01016,0059,212.04918,202.47058,9.5786,0.045172
01017,8405,171.81818,167.04545,4.77273,0.027778
01019,8404,12.5,9.375,3.125,0.25
01021,8434,757.52993,718.80664,38.72329,0.051118
01022,8404,437.60538,407.41704,30.18834,0.068985
01023,0059,38.5,38.5,0.0,0.0
01024,8405,1789.21491,1685.80874,103.40617,0.057794
01025,0059,2058.1448,1926.86754,131.27726,0.063784
01026,0059,455.8833,405.9955,49.8878,0.109431
01027,8421,1613.76115,1458.05678,155.70437,0.096485
01028,8434,305.38528,295.76656,9.61872,0.031497
01029,8405,422.25578,377.04537,45.21041,0.107069
01030,8434,457.8252,432.18581,25.63939,0.056003
01031,8425,1436.71103,1279.27874,157.43229,0.109578
01032,8421,1728.51412,1594.60305,133.91107,0.077472
01033,8416,7930.06211,6796.04643,1134.01568,0.143002
01034,8404,3977.69868,3578.98677,398.71191,0.100237
01035,8425,140.54365,130.57945,9.9642,0.070898
01036,8404,637.63838,597.78598,39.8524,0.0625
01037,8404,142.79661,132.9661,9.83051,0.068843
01038,8405,322.48387,312.56129,9.92258,0.030769
01040,8405,229.25942,213.16232,16.0971,0.070213
01041,8405,353.7238,329.58424,24.13956,0.068244
01042,0059,147.37705,133.11475,14.2623,0.096774
01043,8421,2381.22833,2183.59372,197.63461,0.082997
01044,8416,366.75622,326.37722,40.379,0.110098
01045,8405,169.1809,169.1809,0.0,0.0
01046,0059,533.76164,509.21413,24.54751,0.04599
01047,8405,792.41247,750.15305,42.25942,0.05333
01049,8421,1726.57233,1547.05867,179.51366,0.103971
01050,0059,204.20084,204.20084,0.0,0.0
01051,8425,36.47368,31.26316,5.21052,0.142857
01052,8405,168.06884,168.06884,0.0,0.0
01053,8405,18084.67587,15349.03524,2735.64063,0.151268
01054,8405,812.50501,774.53863,37.96638,0.046728
01056,8405,138.80045,129.02359,9.77686,0.070438
01057,0059,241.51195,236.48768,5.02427,0.020803
01058,8404,371.86854,332.11539,39.75315,0.106901
01060,8404,292.81764,274.25688,18.56076,0.063387
01061,8404,546.91197,508.1547,38.75727,0.070866
01062,8421,496.32723,453.98118,42.34605,0.085319
01063,8425,286.32743,260.86726,25.46017,0.08892
01064,8405,556.73837,521.87134,34.86703,0.062627
01065,8405,950.62112,865.43803,85.18309,0.089608
01066,8404,54.5625,54.5625,0.0,0.0
01067,8425,142.07272,132.73602,9.3367,0.065718
01068,8405,340.49221,307.3073,33.18491,0.097462
01069,8405,810.08281,732.0804,78.00241,0.096289
01071,8416,3218.50379,2999.82286,218.68093,0.067945
01072,8405,1504.23735,1413.92275,90.3146,0.06004
01073,8404,465.87561,437.42764,28.44797,0.061063
01074,8405,1355.92025,1270.22495,85.6953,0.063201
01075,8434,849.24249,809.1778,40.06469,0.047177
01076,8404,54.42857,54.42857,0.0,0.0
01077,8405,71.15385,71.15385,0.0,0.0
01078,8416,816.02089,775.15998,40.86091,0.050073
01079,8404,302.47178,281.59887,20.87291,0.069008
01080,8404,315.50997,286.16238,29.34759,0.093016
01081,8416,288.20851,266.03307,22.17544,0.076942
01082,8416,273.12904,262.87781,10.25123,0.037533
01083,8434,606.0,581.0,25.0,0.041254
01084,8405,476.57444,471.35652,5.21792,0.010949
01085,8405,223.42857,209.46429,13.96428,0.0625
01087,8425,108.68225,90.07556,18.60669,0.171203
01088,8405,524.99738,501.46661,23.53077,0.044821
01089,8405,1147.85628,1061.54082,86.31546,0.075197
01090,8405,138.92808,133.79199,5.13609,0.036969
01092,8405,766.60426,713.1987,53.40556,0.069665
01093,8405,2326.37212,2101.1835,225.18862,0.096798
01094,0059,420.07361,404.5713,15.50231,0.036904
01095,8405,431.04878,380.92683,50.12195,0.116279
01096,8405,516.80517,482.7829,34.02227,0.065832
01098,8404,517.39378,479.17749,38.21629,0.073863
01099,8405,830.8803,739.52177,91.35853,0.109954
01100,8404,56.52174,39.56522,16.95652,0.3
01101,8425,84.43333,84.43333,0.0,0.0
01102,0059,524.41113,490.67158,33.73955,0.064338
01103,8416,1300.21812,1242.50777,57.71035,0.044385
01104,8416,249.48276,234.71264,14.77012,0.059203
01105,8434,1082.68388,995.67228,87.0116,0.080367
01106,8405,92.36111,82.63889,9.72222,0.105263
01107,8405,64.55172,64.55172,0.0,0.0
01108,8405,625.36914,592.71239,32.65675,0.05222
01109,8416,1225.50388,1104.41913,121.08475,0.098804
01110,8404,82.0,76.875,5.125,0.0625
01111,8405,83.69231,78.46154,5.23077,0.0625
01112,8425,288.08224,267.19222,20.89002,0.072514
01113,8405,417.66797,378.32492,39.34305,0.094197
01114,8416,265.96649,241.31317,24.65332,0.092693
01115,8405,721.06273,696.02583,25.0369,0.034722
01116,8404,160.05835,149.72418,10.33417,0.064565
01117,8404,69.375,60.125,9.25,0.133333
01118,8416,587.31382,558.18722,29.1266,0.049593
01121,8404,45.3913,40.34783,5.04347,0.111111
01123,0059,602.24576,562.75424,39.49152,0.065574
01124,8405,380.19519,323.75093,56.44426,0.148461
01125,8405,295.36809,251.4247,43.94339,0.148775
01127,8405,251.88741,223.33625,28.55116,0.113349
01128,8405,156.17768,128.71814,27.45954,0.175822
01129,8405,118.66423,108.53048,10.13375,0.085399
01130,8405,1183.95807,1083.62264,100.33543,0.084746
01133,8404,235.41473,186.90266,48.51207,0.206071
01134,0059,954.06407,898.23677,55.8273,0.058515
01135,8416,1222.68156,1133.19877,89.48279,0.073186
01136,0059,474.80622,420.7758,54.03042,0.113795
01138,8404,1509.82181,1259.6018,250.22001,0.165728
01139,8405,189.84941,184.65964,5.18977,0.027336
01140,8405,390.6559,361.47164,29.18426,0.074706
01141,8404,204.2069,170.17241,34.03449,0.166667
01142,8421,2274.51699,2084.55732,189.95967,0.083516
01143,8416,5099.66249,4638.24437,461.41812,0.09048
01145,8405,588.04475,554.21774,33.82701,0.057525
01146,8405,215.87144,205.58053,10.29091,0.047671
01147,8405,263.2073,242.96402,20.24328,0.07691
01148,8425,890.64133,817.71479,72.92654,0.081881
01149,8405,534.83888,469.24616,65.59272,0.12264
01150,8405,143.33333,127.97619,15.35714,0.107143
01151,8405,535.76007,486.84179,48.91828,0.091306
01152,8425,419.04459,404.25478,14.78981,0.035294
01153,8416,1139.38112,1058.472,80.90912,0.071011
01155,8404,66.73333,66.73333,0.0,0.0
01156,8421,500.29071,481.4389,18.85181,0.037682
01157,8434,1222.25197,1182.50394,39.74803,0.03252
01158,8416,608.89646,562.90134,45.99512,0.075538
01159,0059,1654.56027,1479.685,174.87527,0.105693
01160,8416,6434.22001,5647.66258,786.55743,0.122246
01162,8404,23.27273,23.27273,0.0,0.0
01163,8405,972.71944,897.60434,75.1151,0.077222
01165,8434,746.21154,721.06072,25.15082,0.033705
01166,8434,1315.70175,1211.4386,104.26315,0.079245
01167,8434,348.06464,315.66482,32.39982,0.093086
01169,8434,302.88918,293.46408,9.4251,0.031117
01170,8425,559.60914,519.98691,39.62223,0.070803
01171,8425,352.94775,304.88958,48.05817,0.136162
01173,8416,7875.73943,6978.54386,897.19557,0.113919
01174,8416,106.33333,91.83333,14.5,0.136364
01175,0059,353.53641,319.35642,34.17999,0.09668
01177,8405,90.34286,79.71429,10.62857,0.117647
01179,0059,847.21088,796.50936,50.70152,0.059845
01180,8416,456.54158,425.24815,31.29343,0.068545
01181,8425,528.18334,503.28041,24.90293,0.047148
01183,8434,666.89404,651.96358,14.93046,0.022388
01184,8405,348.00142,327.60693,20.39449,0.058605
01185,8404,2114.98313,1959.57229,155.41084,0.073481
01187,8404,345.39559,296.26818,49.12741,0.142235
01188,8434,368.25792,358.11526,10.14266,0.027542
01189,8416,654.09287,583.51787,70.575,0.107898
01190,8404,37.88235,32.47059,5.41176,0.142857
01191,8425,75.08333,70.66667,4.41666,0.058823
01192,8425,1214.06195,1144.40265,69.6593,0.057377
01193,8404,94.93798,90.00234,4.93564,0.051988
01194,8434,2885.28667,2571.22468,314.06199,0.108849
01195,8405,875.72113,794.72958,80.99155,0.092486
01196,8405,671.55906,606.41732,65.14174,0.097001
01197,8405,164.70462,154.75944,9.94518,0.060382
01198,8405,138.13788,128.61144,9.52644,0.068963
01199,8405,1134.83324,959.66579,175.16745,0.154355
01200,8405,118.28571,108.42857,9.85714,0.083333
01202,8405,3463.56875,3163.69375,299.875,0.08658
01203,0059,666.94163,632.08171,34.85992,0.052268
01204,8425,390.4808,346.40725,44.07355,0.11287
01206,8425,158.09208,158.09208,0.0,0.0
01207,8405,183.54377,164.06689,19.47688,0.106116
01208,8404,64.07143,64.07143,0.0,0.0
01209,8416,516.31842,458.01889,58.29953,0.112914
01210,8416,143.32095,133.91924,9.40171,0.065599
01211,8405,760.2692,736.32833,23.94087,0.03149
01212,8405,347.38671,337.4184,9.96831,0.028695
01213,8405,749.79863,701.77034,48.02829,0.064055
01214,8425,96.78125,86.59375,10.1875,0.105263
01215,8416,86.89655,82.06897,4.82758,0.055555
01216,8404,364.91925,339.57764,25.34161,0.069444
01219,8405,76.23529,71.47059,4.7647,0.0625
01224,8421,1798.17227,1686.17902,111.99325,0.062282
01225,8434,209.67089,178.98734,30.68355,0.146341
01227,8404,306.1277,270.86133,35.26637,0.115201
01228,8425,338.55095,316.7035,21.84745,0.064532
01229,8405,677.67722,638.83493,38.84229,0.057317
01230,8405,171.56134,162.41851,9.14283,0.053292
