codgeo,ze2020,jobs_lt_2022_total
17336,7528,1118.98089
25191,2714,46.81214
30173,7603,245.60559
22071,5304,122.81266
28223,0057,92.10573
18214,2415,95.51393
21584,2709,1447.80782
29119,5302,330.97282
2A215,9406,225.02623
24550,7523,495.71328
01305,0059,1434.70684
59143,3216,3155.13156
54571,4412,517.83279
56008,5318,944.68448
40233,7510,778.36729
53185,0051,840.23698
35226,5317,531.47079
35230,5305,186.74719
47269,7501,83.72405
82190,7615,1038.76067
02059,3220,570.3223
11284,7608,89.78822
45169,2410,4488.09676
60446,3221,1310.98462
80523,3202,2510.09124
06095,9304,1392.40028
26038,8431,293.19819
51250,4413,1927.27568
12305,7611,699.87763
07346,8422,745.57412
11014,7617,172.32351
50099,2816,5203.21563
35233,5315,317.94755
94074,1109,4840.53982
14137,2804,3805.12088
24256,7523,3037.08951
14726,2818,1040.90271
10040,4425,47.4972
65427,7622,133.1411
42198,8426,418.86885
37159,2413,2562.56933
62063,3203,1001.26542
41123,2401,217.56456
38061,8435,595.43537
33118,7505,505.8456
73171,8407,2800.51227
57211,4410,580.12692
48147,7613,144.30716
28227,2403,1185.58799
22158,5312,1251.87393
71404,2707,199.04409
25200,2706,717.89604
22048,5304,428.81792
29197,5313,746.19991
2A288,9406,292.5655
27015,2815,221.63534
18207,2402,2049.2546
17075,7525,210.12275
21607,2704,1239.7092
44173,5216,314.93685
01313,8416,1258.08083
06057,9315,563.34019
77449,1106,10411.34159
24311,7523,2639.46969
35093,5317,5388.77361
63063,8408,6524.15365
89345,2702,2705.25203
50409,2816,541.59081
77470,1106,3289.51318
80620,3220,5530.83394
77061,1105,920.05767
95409,1112,1228.71325
77014,1105,4139.78469
62038,3207,1274.25928
60057,0054,39473.50527
62705,3206,303.38193
44106,5217,201.55782
47091,7501,2981.47306
47061,7518,120.98179
37124,2413,504.48968
73248,8411,5376.02345
45244,2407,788.93599
73064,8407,3061.42122
38199,8421,321.70574
37281,2413,1745.27524
44187,5217,1977.80373
35310,5305,1090.7969
69189,8421,662.38249
80579,3220,473.60895
12263,7611,303.5028
13073,9312,981.9762
11425,7608,168.77681
09312,7612,381.08341
13094,0052,1063.32982
11370,7617,488.63877
02703,3220,279.87217
07330,8402,1301.38708
30032,0052,4958.71195
28279,0057,1450.17741
21515,2711,6556.60748
21462,2711,313.30548
29057,5313,926.47
22225,5306,2057.53816
31203,7625,1219.90803
25367,2714,1414.08751
23143,7511,370.67524
19005,7507,796.0533
14694,2814,69.52935
48050,7613,104.38497
72195,5218,173.44675
50579,2805,984.67932
93008,1109,30807.49873
49061,5221,178.74069
74282,8401,1685.18895
77327,1108,2724.83145
95166,1101,48.9834
59202,3216,1509.82124
72244,5218,919.8968
30012,0053,2124.8764
03229,8424,51.41986
01384,8405,624.55735
91292,1113,511.96248
60665,3210,3064.98234
02648,3220,478.8363
34161,7606,574.41547
11120,7608,64.01138
60145,3210,49.33909
62355,3203,561.35577
76471,2819,84.97853
33142,7505,145.19008
45092,2409,153.75669
45249,2409,55.67387
32123,7604,60.75637
42279,8428,4716.34013
33241,7514,101.92126
81105,7602,4480.63598
85300,5210,1286.66982
42042,8428,104.32627
47215,7532,509.42038
03274,8432,84.898
59398,3216,604.48393
19031,7507,29883.91693
92072,1109,9414.8604
92051,1109,50775.15655
59365,3217,3468.51239
69207,8421,469.13802
27351,2815,1978.18506
28013,2403,175.06322
67348,4423,9914.07723
73232,8413,361.20986
28209,2403,1333.88371
38090,8409,125.70616
17375,7525,93.83552
29216,5313,1262.37487
50109,2810,815.35179
61460,2812,337.38046
25388,2714,16612.95586
90022,2705,457.47597
13041,9301,8217.62023
44102,5216,686.42624
67462,4422,12256.3872
59564,3222,1569.28592
84062,9306,375.07791
02226,3221,412.87549
53054,5211,5379.81955
01195,8405,383.39162
11064,7617,57.78704
06038,9304,1049.14864
01448,8416,38.24424
35304,5305,173.72808
76610,2819,1328.71031
39011,2712,75.09557
41247,2412,455.43243
42166,8426,560.30313
07023,8402,108.96875
42227,8412,90.03814
16414,7502,158.39912
42320,8428,85.34168
65115,7624,46.07013
45290,2410,600.58329
29255,5302,62.51852
28198,2404,70.62407
29186,5310,257.95287
29043,5302,666.72594
70550,2718,16486.21057
16050,7509,71.43169
29220,5313,4179.78098
16148,7502,137.46258
28403,2403,85.87978
29215,5313,755.87605
21663,2709,1479.79861
37233,2413,10491.18988
19276,7531,1811.49926
76157,2815,3936.09597
42218,8428,83596.81351
49067,5221,136.19936
49054,5221,1371.41606
59647,3219,533.84467
69290,8421,40438.16015
49102,5206,102.49664
22186,5307,1227.40885
69136,8421,1269.78337
49180,5220,3008.10417
83061,9309,22707.74081
78537,1111,1292.75678
95371,1112,2359.64272
49364,5220,194.07232
69040,8421,4875.36809
77251,1104,10934.80003
92040,1109,64407.69506
54578,4412,5506.7364
38318,8433,3113.04066
34274,7616,827.50444
37095,2413,51.2431
56151,5312,3409.70102
11269,7617,365.55299
38163,8409,114.54302
39043,2713,336.70379
43048,8419,418.28085
69099,8428,473.10662
47238,7501,622.90789
42139,8428,359.96446
33321,7505,562.67284
11339,7608,277.98211
12202,7621,21877.92629
27119,2808,327.91861
11337,7608,69.26021
80141,3220,121.4878
31561,7625,5868.57584
01408,8405,184.656
85072,5213,536.6752
86137,7530,4003.03286
13032,9301,3079.07877
63125,8417,1719.5826
27256,2808,34.74579
25228,2714,4685.07838
29147,5314,947.85199
31526,7625,1133.16164
64452,7522,106.07391
65138,7624,760.45875
14754,2804,880.36568
16341,7502,1896.21371
36088,2405,6932.3895
14326,2814,486.32164
28229,2403,3244.13826
83077,9318,299.05249
44108,5216,704.56482
83115,9317,5736.36466
62160,3206,22434.33582
93001,1109,35143.48289
79191,7520,48958.08769
44154,5217,4896.98754
73179,8407,6585.83206
35001,5315,1909.78258
32343,7604,30.07956
37152,2413,914.54418
34031,7601,1170.48292
38295,8405,64.76838
33047,7505,400.2967
33273,7505,3073.29852
61345,0061,750.49499
40035,7510,84.00088
35296,5315,159.43366
38432,8435,160.5314
35302,5315,313.50933
12303,7621,67.45605
78674,1115,1534.74179
26058,8431,7017.21122
01153,8416,188.22678
63276,8417,842.53646
89418,2702,2715.26456
10216,4425,2107.11552
11063,7608,114.39342
80601,3220,34.93427
11085,7608,86.37331
55083,4421,25.50633
28214,0061,1599.4222
30027,7603,574.23931
78321,1115,1231.24435
15265,0063,908.96371
56066,5303,1760.22516
22079,5316,363.45283
21277,2711,621.5112
88487,4414,1158.16375
31293,7625,1698.84803
28035,2403,219.90493
27622,2803,1014.25981
78003,1111,1304.02636
49218,5201,5279.66644
78160,1115,1649.35741
94081,1109,27440.57584
78267,1114,1931.16829
49053,5220,97.55266
92050,1109,92343.61155
59656,3218,769.07125
69286,8421,11614.39027
33336,7514,273.10608
35098,5315,140.09845
82124,7615,592.46075
38085,8421,1737.54545
37272,2413,170.35122
38394,8435,334.4198
46224,7607,723.61341
41144,2401,71.27312
39177,2713,369.1027
37062,2413,534.96726
33075,7505,11485.65893
22275,5312,211.25604
08180,4403,446.85761
78343,1115,717.49178
11255,7617,1785.57439
85197,5210,632.15298
03241,8424,50.21061
80536,3220,26.03976
02602,3214,374.16477
60382,3210,2149.40334
78140,1114,158.4983
11254,7608,487.57839
44217,5216,2474.12409
76447,2813,8511.90412
62041,3203,34820.55972
83136,9303,367.91169
69112,8421,2338.32777
85106,5203,656.9203
69009,8421,2329.01342
76514,2815,81.36839
69013,8434,3586.26453
15152,8429,515.77123
27129,2803,103.28312
17225,7526,885.36482
21295,2711,2505.26143
19153,7507,1989.20512
30010,7603,1575.59076
22070,5306,5166.21306
45175,2410,179.26159
25552,2714,7.1519
17333,7526,1556.90315
44125,5219,548.9717
37099,2413,192.93538
84049,9316,426.19998
42097,8428,2012.25779
42285,8428,1189.79076
73329,8407,1898.45955
38276,8406,1319.87813
33380,7505,463.6782
44203,5216,234.29666
91312,1113,2053.26279
33167,7505,7870.02104
40282,7519,3223.36914
94004,1109,4912.30277
84089,9301,8125.25731
12160,7614,47.38707
12270,7614,1391.30353
01118,8416,311.29291
84080,9305,4315.37141
05017,9310,535.60059
06120,9315,713.90507
26333,8433,2619.13943
91095,1103,419.28093
94043,1109,13736.85887
45234,2410,70824.74171
76681,2815,10495.19544
77169,1106,4586.27804
95658,1101,625.18955
35328,0062,530.66653
69204,8421,9762.39585
22251,5316,1269.94146
19117,7507,94.61999
23092,7511,47.25028
16085,7502,1524.21281
29004,5314,1481.05209
39520,2712,98.07722
29282,5302,36.44655
71557,2708,69.22299
30314,7618,48.44587
28380,2403,367.23763
27049,2803,1080.33734
79174,7520,3481.62611
33207,7505,1478.37734
64405,7522,2807.78095
72183,5212,184.80063
31384,7625,142.3848
38368,8435,240.71113
34018,7606,140.54462
33146,7515,313.36622
73029,8407,1089.39308
63309,8417,91.33676
37186,2413,195.97423
45115,2409,1231.70579
14019,2804,18.83664
10248,4425,112.57376
04214,9307,26.38158
17377,7509,49.50664
45272,2410,3417.6621
12185,7621,692.12516
08327,4403,238.41628
13036,0053,1499.28817
22084,5307,842.74382
83150,9311,1068.92143
10191,4425,714.46888
53077,5211,1192.53058
94053,1109,611.99874
44078,5205,145.81565
59151,3217,163.62638
53201,5211,5217.50033
74133,8416,3097.76377
59183,3213,44917.77413
34078,7616,357.83018
33114,7505,876.88001
43152,8419,635.7178
38316,8421,1987.40592
35082,5319,164.14568
53211,5211,392.47906
73031,8407,2353.25712
39327,2713,507.8604
33424,7515,1605.42288
56004,5318,816.16624
77403,1110,179.59165
28287,2404,353.39662
90071,2705,195.14873
50290,2802,23.11513
33032,7505,4928.26334
28140,2403,3298.07599
28375,0057,96.96502
30020,7618,466.12042
50110,2816,310.56907
24229,7507,1053.88731
17161,7512,968.3139
2A247,9406,7030.39711
26240,8431,69.41413
74224,8416,4760.48885
60064,3210,162.3804
83108,9303,419.18304
11185,7617,288.90536
07313,8433,371.10771
78638,1114,577.49287
38379,8435,103.30325
10170,4425,272.25276
39171,2713,740.5453
69033,8421,740.24027
85097,5213,750.97052
95572,1101,19656.83038
59447,3222,7843.80825
91494,1113,2703.71738
95306,1101,8259.05798
56061,0062,3021.89899
49193,5206,1015.06531
35188,5315,3130.93896
21016,2711,152.07686
14540,2814,58.61888
29039,5313,9277.01326
78068,1114,95.96789
17197,7509,4351.73932
78269,1111,849.31954
22213,5304,901.82329
22170,5316,146.72984
25448,2706,450.63356
19068,7507,56.09261
28393,0057,580.19911
50092,2806,100.16196
65226,7624,2827.23033
31088,7625,280.1069
33445,7516,88.71346
73213,8407,4315.31561
53141,5211,119.81112
37241,2413,376.75719
68115,4411,342.27773
42299,8412,2055.84716
65295,7624,705.1332
33423,7515,609.94569
04046,9307,214.01174
03195,8423,747.64555
02555,3209,304.18254
83012,9303,912.23112
10033,4425,2865.1864
14341,2804,5728.73514
10220,4415,539.2209
05073,9310,121.19385
02201,3221,134.07424
33111,7514,356.27276
42163,8426,445.77314
33331,7514,80.36016
33436,7505,136.61701
34332,7601,1461.27471
33219,7516,427.96653
42046,8412,560.02798
35255,5317,160.56374
33120,7514,394.09415
34179,7616,235.72342
33022,7505,547.70443
49060,5220,1327.24771
38158,8409,7069.81733
94041,1109,33160.25034
22261,5307,70.48001
01424,8421,260.15638
44210,5219,3771.6304
69125,8421,370.68371
61169,2809,9788.24383
73030,8407,1769.13
21038,2711,3431.37268
29190,5302,736.47692
17483,7512,275.79874
27589,2817,93.70025
22222,5316,1113.18178
21710,2709,586.97293
26078,8422,182.6385
28070,2403,890.40022
03003,8424,549.2786
21131,2704,61.0671
01125,8405,90.36247
07261,8431,269.89632
01024,8405,949.89168
