codgeo,ze2020,libze2020,population_2022_total
13071,9312,Marseille,22423
97129,0104,Région Pointoise,17494
91312,1113,Saclay,10571
68014,4405,Colmar,357
78517,1111,Rambouillet,27145
18051,2407,Gien,130
22294,5303,Carhaix-Plouguer,304
22160,5307,Lamballe-Armor,981
38415,8406,Bourgoin-Jallieu,1507
28275,2403,Chartres,699
12273,7621,Rodez,302
18045,2402,Bourges,380
31430,7622,Saint-Gaudens,622
66024,7620,Perpignan,5396
61484,0061,Nogent-le-Rotrou,3324
42322,8428,Saint-Étienne,1118
86177,7524,Poitiers,5465
02824,3214,Laon,383
02080,3214,Laon,314
06046,9315,Nice,3507
38019,8433,Vienne-Annonay,1465
39405,2712,Dole,1023
78036,1115,Versailles-Saint-Quentin,655
54507,4412,Nancy,99
05132,9310,Gap,2081
55362,4421,Sedan,186
31363,7622,Saint-Gaudens,211
50222,2805,Cherbourg-en-Cotentin,804
48043,7613,Mende,518
51499,4406,Épernay,152
62579,3203,Arras,546
62854,3203,Arras,610
63230,8417,Le Livradois,239
51484,4413,Reims,274
57762,4416,Saint-Avold,711
60577,0054,Beauvais,1680
27520,2803,Bernay,142
62316,3203,Arras,218
62586,3203,Arras,444
60551,3211,Creil,283
88062,4407,Épinal,91
27085,2815,Rouen,1586
71295,2707,Chalon-sur-Saône,1488
28105,0061,Nogent-le-Rotrou,553
25513,2715,Pontarlier,52
26231,8427,Romans-sur-Isère,2630
24515,7507,Brive-la-Gaillarde,717
40151,7510,Dax,425
30023,7618,Nîmes,769
16320,7502,Angoulême,915
22391,5304,Dinan,1106
28033,0061,Nogent-le-Rotrou,811
38132,8409,Grenoble,73
28116,2403,Chartres,2802
79217,7520,Niort,936
35223,5311,Ploërmel,4063
67143,4422,Sélestat,641
60623,0054,Beauvais,939
47317,7518,Marmande,544
67313,4423,Strasbourg,6101
71202,2707,Chalon-sur-Saône,1845
97103,0104,Région Pointoise,30943
49331,5221,Segré-en-Anjou Bleu,17617
67447,4423,Strasbourg,34382
76322,2815,Rouen,25954
30189,7618,Nîmes,150444
17204,7509,Cognac,301
03305,8423,Montluçon,577
