codgeo,ze2020,side_stocks_et_2023_total
11203,7617,994
03300,8424,22
03216,8423,6
03314,8423,82
03282,8424,18
03240,8424,45
03274,8432,23
03295,8432,5
03265,8424,55
04022,9307,68
11162,7608,0
11131,7608,60
11125,7617,9
11104,7608,2
11206,7608,1075
11110,7617,11
11060,7608,3
11088,7608,131
11081,7608,125
11085,7608,63
11075,7608,12
11055,7608,22
11190,7608,78
11201,7608,54
11101,7608,2
11184,7612,5
11198,7608,68
11129,7608,185
11154,7608,3
11192,7608,32
11127,7608,4
11138,7608,39
11149,7608,8
11151,7608,26
11090,7608,43
11145,7617,438
11113,7620,23
11114,7608,6
11082,7608,1
04047,9307,63
11112,7620,12
11133,7608,6
11150,7608,41
11183,7608,21
11095,7608,24
11058,7608,22
11064,7617,19
11185,7617,90
11204,7608,3
11166,7608,6
11181,7608,33
11052,7608,34
11178,7608,92
11177,7608,1
11057,7612,3
11199,7608,89
11174,7608,5
11056,7608,14
11196,7608,13
11093,7608,0
11087,7608,7
11059,7608,20
11078,7608,12
11189,7608,4
11195,7608,23
11157,7617,13
11086,7617,59
11187,7608,8
11136,7608,59
11074,7608,24
11158,7608,9
11116,7617,296
11100,7612,1
11170,7617,784
11172,7617,76
11067,7617,179
11080,7612,15
11182,7608,13
11200,7608,18
04073,9307,95
11165,7608,24
11144,7617,125
11148,7617,41
11083,7617,6
11207,7608,13
11155,7608,7
11092,7608,6
11132,7617,127
11073,7608,6
11072,7608,16
11143,7620,12
11209,7608,26
11063,7608,74
11126,7617,32
11153,7608,17
11066,7608,16
11161,7608,14
11121,7608,11
11180,7608,7
11070,7608,20
11134,7612,5
11105,7608,37
18259,2407,16
18255,2402,66
19049,7507,45
19046,0063,6
18244,2402,5
18185,2407,12
19014,7531,12
18246,0056,72
04126,9307,95
18277,2402,4
19019,7531,162
18286,2402,24
18215,0060,12
18226,2402,16
19001,7531,21
18262,0056,23
18191,2402,9
18196,0060,3
18249,0056,28
01015,8404,47
18188,2402,12
18248,2402,20
18231,2402,35
18258,0056,42
18217,2405,14
18288,2402,19
18251,2402,7
18275,0060,16
19038,7531,65
19050,7507,35
18263,2415,40
18213,2402,383
18289,2402,29
18211,2402,62
18240,0060,63
18192,2402,5
18190,2402,68
19006,0063,7
19020,7531,8
19023,7507,147
19021,0063,2
19005,7507,301
18198,2405,14
11205,7608,6
18234,2405,35
18207,2402,391
18241,0056,224
18252,2405,18
19031,7507,4962
19028,0063,258
18264,2407,4
18287,0056,20
18283,2402,7
18268,2402,17
19017,7531,15
18201,2402,36
01053,8405,4018
01028,8434,43
19025,7531,28
19043,7507,30
01069,8405,125
01067,8425,16
01072,8405,346
11102,7608,30
01077,8405,6
01066,8404,7
