codgeo,ze2020,side_stocks_ul_2023_total
02385,3220,8
02370,3220,24
02391,3217,2
02511,3220,10
02402,3220,3
02430,3214,41
02369,3217,6
02387,3220,45
02470,3217,9
02445,3217,14
02518,3209,14
02471,3214,6
02501,3214,4
02477,3221,80
02456,3220,13
02432,3221,11
02461,3220,22
02426,3220,23
02455,3220,15
02409,3214,6
02527,3221,22
02383,3220,82
02460,3214,4
02480,3214,10
02406,3221,4
02457,3214,13
02388,3214,7
02438,3221,22
02380,3220,0
02515,3209,5
02497,3214,65
02491,3214,19
02400,3221,7
02416,3217,4
02376,3220,11
02398,3221,4
02503,3220,29
02498,3214,44
02466,3221,10
02446,3220,4
02444,3214,5
02494,3220,9
02410,3221,10
02384,3217,1
02386,3220,7
02529,3214,3
02487,3221,24
02465,3209,26
02448,3214,7
02492,3214,12
02405,3217,25
02488,3220,2
02524,3209,28
02467,3221,6
02514,3221,29
02401,3217,13
02423,3221,19
02450,3220,18
02417,3220,2
02472,3214,24
02513,3214,6
02389,3209,53
02411,3209,10
02482,3214,3
02486,3214,14
02390,3220,5
02507,3209,3
02449,3221,7
02373,3217,12
02483,3220,25
02420,3220,38
02499,3214,4
02392,3220,8
02525,3220,47
02368,3221,33
02517,3214,11
02506,3221,10
02377,3220,2
02484,3209,25
02395,3221,6
02399,3214,18
02489,3214,20
02375,3209,12
02396,3214,3
02366,3220,12
02523,3221,1
02508,3214,13
02464,3221,22
02364,3214,13
02428,3209,5
02408,3214,1289
02528,3221,12
02419,3217,11
02473,3220,7
02510,3209,4
02496,3221,5
02431,3220,18
02433,3214,15
02463,3214,2
02454,3214,24
02413,3214,9
02474,3220,16
02447,3221,6
02371,3220,63
02468,3214,126
09082,7622,42
09106,7612,36
09008,7622,9
09111,7622,29
09033,7622,3
09068,7612,6
09101,7612,14
16302,7516,18
16316,7509,35
16307,7502,13
09091,7622,21
16358,7502,479
16414,7502,16
16416,7502,27
16339,7509,45
16237,7502,15
16230,7502,146
16352,7509,15
16401,7502,4
16372,7502,7
16245,7527,45
16312,7502,38
16250,7502,8
16241,7502,13
16231,7527,29
16325,7502,16
16301,7502,6
16297,7509,25
16293,7502,24
16269,7502,53
16369,7509,69
16249,7527,33
16267,7502,14
16251,7509,17
16396,7502,13
16240,7523,10
16415,7502,50
16331,7502,3
16253,7502,27
16286,7509,231
16390,7502,26
16298,7502,21
16334,7502,10
16317,7502,48
16345,7527,11
16276,7509,56
16232,7502,107
16395,7509,19
16260,7523,23
16279,7502,21
16326,7502,8
16354,7509,3
16310,7502,13
16321,7502,2
16381,7502,8
16271,7502,176
16272,7502,35
16346,7523,12
16252,7502,9
16363,7527,46
16277,7509,41
16408,7502,87
16389,7502,7
02550,3214,31
16399,7509,27
16273,7502,11
16244,7502,159
16384,7509,45
16387,7509,15
16283,7502,36
16413,7502,9
16275,7509,23
16353,7502,56
17003,7512,361
16370,7502,56
16382,7502,41
16419,7502,16
16336,7502,21
16270,7527,38
17002,7509,5
16248,7502,9
16233,7502,44
16243,7509,66
16374,7502,633
16406,7502,38
16242,7502,141
16263,7502,21
16304,7509,71
16306,7527,25
16357,7509,11
16423,7502,16
16385,7502,61
16402,7502,14
16366,7509,197
25004,2714,37
