ZE2020,year,sitadel_monthly_total_autorisee,sitadel_monthly_total_commencee,sitadel_monthly_q1_autorisee,sitadel_monthly_q1_commencee,sitadel_monthly_h1_autorisee,sitadel_monthly_h1_commencee
0051,2013,86971,77167,19406,28206,53322,48019
0052,2013,531429,87808,368640,7083,500383,65891
0053,2013,188604,87284,92018,30866,112578,46524
0054,2013,135184,124108,42474,26394,71898,41303
0055,2013,109419,20911,36183,6214,46868,7689
0056,2013,39746,27978,9465,5827,17353,10505
0057,2013,43343,28053,9084,1538,26743,7000
0058,2013,40700,38831,19574,6052,25490,12369
0059,2013,71792,63617,15225,22707,35761,31223
0060,2013,61132,30125,7695,11686,30246,16035
0061,2013,23536,32145,6808,2576,9047,28249
0062,2013,107271,45993,13145,6630,26354,26462
0063,2013,157102,71368,48554,8148,107906,33900
0064,2013,48676,35705,13405,15750,19707,25270
0101,2013,4350,0,130,0,1396,0
0102,2013,11889,3204,2107,181,5563,1339
0103,2013,4490,5571,1381,4596,2036,4693
0104,2013,85049,60264,10831,28972,20223,40524
0105,2013,24165,10795,10259,533,12046,3590
0201,2013,14854,1022,3695,33,11462,244
0202,2013,66738,51393,10201,6090,32393,33969
0203,2013,4203,0,934,0,1624,0
0204,2013,1727,1551,1105,751,1114,1151
0205,2013,7035,5586,732,4867,2228,4970
0206,2013,23639,16674,12153,1739,17234,13421
0301,2013,75324,22626,17754,2908,34982,11743
0302,2013,8734,508,998,1,4426,1
0303,2013,5621,2671,1142,0,1611,0
0401,2013,36025,15850,10566,6333,18977,8692
0402,2013,44969,26532,4504,12157,16377,14294
0403,2013,49810,23937,17554,3205,27109,8275
0404,2013,145274,60858,32096,8330,67359,17896
0601,2013,0,0,0,0,0,0
1101,2013,353975,121905,212978,36661,286413,56476
1102,2013,47586,10994,8006,6034,31414,8232
1103,2013,34476,13954,7541,3153,9643,5070
1104,2013,242404,156714,93666,53490,131962,85525
1105,2013,74930,67871,13682,5149,31947,43169
1106,2013,318565,211930,57142,56561,131053,76534
1107,2013,84252,122575,10749,66143,23207,78340
1108,2013,39637,21627,5998,2519,13517,13051
1109,2013,2404470,1392669,483303,272867,827414,675669
1110,2013,17532,11710,5195,1249,12423,3243
1111,2013,18876,33653,4131,10018,10548,29209
1112,2013,486068,334640,93851,109604,128607,180186
1113,2013,442281,261651,100413,100910,202427,148397
1114,2013,294706,209787,128828,20356,171393,121535
1115,2013,221406,171561,43473,17408,94904,131208
2401,2013,65217,45337,19175,11232,36404,17396
2402,2013,81109,86389,18900,29022,48960,47960
2403,2013,159737,123458,77104,12030,100338,33979
2404,2013,35654,23458,3580,5608,10904,12480
2405,2013,126839,114913,25196,37959,70072,74907
2406,2013,30235,19140,12668,5873,20548,10804
2407,2013,48415,31264,19536,6076,25424,13849
2408,2013,54192,23329,9456,7110,29894,9310
2409,2013,69199,38227,11365,7438,40663,14800
2410,2013,276712,216145,30074,12172,152179,59801
2411,2013,29583,17773,2393,3056,11809,14747
2412,2013,78962,60957,15935,3177,22227,38353
2413,2013,265048,158830,50783,38660,125599,70745
2414,2013,24133,30010,4604,10036,8833,18724
2415,2013,15783,12618,2234,2058,11056,3185
2701,2013,25356,17498,712,1417,15621,2504
2702,2013,107207,56881,20390,12631,40999,19808
2703,2013,57856,12963,4465,956,18874,2225
2704,2013,69884,34268,10397,10318,43894,17168
2705,2013,96576,55125,25930,3681,54176,24531
2706,2013,158499,88776,36487,18459,78259,36055
2707,2013,71320,61894,24716,18045,42271,40418
2708,2013,82607,64165,13544,11523,34130,30502
2709,2013,65420,26302,20782,10864,34089,14260
2710,2013,35905,26065,3973,2879,7319,11366
2711,2013,207353,153170,46845,24656,110480,74471
2712,2013,49465,36849,6159,5258,33677,12423
2713,2013,118013,107556,27371,30992,46098,44996
2714,2013,87113,54075,27423,12175,50576,20821
2715,2013,104695,80126,21411,14149,58798,35909
2716,2013,56147,48359,37344,570,45661,4777
