ZE2020,year,month,sitadel_monthly_surface_autorisee,sitadel_monthly_surface_commencee
0051,2013,1,6184,19645
0052,2013,1,269306,5039
0053,2013,1,5145,18548
0054,2013,1,5502,9583
0055,2013,1,33835,2710
0056,2013,1,3130,2228
0057,2013,1,3174,407
0058,2013,1,5747,1450
0059,2013,1,10766,10379
0060,2013,1,1840,3409
0061,2013,1,1166,327
0062,2013,1,8392,2016
0063,2013,1,11074,2146
0064,2013,1,5461,239
0101,2013,1,0,0
0102,2013,1,1310,0
0103,2013,1,829,4596
0104,2013,1,3362,733
0105,2013,1,7548,509
0201,2013,1,153,0
0202,2013,1,0,1071
0203,2013,1,549,0
0204,2013,1,298,221
0205,2013,1,611,4867
0206,2013,1,6454,1353
0301,2013,1,1915,2732
0302,2013,1,52,0
0303,2013,1,315,0
0401,2013,1,7391,4611
0402,2013,1,2756,11097
0403,2013,1,11126,1181
0404,2013,1,5902,4679
0601,2013,1,0,0
1101,2013,1,37134,25419
1102,2013,1,7134,4639
1103,2013,1,630,878
1104,2013,1,37487,18843
1105,2013,1,7945,3271
1106,2013,1,15267,18204
1107,2013,1,2540,5659
1108,2013,1,546,665
1109,2013,1,97728,87997
1110,2013,1,1474,185
1111,2013,1,1941,5183
1112,2013,1,30157,49086
1113,2013,1,29217,15148
1114,2013,1,35936,1494
1115,2013,1,19294,6185
2401,2013,1,7436,8698
2402,2013,1,3303,18303
2403,2013,1,7866,946
2404,2013,1,1648,619
2405,2013,1,3691,6481
2406,2013,1,2243,3542
2407,2013,1,6949,558
2408,2013,1,2062,4243
2409,2013,1,4527,478
2410,2013,1,13461,6504
2411,2013,1,800,1212
2412,2013,1,9237,1299
2413,2013,1,26299,5982
2414,2013,1,1957,142
2415,2013,1,1,694
2701,2013,1,214,0
2702,2013,1,6384,4130
2703,2013,1,868,126
2704,2013,1,4933,658
2705,2013,1,17446,1055
2706,2013,1,19468,3566
2707,2013,1,18657,16701
2708,2013,1,7745,1840
2709,2013,1,10331,1663
2710,2013,1,2138,195
2711,2013,1,6919,4020
2712,2013,1,1565,1415
2713,2013,1,5451,5710
2714,2013,1,5212,1526
2715,2013,1,5408,3107
2716,2013,1,534,252
2717,2013,1,1398,471
2718,2013,1,8559,615
2801,2013,1,345,0
2802,2013,1,5147,3276
2803,2013,1,8630,10301
2804,2013,1,22704,10154
2805,2013,1,8732,1130
2806,2013,1,3111,811
2807,2013,1,13931,7935
2808,2013,1,5678,3586
2809,2013,1,9680,2382
2810,2013,1,7922,544
2811,2013,1,4136,3969
2812,2013,1,1705,145
2813,2013,1,6804,9488
2814,2013,1,4697,1487
2815,2013,1,9943,18260
2816,2013,1,4094,892
2817,2013,1,6568,9327
2818,2013,1,338,345
2819,2013,1,1308,3069
3201,2013,1,7486,4111
3202,2013,1,17653,8797
3203,2013,1,6499,9067
3204,2013,1,5781,4093
3205,2013,1,5408,4379
3206,2013,1,988,3633
3207,2013,1,9667,1133
3208,2013,1,9985,5943
3209,2013,1,435,0
3210,2013,1,3629,8855
3211,2013,1,3366,34792
3212,2013,1,3221,11881
3213,2013,1,5320,8476
3214,2013,1,3097,13
3215,2013,1,6092,1228
3216,2013,1,28600,18168
3217,2013,1,5597,4635
3218,2013,1,6638,15993
3219,2013,1,12894,5174
3220,2013,1,981,3402
3221,2013,1,8141,355
3222,2013,1,3753,2569
4401,2013,1,2810,2479
4402,2013,1,8156,2029
4403,2013,1,4560,5594
4404,2013,1,16283,67
4405,2013,1,7678,32847
4406,2013,1,654,455
4407,2013,1,5363,4957
4408,2013,1,53192,197
4409,2013,1,7024,3319
4410,2013,1,9382,609
4411,2013,1,6849,5122
4412,2013,1,11383,8404
4413,2013,1,5711,15092
4414,2013,1,6104,1740
4415,2013,1,3395,1925
4416,2013,1,1902,1769
4417,2013,1,2870,670
4418,2013,1,12680,37811
4419,2013,1,12230,2651
4420,2013,1,1362,2400
4421,2013,1,3153,1724
4422,2013,1,9478,70
4423,2013,1,27598,10365
4424,2013,1,10217,9370
4425,2013,1,33508,3896
4426,2013,1,1612,982
4427,2013,1,2585,177
5201,2013,1,7355,188
5202,2013,1,9196,31571
5203,2013,1,11046,8092
5204,2013,1,1526,822
5205,2013,1,34737,2911
5206,2013,1,4153,13239
5207,2013,1,5490,7454
5208,2013,1,1564,1739
5209,2013,1,11770,1888
5210,2013,1,10643,7464
5211,2013,1,8474,13908
5212,2013,1,9455,28476
5213,2013,1,10706,7232
5214,2013,1,4493,1079
5215,2013,1,1221,3642
5216,2013,1,90426,25171
5217,2013,1,1960,517
5218,2013,1,1623,81
5219,2013,1,9257,12114
5220,2013,1,29023,246
5221,2013,1,2201,25315
5301,2013,1,1703,3478
5302,2013,1,17678,8106
5303,2013,1,9488,2100
5304,2013,1,11245,2641
5305,2013,1,9610,3830
5306,2013,1,9492,3574
5307,2013,1,9039,4478
5308,2013,1,7171,5185
5309,2013,1,19586,9549
5310,2013,1,31363,2877
5311,2013,1,6715,2526
5312,2013,1,4299,1944
5313,2013,1,13213,5197
5314,2013,1,2227,727
5315,2013,1,61502,12537
5316,2013,1,13102,5472
5317,2013,1,2532,5191
5318,2013,1,10221,15969
5319,2013,1,6991,4418
7501,2013,1,47716,3472
7502,2013,1,5342,505
7503,2013,1,18632,7437
7504,2013,1,7197,7018
7505,2013,1,28203,21731
7506,2013,1,8247,5631
7507,2013,1,6846,6072
7508,2013,1,1533,331
7509,2013,1,7110,1280
7510,2013,1,4941,2006
7511,2013,1,6698,658
7512,2013,1,9537,5283
7513,2013,1,11672,13495
7514,2013,1,3703,3724
7515,2013,1,12139,1663
7516,2013,1,5497,4029
7517,2013,1,10510,2744
7518,2013,1,68356,8686
7519,2013,1,5391,4699
7520,2013,1,7078,9221
7521,2013,1,3127,1796
7522,2013,1,12003,17535
7523,2013,1,6493,4427
7524,2013,1,7192,12030
7525,2013,1,3081,2769
7526,2013,1,9235,2487
7527,2013,1,3971,891
7528,2013,1,2825,3042
7529,2013,1,4277,1761
7530,2013,1,3382,3382
7531,2013,1,2727,641
7532,2013,1,7838,129
7601,2013,1,3332,1809
7602,2013,1,13848,8055
7603,2013,1,5325,1876
7604,2013,1,33672,9701
7605,2013,1,352,168
7606,2013,1,8853,6620
7607,2013,1,983,2003
7608,2013,1,6904,3807
7609,2013,1,419,2206
7610,2013,1,9756,2551
7611,2013,1,9417,13874
7612,2013,1,5121,1389
7613,2013,1,13823,2527
7614,2013,1,10100,375
7615,2013,1,10824,3808
7616,2013,1,17074,23553
7617,2013,1,25019,19775
7618,2013,1,13697,4353
7619,2013,1,4765,3615
7620,2013,1,50009,9689
7621,2013,1,8399,6866
7622,2013,1,4960,5418
7623,2013,1,1054,1311
7624,2013,1,17559,3009
7625,2013,1,105896,58768
8401,2013,1,7601,2994
8402,2013,1,4029,1187
8403,2013,1,40573,4012
8404,2013,1,579,352
8405,2013,1,7936,1186
8406,2013,1,14522,2975
8407,2013,1,3991,5923
8408,2013,1,16393,10253
8409,2013,1,40073,11109
8410,2013,1,5278,371
8411,2013,1,224,1222
8412,2013,1,5156,7848
8413,2013,1,1440,229
8414,2013,1,2774,1112
8415,2013,1,5374,3308
8416,2013,1,11846,2195
8417,2013,1,6476,4352
8418,2013,1,10051,179
8419,2013,1,6139,5604
8420,2013,1,7661,7270
8421,2013,1,82233,47646
8422,2013,1,12528,2302
8423,2013,1,11234,2745
8424,2013,1,11195,1186
8425,2013,1,5473,5256
8426,2013,1,8316,11208
8427,2013,1,8463,5472
8428,2013,1,23836,13886
8429,2013,1,3583,12
8430,2013,1,479,2014
8431,2013,1,14948,6799
8432,2013,1,4474,4623
8433,2013,1,13128,3862
8434,2013,1,24192,8528
8435,2013,1,6451,1893
9301,2013,1,22964,3996
9302,2013,1,677,0
9303,2013,1,2586,434
9304,2013,1,980,30117
9305,2013,1,11181,331
9306,2013,1,20927,4291
9307,2013,1,2767,1231
9308,2013,1,1389,1740
9309,2013,1,3005,388
9310,2013,1,2724,70
9311,2013,1,12190,846
9312,2013,1,14954,19633
9313,2013,1,9852,2371
9314,2013,1,0,286
9315,2013,1,7057,5238
9316,2013,1,564,0
9317,2013,1,830,820
9318,2013,1,17043,7846
9401,2013,1,18637,911
9402,2013,1,3081,8316
9403,2013,1,801,108
9404,2013,1,130,0
9405,2013,1,898,0
9406,2013,1,0,388
9407,2013,1,116,0
0051,2013,2,2883,1700
0052,2013,2,54434,964
0053,2013,2,8150,7617
0054,2013,2,18319,11622
0055,2013,2,1323,3504
0056,2013,2,3131,1980
0057,2013,2,1453,979
0058,2013,2,9635,2212
0059,2013,2,2855,3741
0060,2013,2,3027,581
0061,2013,2,3048,2189
0062,2013,2,1375,1668
0063,2013,2,19434,1565
0064,2013,2,2340,13915
0101,2013,2,130,0
0102,2013,2,574,116
0103,2013,2,298,0
0104,2013,2,2961,4374
0105,2013,2,402,24
0201,2013,2,3542,33
0202,2013,2,7542,2538
0203,2013,2,0,0
0204,2013,2,711,530
0205,2013,2,121,0
0206,2013,2,80,54
0301,2013,2,10785,0
0302,2013,2,573,1
0303,2013,2,827,0
0401,2013,2,73,946
0402,2013,2,1499,453
0403,2013,2,5204,733
0404,2013,2,8216,449
0601,2013,2,0,0
1101,2013,2,17556,2914
1102,2013,2,581,170
1103,2013,2,6911,1809
1104,2013,2,45276,9820
1105,2013,2,3266,293
1106,2013,2,15930,3532
1107,2013,2,4781,59724
1108,2013,2,1956,1613
1109,2013,2,300741,82585
1110,2013,2,1938,888
1111,2013,2,961,138
1112,2013,2,38470,10588
1113,2013,2,7235,6585
1114,2013,2,53478,5491
1115,2013,2,14059,5154
2401,2013,2,6203,823
2402,2013,2,3432,5544
2403,2013,2,50055,6242
2404,2013,2,835,638
2405,2013,2,10748,5566
2406,2013,2,9874,0
2407,2013,2,5281,4268
2408,2013,2,2017,520
2409,2013,2,4043,1565
2410,2013,2,9823,1819
2411,2013,2,772,943
2412,2013,2,1593,1263
2413,2013,2,19478,25598
2414,2013,2,610,5040
2415,2013,2,418,788
2701,2013,2,71,1272
2702,2013,2,5513,5991
2703,2013,2,2543,0
2704,2013,2,2744,3000
2705,2013,2,2320,85
2706,2013,2,8630,8283
2707,2013,2,5159,752
2708,2013,2,5034,6468
2709,2013,2,6556,6951
2710,2013,2,1244,61
2711,2013,2,6752,16331
2712,2013,2,914,549
2713,2013,2,9379,12234
2714,2013,2,13752,8876
2715,2013,2,7258,1824
2716,2013,2,4592,318
2717,2013,2,1798,2972
2718,2013,2,3175,1915
2801,2013,2,17507,702
2802,2013,2,2863,5697
2803,2013,2,3906,5007
2804,2013,2,7955,7528
2805,2013,2,19799,2466
2806,2013,2,4814,0
2807,2013,2,6394,2172
2808,2013,2,2351,90
2809,2013,2,4099,3290
2810,2013,2,4268,1850
2811,2013,2,16223,2220
2812,2013,2,76,81
2813,2013,2,6591,7508
2814,2013,2,4395,72
2815,2013,2,14765,16062
2816,2013,2,5491,1710
2817,2013,2,1834,171
2818,2013,2,488,878
2819,2013,2,4640,5163
3201,2013,2,2029,3033
3202,2013,2,5116,3104
3203,2013,2,15554,11363
3204,2013,2,7614,2107
3205,2013,2,16546,5910
3206,2013,2,1790,2951
3207,2013,2,14305,635
3208,2013,2,2852,660
3209,2013,2,4894,135
3210,2013,2,31549,8326
3211,2013,2,6668,3235
3212,2013,2,4042,4978
3213,2013,2,13604,6355
3214,2013,2,5223,1827
3215,2013,2,13505,11569
3216,2013,2,41936,23270
3217,2013,2,24706,1871
3218,2013,2,2166,215
3219,2013,2,811,5239
3220,2013,2,6332,6987
3221,2013,2,12288,1773
3222,2013,2,4855,7767
4401,2013,2,134,27184
4402,2013,2,12832,2058
4403,2013,2,3025,1397
4404,2013,2,2671,7936
4405,2013,2,5550,7835
4406,2013,2,3018,4772
4407,2013,2,5968,8768
4408,2013,2,2092,963
4409,2013,2,3560,2018
4410,2013,2,17754,12550
4411,2013,2,3881,435
4412,2013,2,5062,12653
4413,2013,2,7993,10487
4414,2013,2,2503,357
4415,2013,2,7182,7826
4416,2013,2,1475,973
4417,2013,2,1707,766
4418,2013,2,2252,1227
4419,2013,2,4975,601
4420,2013,2,3158,515
4421,2013,2,15490,1528
4422,2013,2,2742,7237
4423,2013,2,19370,45780
4424,2013,2,7966,4018
4425,2013,2,9717,3806
4426,2013,2,2589,1382
4427,2013,2,4280,2733
5201,2013,2,1181,265
5202,2013,2,21344,17059
5203,2013,2,22288,11538
5204,2013,2,3975,272
5205,2013,2,2617,3575
5206,2013,2,5405,6290
5207,2013,2,11338,3633
5208,2013,2,1514,1026
5209,2013,2,2062,3559
5210,2013,2,5268,6694
5211,2013,2,24722,21008
5212,2013,2,15122,9845
5213,2013,2,5880,7068
5214,2013,2,1929,272
5215,2013,2,5446,5515
5216,2013,2,84299,42369
5217,2013,2,1562,1196
5218,2013,2,954,1784
5219,2013,2,4751,7776
5220,2013,2,3357,1528
5221,2013,2,1295,425
5301,2013,2,2508,4646
5302,2013,2,9776,9026
5303,2013,2,15074,4028
5304,2013,2,4354,9968
5305,2013,2,7502,10720
5306,2013,2,6061,1639
5307,2013,2,15494,2358
5308,2013,2,7149,3002
5309,2013,2,8477,5486
5310,2013,2,11905,8270
5311,2013,2,5729,3670
5312,2013,2,4357,8860
5313,2013,2,8047,7570
5314,2013,2,2911,453
5315,2013,2,54407,23781
5316,2013,2,4920,11606
5317,2013,2,5592,3514
5318,2013,2,17107,4026
5319,2013,2,4693,10059
7501,2013,2,5015,1724
7502,2013,2,3125,23671
7503,2013,2,8651,3108
7504,2013,2,5665,982
7505,2013,2,61609,25709
7506,2013,2,3059,7211
7507,2013,2,8435,11116
7508,2013,2,4504,1987
7509,2013,2,4017,8353
7510,2013,2,12049,3736
7511,2013,2,4902,6342
7512,2013,2,26344,3596
7513,2013,2,48818,49114
7514,2013,2,6900,2133
7515,2013,2,4965,2167
7516,2013,2,2612,3818
7517,2013,2,10647,14127
7518,2013,2,42555,4303
7519,2013,2,4409,2210
7520,2013,2,14033,9877
7521,2013,2,3027,5425
7522,2013,2,20998,4868
7523,2013,2,6043,14422
7524,2013,2,8223,2705
7525,2013,2,12463,0
7526,2013,2,1918,6198
7527,2013,2,1170,2290
7528,2013,2,3576,7804
7529,2013,2,1033,4451
7530,2013,2,5443,719
7531,2013,2,13271,756
7532,2013,2,11045,6875
7601,2013,2,4673,0
7602,2013,2,28380,7022
7603,2013,2,8587,3037
7604,2013,2,8721,5603
7605,2013,2,90,0
7606,2013,2,17735,738
7607,2013,2,3161,515
7608,2013,2,2054,2246
7609,2013,2,512,1444
7610,2013,2,2000,2215
7611,2013,2,16515,2537
7612,2013,2,4263,2426
7613,2013,2,1853,3256
7614,2013,2,3826,3555
7615,2013,2,10692,4141
7616,2013,2,19306,5421
7617,2013,2,2873,1394
7618,2013,2,25155,7745
7619,2013,2,2081,2574
7620,2013,2,10016,8508
7621,2013,2,14292,6151
7622,2013,2,4083,1074
7623,2013,2,1323,2458
7624,2013,2,10274,4859
7625,2013,2,147747,27684
8401,2013,2,10226,19000
8402,2013,2,7391,5189
8403,2013,2,37890,417
8404,2013,2,972,0
8405,2013,2,8018,7552
8406,2013,2,6916,5822
8407,2013,2,11031,5833
8408,2013,2,11586,6645
8409,2013,2,20506,2800
8410,2013,2,5004,3703
8411,2013,2,1017,199
8412,2013,2,3601,1691
8413,2013,2,5144,2675
8414,2013,2,6278,939
8415,2013,2,2443,3605
8416,2013,2,18415,1298
8417,2013,2,1075,365
8418,2013,2,1122,2128
8419,2013,2,13071,3234
8420,2013,2,5735,2453
8421,2013,2,61782,96851
8422,2013,2,3723,1959
8423,2013,2,13466,3188
8424,2013,2,8249,1330
8425,2013,2,6358,2331
8426,2013,2,6226,14222
8427,2013,2,2596,706
8428,2013,2,14724,3129
8429,2013,2,4338,551
8430,2013,2,4019,961
8431,2013,2,5449,7378
8432,2013,2,10376,2393
8433,2013,2,4986,7000
8434,2013,2,5485,5051
8435,2013,2,2597,7836
9301,2013,2,9259,4645
9302,2013,2,0,69
9303,2013,2,2826,928
9304,2013,2,2506,327
9305,2013,2,199,246
9306,2013,2,1923,1132
9307,2013,2,1048,1232
9308,2013,2,2573,4278
9309,2013,2,135,2398
9310,2013,2,6079,1952
9311,2013,2,5267,207
9312,2013,2,38466,20418
9313,2013,2,17057,4743
9314,2013,2,191,2171
9315,2013,2,3114,2438
9316,2013,2,6168,2626
9317,2013,2,2469,551
9318,2013,2,4858,2952
9401,2013,2,8498,1332
9402,2013,2,599,3492
9403,2013,2,797,277
9404,2013,2,3346,54
9405,2013,2,1344,803
9406,2013,2,585,49
9407,2013,2,761,0
0051,2013,3,10339,6861
0052,2013,3,44900,1080
0053,2013,3,78723,4701
0054,2013,3,18653,5189
0055,2013,3,1025,0
0056,2013,3,3204,1619
0057,2013,3,4457,152
0058,2013,3,4192,2390
0059,2013,3,1604,8587
0060,2013,3,2828,7696
0061,2013,3,2594,60
0062,2013,3,3378,2946
0063,2013,3,18046,4437
0064,2013,3,5604,1596
0101,2013,3,0,0
0102,2013,3,223,65
0103,2013,3,254,0
0104,2013,3,4508,23865
0105,2013,3,2309,0
