ZE2020,year,sitadel_surface_autorisee,sitadel_surface_commencee
0051,2013,17189.0,63592.0
0051,2014,10710.0,49962.0
0051,2015,19969.0,47378.0
0051,2016,26029.0,48880.0
0051,2017,17829.0,79861.0
0051,2018,36895.0,49118.0
0051,2019,18291.0,62863.0
0051,2020,28000.0,46856.0
0051,2021,20685.0,59779.0
0051,2022,14202.0,49072.0
0051,2023,36129.0,41060.0
0051,2024,31430.0,0.0
0052,2013,35303.0,44095.0
0052,2014,29834.0,190677.0
0052,2015,86065.0,164083.0
0052,2016,31899.0,44515.0
0052,2017,68728.0,66331.0
0052,2018,33363.0,88729.0
0052,2019,11369.0,88522.0
0052,2020,92331.0,322776.0
0052,2021,32878.0,240651.0
0052,2022,28430.0,120986.0
0052,2023,71099.0,56484.0
0052,2024,129373.0,0.0
0053,2013,38553.0,87034.0
0053,2014,85084.0,206304.0
0053,2015,151322.0,121948.0
0053,2016,65172.0,180413.0
0053,2017,100028.0,147539.0
0053,2018,50000.0,105405.0
0053,2019,32994.0,197344.0
0053,2020,85059.0,103516.0
0053,2021,73509.0,148601.0
0053,2022,289831.0,190750.0
0053,2023,69410.0,125044.0
0053,2024,87793.0,0.0
0054,2013,26806.0,130209.0
0054,2014,23158.0,65065.0
0054,2015,28441.0,138974.0
0054,2016,34144.0,90574.0
0054,2017,51010.0,116130.0
0054,2018,32210.0,63876.0
0054,2019,54053.0,91177.0
0054,2020,68773.0,135564.0
0054,2021,42953.0,196896.0
0054,2022,242493.0,144234.0
0054,2023,41167.0,52010.0
0054,2024,225911.0,0.0
0055,2013,35979.0,20818.0
0055,2014,8365.0,76081.0
0055,2015,14937.0,49549.0
0055,2016,57308.0,24153.0
0055,2017,31531.0,64201.0
0055,2018,22728.0,54563.0
0055,2019,80055.0,30181.0
0055,2020,87514.0,122106.0
0055,2021,14271.0,79899.0
0055,2022,33436.0,127390.0
0055,2023,88721.0,46059.0
0055,2024,61939.0,0.0
0056,2013,10806.0,32350.0
0056,2014,7748.0,23720.0
0056,2015,7816.0,26448.0
0056,2016,6998.0,22229.0
0056,2017,7967.0,30550.0
0056,2018,9746.0,20622.0
0056,2019,19289.0,17652.0
0056,2020,7262.0,19230.0
0056,2021,7678.0,10665.0
0056,2022,7091.0,14982.0
0056,2023,17870.0,13001.0
0056,2024,12480.0,0.0
0057,2013,11153.0,30778.0
0057,2014,6791.0,16890.0
0057,2015,26958.0,19753.0
0057,2016,7780.0,40864.0
0057,2017,20584.0,20940.0
0057,2018,16192.0,29439.0
0057,2019,7333.0,49559.0
0057,2020,64611.0,29810.0
0057,2021,40684.0,28005.0
0057,2022,121619.0,28869.0
0057,2023,20028.0,22208.0
0057,2024,118560.0,0.0
0058,2013,5781.0,47053.0
0058,2014,5879.0,45127.0
0058,2015,12208.0,35593.0
0058,2016,8517.0,26156.0
0058,2017,14062.0,25936.0
0058,2018,12460.0,33732.0
0058,2019,9206.0,14138.0
0058,2020,9598.0,23082.0
0058,2021,5598.0,47886.0
0058,2022,5360.0,28260.0
0058,2023,8433.0,18784.0
0058,2024,8939.0,0.0
0059,2013,13208.0,61192.0
0059,2014,12264.0,60511.0
0059,2015,10711.0,36792.0
0059,2016,41021.0,131708.0
0059,2017,16916.0,70376.0
0059,2018,14784.0,88020.0
0059,2019,27858.0,53333.0
0059,2020,23914.0,56703.0
0059,2021,13577.0,38283.0
0059,2022,103385.0,40474.0
0059,2023,110780.0,86195.0
0059,2024,48645.0,0.0
0060,2013,14244.0,23219.0
0060,2014,31653.0,40209.0
0060,2015,20069.0,38518.0
0060,2016,30292.0,37526.0
0060,2017,33430.0,39778.0
0060,2018,22608.0,32891.0
0060,2019,21726.0,33612.0
0060,2020,9612.0,21434.0
0060,2021,18680.0,32343.0
0060,2022,31446.0,33432.0
0060,2023,30275.0,30586.0
0060,2024,33952.0,0.0
0061,2013,8418.0,11561.0
0061,2014,3266.0,15739.0
0061,2015,5684.0,11059.0
0061,2016,25435.0,25271.0
0061,2017,13764.0,35147.0
0061,2018,12254.0,28955.0
0061,2019,11125.0,19706.0
0061,2020,10163.0,13318.0
0061,2021,15445.0,30729.0
0061,2022,13807.0,26224.0
0061,2023,12746.0,9428.0
0061,2024,32801.0,0.0
0062,2013,23505.0,47740.0
0062,2014,43310.0,77791.0
0062,2015,23512.0,38468.0
0062,2016,15513.0,25868.0
0062,2017,17060.0,56735.0
0062,2018,38282.0,43307.0
0062,2019,19094.0,39449.0
0062,2020,13048.0,30941.0
0062,2021,10704.0,38639.0
0062,2022,13199.0,27944.0
0062,2023,23377.0,20103.0
0062,2024,32269.0,0.0
0063,2013,49689.0,77680.0
0063,2014,40806.0,81122.0
0063,2015,25528.0,70307.0
0063,2016,35057.0,83512.0
0063,2017,27834.0,77243.0
0063,2018,21842.0,58122.0
0063,2019,26435.0,80725.0
0063,2020,20337.0,45176.0
0063,2021,12151.0,46030.0
0063,2022,17090.0,22366.0
0063,2023,21676.0,22971.0
0063,2024,26608.0,0.0
0064,2013,9980.0,28807.0
0064,2014,13101.0,25492.0
0064,2015,8527.0,22014.0
0064,2016,9989.0,27057.0
0064,2017,10586.0,28935.0
0064,2018,9239.0,16558.0
0064,2019,12775.0,18438.0
0064,2020,9267.0,12885.0
0064,2021,14721.0,15496.0
0064,2022,26064.0,20622.0
0064,2023,31847.0,21575.0
0064,2024,18391.0,0.0
0101,2013,1609.0,300.0
0101,2014,2955.0,5414.0
0101,2015,1135.0,638.0
0101,2016,1431.0,0.0
0101,2017,3417.0,435.0
0101,2018,3815.0,62.0
0101,2019,1336.0,351.0
0101,2020,584.0,507.0
0101,2021,5749.0,261.0
0101,2022,945.0,1899.0
0101,2023,1344.0,800.0
0101,2024,1590.0,0.0
0102,2013,9059.0,4065.0
0102,2014,14726.0,1539.0
0102,2015,17949.0,1676.0
0102,2016,32689.0,7566.0
0102,2017,10160.0,1508.0
0102,2018,9960.0,12721.0
0102,2019,5091.0,19422.0
0102,2020,5003.0,8885.0
0102,2021,7151.0,20517.0
0102,2022,6344.0,14134.0
0102,2023,18264.0,4471.0
0102,2024,11454.0,0.0
0103,2013,2684.0,5842.0
0103,2014,3098.0,892.0
0103,2015,12500.0,112.0
0103,2016,3441.0,1137.0
0103,2017,4648.0,359.0
0103,2018,614.0,102.0
0103,2019,409.0,99.0
0103,2020,1067.0,177.0
0103,2021,1289.0,9984.0
0103,2022,200.0,80.0
0103,2023,1413.0,0.0
0103,2024,153.0,0.0
0104,2013,38803.0,50967.0
0104,2014,35228.0,34559.0
0104,2015,18521.0,71275.0
0104,2016,59915.0,114747.0
0104,2017,34382.0,38969.0
0104,2018,32698.0,52685.0
0104,2019,21636.0,27509.0
0104,2020,8804.0,13774.0
0104,2021,22205.0,25702.0
0104,2022,49212.0,66468.0
0104,2023,31479.0,21553.0
0104,2024,60187.0,0.0
0105,2013,13045.0,6960.0
0105,2014,2932.0,5991.0
0105,2015,7826.0,2995.0
0105,2016,2859.0,2532.0
0105,2017,2486.0,2633.0
0105,2018,10055.0,3809.0
0105,2019,4203.0,1492.0
0105,2020,5099.0,2401.0
0105,2021,7917.0,5251.0
0105,2022,10259.0,10955.0
0105,2023,15361.0,3489.0
0105,2024,7188.0,0.0
0201,2013,3633.0,2905.0
0201,2014,7487.0,4007.0
