ze2020,libze2020,reg,year,bpe_evolution_commune_type_presence_total,bpe_evolution_communes_observed,bpe_evolution_facility_types_observed,source_geography_year,comparability_status
0051,Alençon,52,2019,2067,184,135,2025,official_harmonized_2019_2024_presence_absence
0051,Alençon,52,2024,2154,184,135,2025,official_harmonized_2019_2024_presence_absence
0052,Arles,76,2019,979,20,132,2025,official_harmonized_2019_2024_presence_absence
0052,Arles,76,2024,1030,20,134,2025,official_harmonized_2019_2024_presence_absence
0053,Avignon,93,2019,1745,36,141,2025,official_harmonized_2019_2024_presence_absence
0053,Avignon,93,2024,1820,36,143,2025,official_harmonized_2019_2024_presence_absence
0054,Beauvais,28,2019,3739,327,141,2025,official_harmonized_2019_2024_presence_absence
0054,Beauvais,28,2024,4009,327,141,2025,official_harmonized_2019_2024_presence_absence
0055,Bollène-Pierrelatte,93,2019,826,29,117,2025,official_harmonized_2019_2024_presence_absence
0055,Bollène-Pierrelatte,93,2024,841,29,109,2025,official_harmonized_2019_2024_presence_absence
0056,Cosne-Cours-sur-Loire,27,2019,1431,119,120,2025,official_harmonized_2019_2024_presence_absence
0056,Cosne-Cours-sur-Loire,27,2024,1479,119,120,2025,official_harmonized_2019_2024_presence_absence
0057,Dreux,24,2019,1761,115,128,2025,official_harmonized_2019_2024_presence_absence
0057,Dreux,24,2024,1919,115,125,2025,official_harmonized_2019_2024_presence_absence
0058,La Vallée de la Bresle-Vimeu,32,2019,1272,93,112,2025,official_harmonized_2019_2024_presence_absence
0058,La Vallée de la Bresle-Vimeu,32,2024,1357,93,112,2025,official_harmonized_2019_2024_presence_absence
0059,Mâcon,27,2019,2488,159,137,2025,official_harmonized_2019_2024_presence_absence
0059,Mâcon,27,2024,2610,159,136,2025,official_harmonized_2019_2024_presence_absence
0060,Nevers,27,2019,2310,180,139,2025,official_harmonized_2019_2024_presence_absence
0060,Nevers,27,2024,2360,180,138,2025,official_harmonized_2019_2024_presence_absence
0061,Nogent-le-Rotrou,28,2019,1232,82,117,2025,official_harmonized_2019_2024_presence_absence
0061,Nogent-le-Rotrou,28,2024,1275,82,119,2025,official_harmonized_2019_2024_presence_absence
0062,Redon,53,2019,1135,43,120,2025,official_harmonized_2019_2024_presence_absence
0062,Redon,53,2024,1156,43,123,2025,official_harmonized_2019_2024_presence_absence
0063,Ussel,84,2019,2112,186,119,2025,official_harmonized_2019_2024_presence_absence
0063,Ussel,84,2024,2132,186,117,2025,official_harmonized_2019_2024_presence_absence
0064,Valréas,93,2019,1355,114,113,2025,official_harmonized_2019_2024_presence_absence
0064,Valréas,93,2024,1378,114,115,2025,official_harmonized_2019_2024_presence_absence
1101,Cergy-Vexin,11,2019,3573,120,142,2025,official_harmonized_2019_2024_presence_absence
1101,Cergy-Vexin,11,2024,3664,120,143,2025,official_harmonized_2019_2024_presence_absence
1102,Coulommiers,11,2019,869,54,119,2025,official_harmonized_2019_2024_presence_absence
1102,Coulommiers,11,2024,950,54,117,2025,official_harmonized_2019_2024_presence_absence
1103,Étampes,11,2019,1194,64,127,2025,official_harmonized_2019_2024_presence_absence
1103,Étampes,11,2024,1266,64,127,2025,official_harmonized_2019_2024_presence_absence
1104,Évry-Courcouronnes,11,2019,2964,68,140,2025,official_harmonized_2019_2024_presence_absence
1104,Évry-Courcouronnes,11,2024,3098,68,142,2025,official_harmonized_2019_2024_presence_absence
1105,Fontainebleau-Nemours,11,2019,2166,106,133,2025,official_harmonized_2019_2024_presence_absence
1105,Fontainebleau-Nemours,11,2024,2286,106,134,2025,official_harmonized_2019_2024_presence_absence
1106,Marne-la-Vallée,11,2019,2785,69,132,2025,official_harmonized_2019_2024_presence_absence
1106,Marne-la-Vallée,11,2024,2958,69,137,2025,official_harmonized_2019_2024_presence_absence
1107,Meaux,11,2019,1969,102,135,2025,official_harmonized_2019_2024_presence_absence
1107,Meaux,11,2024,2093,102,135,2025,official_harmonized_2019_2024_presence_absence
1108,Melun,11,2019,1625,71,138,2025,official_harmonized_2019_2024_presence_absence
1108,Melun,11,2024,1706,71,136,2025,official_harmonized_2019_2024_presence_absence
1109,Paris,11,2019,12998,122,149,2025,official_harmonized_2019_2024_presence_absence
1109,Paris,11,2024,13202,122,149,2025,official_harmonized_2019_2024_presence_absence
1110,Provins,11,2019,854,81,119,2025,official_harmonized_2019_2024_presence_absence
1110,Provins,11,2024,963,81,119,2025,official_harmonized_2019_2024_presence_absence
1111,Rambouillet,11,2019,846,36,122,2025,official_harmonized_2019_2024_presence_absence
1111,Rambouillet,11,2024,880,36,121,2025,official_harmonized_2019_2024_presence_absence
1112,Roissy,11,2019,3880,87,138,2025,official_harmonized_2019_2024_presence_absence
1112,Roissy,11,2024,3985,87,142,2025,official_harmonized_2019_2024_presence_absence
1113,Saclay,11,2019,3097,62,139,2025,official_harmonized_2019_2024_presence_absence
1113,Saclay,11,2024,3180,62,140,2025,official_harmonized_2019_2024_presence_absence
1114,Seine-Yvelinoise,11,2019,4479,121,140,2025,official_harmonized_2019_2024_presence_absence
1114,Seine-Yvelinoise,11,2024,4600,121,141,2025,official_harmonized_2019_2024_presence_absence
1115,Versailles-Saint-Quentin,11,2019,3434,103,142,2025,official_harmonized_2019_2024_presence_absence
1115,Versailles-Saint-Quentin,11,2024,3536,103,144,2025,official_harmonized_2019_2024_presence_absence
2401,Blois,24,2019,2071,104,138,2025,official_harmonized_2019_2024_presence_absence
2401,Blois,24,2024,2194,104,141,2025,official_harmonized_2019_2024_presence_absence
2402,Bourges,24,2019,2342,170,138,2025,official_harmonized_2019_2024_presence_absence
2402,Bourges,24,2024,2401,170,139,2025,official_harmonized_2019_2024_presence_absence
2403,Chartres,24,2019,2452,150,136,2025,official_harmonized_2019_2024_presence_absence
2403,Chartres,24,2024,2586,150,137,2025,official_harmonized_2019_2024_presence_absence
2404,Châteaudun,24,2019,875,63,115,2025,official_harmonized_2019_2024_presence_absence
2404,Châteaudun,24,2024,888,63,114,2025,official_harmonized_2019_2024_presence_absence
2405,Châteauroux,24,2019,3068,213,140,2025,official_harmonized_2019_2024_presence_absence
2405,Châteauroux,24,2024,3164,213,140,2025,official_harmonized_2019_2024_presence_absence
2406,Chinon,24,2019,764,42,116,2025,official_harmonized_2019_2024_presence_absence
2406,Chinon,24,2024,784,42,116,2025,official_harmonized_2019_2024_presence_absence
2407,Gien,24,2019,1249,67,121,2025,official_harmonized_2019_2024_presence_absence
2407,Gien,24,2024,1272,67,121,2025,official_harmonized_2019_2024_presence_absence
2408,Loches,24,2019,1200,78,113,2025,official_harmonized_2019_2024_presence_absence
2408,Loches,24,2024,1218,78,112,2025,official_harmonized_2019_2024_presence_absence
2409,Montargis,24,2019,1587,96,127,2025,official_harmonized_2019_2024_presence_absence
