fold,seed,control,source_sector_idx,target_sector_idx,source_sector,target_sector,rank,top_k,graph_mean_weight,graph_density,stability_fraction
2021,42,C10_ardeco_temporal_perm,0,3,AZ,DE,1,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,0,5,AZ,GI,2,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,0,7,AZ,JZ,3,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,0,8,AZ,KZ,4,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,1,2,BE,C,5,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,1,5,BE,GI,6,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,1,7,BE,JZ,7,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,1,8,BE,KZ,8,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,2,3,C,DE,9,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,2,4,C,FZ,10,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,2,5,C,GI,11,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,2,6,C,HZ,12,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,2,8,C,KZ,13,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,3,7,DE,JZ,14,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,4,5,FZ,GI,15,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,4,6,FZ,HZ,16,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,4,7,FZ,JZ,17,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,5,6,GI,HZ,18,19,0.145042,0.5278,
2021,42,C10_ardeco_temporal_perm,5,7,GI,JZ,19,19,0.145042,0.5278,
2021,43,C10_ardeco_temporal_perm,0,3,AZ,DE,1,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,0,4,AZ,FZ,2,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,0,5,AZ,GI,3,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,1,2,BE,C,4,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,1,4,BE,FZ,5,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,1,5,BE,GI,6,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,2,5,C,GI,7,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,2,6,C,HZ,8,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,2,8,C,KZ,9,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,3,6,DE,HZ,10,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,3,7,DE,JZ,11,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,4,6,FZ,HZ,12,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,4,7,FZ,JZ,13,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,4,8,FZ,KZ,14,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,5,6,GI,HZ,15,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,5,7,GI,JZ,16,17,0.134656,0.4722,
2021,43,C10_ardeco_temporal_perm,6,8,HZ,KZ,17,17,0.134656,0.4722,
2021,44,C10_ardeco_temporal_perm,0,2,AZ,C,1,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,0,4,AZ,FZ,2,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,0,5,AZ,GI,3,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,0,7,AZ,JZ,4,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,1,2,BE,C,5,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,1,3,BE,DE,6,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,1,4,BE,FZ,7,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,1,7,BE,JZ,8,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,2,3,C,DE,9,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,2,4,C,FZ,10,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,2,5,C,GI,11,18,0.129315,0.5,
2021,44,C10_ardeco_temporal_perm,2,8,C,KZ,12,18,0.129315,0.5,
