control,n_runs,mae_mean,mae_std,regime_macro_f1_mean,regime_macro_f1_std,recovery_aucpr_mean,recovery_aucpr_std,emergence_aucpr_mean,emergence_aucpr_std,spearman_mean,spearman_std,sign_accuracy_mean,sign_accuracy_std
C0_persistence,25,0.17948,0.03208,,,,,,,-0.09234,0.14013,0.54851,0.10475
C1_ridge,25,0.12422,0.02584,,,,,,,0.07123,0.14856,0.68405,0.17297
C2_no_graph,25,0.1329,0.03371,0.28701,0.05028,0.24121,0.15942,0.18395,0.10425,0.07705,0.14571,0.6631,0.17399
C3_territory_only,25,0.13734,0.03716,0.28585,0.06013,0.21796,0.1516,0.16951,0.10001,0.06443,0.128,0.65831,0.17268
C4_sector_only,25,0.13728,0.03845,0.29094,0.05459,0.2038,0.15316,0.16365,0.10551,0.0698,0.13391,0.65813,0.17017
C5_dual,25,0.1424,0.04377,0.28845,0.06284,0.17382,0.13199,0.16023,0.09821,0.05607,0.14413,0.65509,0.16787
C6_territory_temporal_perm,25,0.14371,0.04334,0.28321,0.07229,0.15836,0.13024,0.15427,0.10247,0.03381,0.13288,0.65307,0.16291
C7_territory_graph_perm,25,0.14233,0.0442,0.28928,0.06366,0.16795,0.13325,0.15717,0.09923,0.05384,0.14606,0.65839,0.16931
C8_sector_identity_perm,25,0.13653,0.03383,0.28641,0.06616,0.10531,0.08607,0.1209,0.08357,0.03253,0.10754,0.65492,0.1649
C9_no_ardeco,25,0.13928,0.0385,0.29131,0.06837,0.18992,0.14127,0.16653,0.09932,0.06369,0.157,0.65461,0.16963
C10_ardeco_temporal_perm,25,0.14156,0.04167,0.29019,0.05827,0.17271,0.13099,0.1551,0.09421,0.05804,0.14382,0.65606,0.16806
