fold,control,n_seeds,mae_mean,mae_std,median_ae_mean,median_ae_std,spearman_mean,spearman_std,sign_accuracy_mean,sign_accuracy_std,regime_macro_f1_mean,regime_macro_f1_std,regime_balanced_acc_mean,regime_balanced_acc_std,regime_f1_decline_mean,regime_f1_decline_std,regime_f1_stagnation_mean,regime_f1_stagnation_std,regime_f1_growth_mean,regime_f1_growth_std,recovery_aucpr_mean,recovery_aucpr_std,recovery_prevalence_mean,recovery_prevalence_std,emergence_aucpr_mean,emergence_aucpr_std,emergence_prevalence_mean,emergence_prevalence_std
2021,C0_persistence,5,0.22508,0.0,0.19712,0.0,-0.28982,0.0,0.58856,0.0,,,,,,,,,,,,,,,,,,
2021,C1_ridge,5,0.14849,0.0,0.13045,0.0,0.2849,0.0,0.91749,0.0,,,,,,,,,,,,,,,,,,
2021,C2_no_graph,5,0.14861,0.03872,0.12757,0.03763,0.15219,0.23504,0.88977,0.13193,0.31336,0.01601,0.39124,0.04065,0.07063,0.03358,0.27463,0.0554,0.59481,0.07143,0.36845,0.18291,0.20682,0.0,0.32106,0.10301,0.24312,0.0
2021,C3_territory_only,5,0.14601,0.04083,0.12669,0.04682,0.12205,0.15426,0.87525,0.15657,0.28166,0.06338,0.37846,0.05566,0.07051,0.03032,0.25527,0.05223,0.5192,0.20085,0.34737,0.14211,0.20682,0.0,0.30213,0.09185,0.24312,0.0
2021,C4_sector_only,5,0.14459,0.0422,0.12419,0.04627,0.21422,0.12109,0.87855,0.14663,0.31943,0.02137,0.40161,0.0326,0.07495,0.01724,0.2417,0.03841,0.64163,0.04525,0.39723,0.13457,0.20682,0.0,0.33815,0.06082,0.24312,0.0
2021,C5_dual,5,0.14407,0.05075,0.12203,0.05246,0.14005,0.18177,0.86359,0.13891,0.2957,0.04452,0.39568,0.04297,0.07408,0.02201,0.25546,0.07639,0.55755,0.17438,0.3329,0.14348,0.20682,0.0,0.30294,0.09794,0.24312,0.0
2021,C6_territory_temporal_perm,5,0.14678,0.04992,0.1225,0.0505,0.10446,0.17468,0.84818,0.14089,0.27709,0.06897,0.40331,0.06249,0.07886,0.03249,0.29105,0.0784,0.46136,0.24524,0.30763,0.15941,0.20682,0.0,0.30322,0.09769,0.24312,0.0
2021,C7_territory_graph_perm,5,0.14176,0.04977,0.11895,0.05135,0.13314,0.18993,0.87437,0.13286,0.29557,0.04657,0.39915,0.05256,0.0775,0.02597,0.25181,0.09371,0.55741,0.16442,0.33335,0.15074,0.20682,0.0,0.30468,0.10125,0.24312,0.0
2021,C8_sector_identity_perm,5,0.14565,0.04126,0.12162,0.04584,0.07805,0.12184,0.85281,0.17294,0.28813,0.05181,0.38411,0.05941,0.0632,0.03382,0.28721,0.07181,0.51398,0.17946,0.25081,0.03078,0.20682,0.0,0.26336,0.06415,0.24312,0.0
2021,C9_no_ardeco,5,0.14471,0.04897,0.12128,0.04992,0.12013,0.23103,0.86271,0.17079,0.29572,0.02889,0.38896,0.03575,0.0809,0.02818,0.28582,0.09368,0.52045,0.08014,0.28677,0.09735,0.20682,0.0,0.29482,0.08947,0.24312,0.0
2021,C10_ardeco_temporal_perm,5,0.14257,0.04975,0.11909,0.05019,0.13566,0.1908,0.87173,0.14164,0.29859,0.03907,0.40182,0.04944,0.07642,0.02251,0.26105,0.08077,0.55829,0.16072,0.32962,0.14646,0.20682,0.0,0.29094,0.08953,0.24312,0.0
2022,C0_persistence,5,0.19735,0.0,0.16358,0.0,0.12153,0.0,0.68867,0.0,,,,,,,,,,,,,,,,,,
2022,C1_ridge,5,0.12083,0.0,0.08663,0.0,0.02728,0.0,0.69747,0.0,,,,,,,,,,,,,,,,,,
2022,C2_no_graph,5,0.14195,0.03613,0.1154,0.04206,0.13447,0.129,0.67371,0.03294,0.27354,0.0785,0.34141,0.05924,0.28113,0.12328,0.35916,0.24261,0.18034,0.0864,0.1673,0.18628,0.0077,0.0,0.11545,0.03742,0.05281,0.0
