target_year,ZE2020,node_idx,libze2020,flores_total_establishments_t_minus_1,flores_etab_az_t_minus_1,flores_etab_de_t_minus_1,flores_etab_c1_t_minus_1,flores_etab_c2_t_minus_1,flores_etab_c3_t_minus_1,flores_etab_c4_t_minus_1,flores_etab_c5_t_minus_1,flores_etab_fz_t_minus_1,flores_etab_gz_t_minus_1,flores_etab_hz_t_minus_1,flores_etab_iz_t_minus_1,flores_etab_jz_t_minus_1,flores_etab_kz_t_minus_1,flores_etab_lz_t_minus_1,flores_etab_mn_t_minus_1,flores_etab_oq_t_minus_1,flores_etab_ru_t_minus_1,flores_total_salaried_jobs_t_minus_1,flores_herfindahl_t_minus_1,flores_dominant_sector_weight_t_minus_1,flores_growth_etab_1y_t_minus_1,side_stock_total_t_minus_1,side_stock_be_t_minus_1,side_stock_fz_t_minus_1,side_stock_gi_t_minus_1,side_stock_jz_t_minus_1,side_stock_kz_t_minus_1,side_stock_lz_t_minus_1,side_stock_mn_t_minus_1,side_stock_oq_t_minus_1,side_stock_ru_t_minus_1,side_stock_growth_1y_t_minus_1,urssaf_employer_establishments_t_minus_1,urssaf_salaried_employees_t_minus_1,urssaf_payroll_t_minus_1,urssaf_employer_growth_1y_t_minus_1,urssaf_wage_per_employee_t_minus_1,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,side_enterprise_creations_official,side_establishment_creations_official,communes_count,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,is_covid_year,is_post_covid_rebound,fr_climat_affaires_t_minus_1,fr_climat_emploi_t_minus_1,fr_bdf_conj_services_climate_t_minus_1,fr_bdf_gstix_comp_t_minus_1
2012,51,0,Alençon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298.0,30747.0,658397627.0,-0.0054282267792521,21413.394054704524,0,0,1,1,668,825,184,,,,,,0,0,89.825,90.01666666666667,90.96,-0.21511166666666667
2013,51,0,Alençon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3261.0,29984.0,654828502.0,-0.0112189205579138,21839.264340981856,0,0,1,1,668,755,184,825.0,,,-0.0848484848484848,,0,0,100.15833333333335,97.93333333333334,95.59500000000001,-0.90984
2014,51,0,Alençon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3189.0,29359.0,650732838.0,-0.0220791168353265,22164.679927790457,0,0,1,1,642,741,184,755.0,825.0,,-0.0185430463576159,-0.1018181818181818,0,0,90.99166666666667,93.85833333333333,92.60916666666667,-1.967465
2015,51,0,Alençon,,,,,,,,,,,,,,,,,,,,,,,6620.0,569.0,999.0,1971.0,99.0,292.0,477.0,771.0,814.0,628.0,,3109.0,28482.0,644456861.0,-0.0250862339291313,22626.812056737588,0,1,1,1,631,733,184,741.0,755.0,825.0,-0.0107962213225371,-0.0291390728476821,0,0,107.08333333333333,101.77499999999999,98.13333333333333,4.810215
2016,51,0,Alençon,,,,,,,,,,,,,,,,,,,,,,,6614.0,553.0,959.0,1973.0,105.0,304.0,457.0,772.0,870.0,621.0,-0.0009063444108761,3059.0,27959.0,640935601.0,-0.0160823415889354,22924.12464680425,0,1,1,1,690,777,184,733.0,741.0,755.0,0.0600272851296044,0.048582995951417,0,0,103.89166666666667,105.95833333333333,100.53333333333335,-1.8016266666666665
2017,51,0,Alençon,,,,,,,,,,,,,,,,,,,,,,,6648.0,560.0,977.0,1952.0,97.0,311.0,459.0,795.0,876.0,621.0,0.0051406108255216,2997.0,27823.0,647766715.0,-0.0202680614579927,23281.69913381016,0,1,1,1,666,742,184,777.0,733.0,741.0,-0.045045045045045,0.0122783083219646,0,0,109.06666666666666,108.60000000000001,103.06,0.7678016666666667
2018,51,0,Alençon,4166.0,501.0,45.0,117.0,0.0,12.0,10.0,118.0,440.0,756.0,93.0,252.0,39.0,155.0,51.0,363.0,818.0,396.0,42854.0,0.1212308035536286,0.1963514162265962,,6615.0,552.0,942.0,1925.0,103.0,323.0,461.0,811.0,887.0,611.0,-0.0049638989169674,2929.0,27568.0,660154398.0,-0.0226893560226894,23946.401552524665,1,1,1,1,745,834,184,742.0,777.0,733.0,0.1239892183288409,0.0733590733590734,0,0,94.47500000000001,94.47500000000001,93.48166666666667,-0.14577666666666667
2019,51,0,Alençon,4135.0,505.0,45.0,111.0,0.0,12.0,11.0,116.0,435.0,740.0,90.0,255.0,39.0,159.0,52.0,368.0,815.0,382.0,42122.0,0.1209553038400184,0.1970979443772672,-0.0074411905904945,6761.0,558.0,956.0,1925.0,101.0,327.0,464.0,842.0,932.0,656.0,0.0220710506424792,2877.0,27639.0,669241473.0,-0.0177534994878798,24213.66449582112,1,1,1,1,874,977,184,834.0,742.0,777.0,0.171462829736211,0.3167115902964958,0,0,97.90833333333335,99.55,96.01916666666666,0.3071808333333334
2020,51,0,Alençon,4303.0,567.0,48.0,112.0,0.0,11.0,11.0,111.0,445.0,751.0,82.0,277.0,43.0,167.0,57.0,396.0,838.0,387.0,43129.0,0.1207722006637679,0.1947478503369742,0.0406287787182588,7105.0,585.0,979.0,1981.0,107.0,372.0,455.0,929.0,999.0,698.0,0.0508800473302766,2861.0,27731.0,681577500.0,-0.005561348627042,24578.17965453824,1,1,1,1,907,1009,184,977.0,834.0,742.0,0.0327533265097237,0.2098321342925659,1,0,100.93333333333334,106.05,100.54666666666667,-3.6309883333333333
2021,51,0,Alençon,4284.0,558.0,47.0,108.0,0.0,13.0,9.0,112.0,456.0,770.0,78.0,272.0,41.0,161.0,57.0,390.0,833.0,379.0,43628.0,0.1220213575626329,0.1944444444444444,-0.0044155240529862,7265.0,602.0,973.0,2036.0,120.0,383.0,450.0,980.0,994.0,727.0,0.0225193525686135,2847.0,27561.0,652148204.0,-0.0048933939182104,23661.99354159864,1,1,1,1,1019,1149,184,1009.0,977.0,834.0,0.1387512388503469,0.1760491299897646,0,1,106.59166666666665,107.65833333333335,100.94,0.20732333333333333
