target_year,ZE2020,node_idx,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,is_covid_year,is_post_covid_rebound,flores_total_establishments_t_minus_1,flores_etab_az_t_minus_1,flores_etab_de_t_minus_1,flores_etab_c1_t_minus_1,flores_etab_c2_t_minus_1,flores_etab_c3_t_minus_1,flores_etab_c4_t_minus_1,flores_etab_c5_t_minus_1,flores_etab_fz_t_minus_1,flores_etab_gz_t_minus_1,flores_etab_hz_t_minus_1,flores_etab_iz_t_minus_1,flores_etab_jz_t_minus_1,flores_etab_kz_t_minus_1,flores_etab_lz_t_minus_1,flores_etab_mn_t_minus_1,flores_etab_oq_t_minus_1,flores_etab_ru_t_minus_1,flores_total_salaried_jobs_t_minus_1,flores_herfindahl_t_minus_1,flores_dominant_sector_weight_t_minus_1,flores_growth_etab_1y_t_minus_1,side_stock_total_t_minus_1,side_stock_be_t_minus_1,side_stock_fz_t_minus_1,side_stock_gi_t_minus_1,side_stock_jz_t_minus_1,side_stock_kz_t_minus_1,side_stock_lz_t_minus_1,side_stock_mn_t_minus_1,side_stock_oq_t_minus_1,side_stock_ru_t_minus_1,side_stock_growth_1y_t_minus_1,urssaf_employer_establishments_t_minus_1,urssaf_salaried_employees_t_minus_1,urssaf_payroll_t_minus_1,urssaf_employer_growth_1y_t_minus_1,urssaf_wage_per_employee_t_minus_1,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe
2012,0051,0,Alençon,668.0,825.0,184,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298.0,30747.0,658397627.0,-0.005428226779252143,21413.394054704524,0,0,1,1
2013,0051,0,Alençon,668.0,755.0,184,825.0,,,-0.08484848484848484,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3261.0,29984.0,654828502.0,-0.011218920557913847,21839.264340981856,0,0,1,1
2014,0051,0,Alençon,642.0,741.0,184,755.0,825.0,,-0.018543046357615944,-0.10181818181818181,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3189.0,29359.0,650732838.0,-0.022079116835326595,22164.679927790457,0,0,1,1
2015,0051,0,Alençon,631.0,733.0,184,741.0,755.0,825.0,-0.010796221322537103,-0.029139072847682135,0,0,,,,,,,,,,,,,,,,,,,,,,,6620.0,569.0,999.0,1971.0,99.0,292.0,477.0,771.0,814.0,628.0,,3109.0,28482.0,644456861.0,-0.02508623392913134,22626.812056737588,0,1,1,1
2016,0051,0,Alençon,690.0,777.0,184,733.0,741.0,755.0,0.060027285129604424,0.04858299595141702,0,0,,,,,,,,,,,,,,,,,,,,,,,6614.0,553.0,959.0,1973.0,105.0,304.0,457.0,772.0,870.0,621.0,-0.0009063444108761143,3059.0,27959.0,640935601.0,-0.0160823415889354,22924.12464680425,0,1,1,1
2017,0051,0,Alençon,666.0,742.0,184,777.0,733.0,741.0,-0.04504504504504503,0.012278308321964637,0,0,,,,,,,,,,,,,,,,,,,,,,,6648.0,560.0,977.0,1952.0,97.0,311.0,459.0,795.0,876.0,621.0,0.005140610825521641,2997.0,27823.0,647766715.0,-0.02026806145799276,23281.699133810158,0,1,1,1
2018,0051,0,Alençon,745.0,834.0,184,742.0,777.0,733.0,0.12398921832884091,0.07335907335907343,0,0,4166.0,501.0,45.0,117.0,0.0,12.0,10.0,118.0,440.0,756.0,93.0,252.0,39.0,155.0,51.0,363.0,818.0,396.0,42854.0,0.1212308035536286,0.19635141622659624,,6615.0,552.0,942.0,1925.0,103.0,323.0,461.0,811.0,887.0,611.0,-0.0049638989169674685,2929.0,27568.0,660154398.0,-0.0226893560226894,23946.401552524665,1,1,1,1
2019,0051,0,Alençon,874.0,977.0,184,834.0,742.0,777.0,0.17146282973621108,0.31671159029649587,0,0,4135.0,505.0,45.0,111.0,0.0,12.0,11.0,116.0,435.0,740.0,90.0,255.0,39.0,159.0,52.0,368.0,815.0,382.0,42122.0,0.12095530384001849,0.19709794437726724,-0.007441190590494529,6761.0,558.0,956.0,1925.0,101.0,327.0,464.0,842.0,932.0,656.0,0.022071050642479273,2877.0,27639.0,669241473.0,-0.017753499487879854,24213.66449582112,1,1,1,1
2020,0051,0,Alençon,907.0,1009.0,184,977.0,834.0,742.0,0.032753326509723735,0.20983213429256597,1,0,4303.0,567.0,48.0,112.0,0.0,11.0,11.0,111.0,445.0,751.0,82.0,277.0,43.0,167.0,57.0,396.0,838.0,387.0,43129.0,0.12077220066376793,0.1947478503369742,0.04062877871825887,7105.0,585.0,979.0,1981.0,107.0,372.0,455.0,929.0,999.0,698.0,0.05088004733027662,2861.0,27731.0,681577500.0,-0.005561348627042051,24578.179654538242,1,1,1,1
2021,0051,0,Alençon,1019.0,1149.0,184,1009.0,977.0,834.0,0.1387512388503469,0.17604912998976463,0,1,4284.0,558.0,47.0,108.0,0.0,13.0,9.0,112.0,456.0,770.0,78.0,272.0,41.0,161.0,57.0,390.0,833.0,379.0,43628.0,0.12202135756263291,0.19444444444444445,-0.004415524052986286,7265.0,602.0,973.0,2036.0,120.0,383.0,450.0,980.0,994.0,727.0,0.022519352568613593,2847.0,27561.0,652148204.0,-0.00489339391821042,23661.993541598637,1,1,1,1
