country,exclude_covid,eval_year_from,eval_year_to,n_appeared,n_disappeared,n_stable_edges,community_ami,modularity_from,modularity_to,modularity_delta
FR,False,2017,2018,725,739,176,0.06448838596187205,0.3836643881447538,0.3887526847047281,0.005088296559974337
FR,False,2018,2019,774,781,120,-0.0009411506388315453,0.3887526847047281,0.40037220336566093,0.011619518660932804
FR,False,2019,2020,799,777,117,0.03291068339159656,0.40037220336566093,0.4040915753055624,0.0037193719399014613
FR,False,2020,2021,777,787,129,0.023516366530657428,0.4040915753055624,0.3942454999418849,-0.009846075363677487
FR,False,2021,2022,798,787,119,0.031071266388833497,0.3942454999418849,0.40183446332312645,0.0075889633812415425
FR,False,2022,2023,822,785,132,0.04729852554035356,0.40183446332312645,0.3974782866528817,-0.004356176670244738
FR,False,2023,2024,835,792,162,0.041398456857182256,0.3974782866528817,0.39601094963392974,-0.0014673370189519641
FR,False,2024,2025,796,792,205,0.05825334062245305,0.39601094963392974,0.3767898143832338,-0.019221135250695964
FR,False,2025,2026,780,787,214,0.05679696945543441,0.3767898143832338,0.3909126257830577,0.014122811399823909
FR,True,2017,2018,725,739,176,0.06448838596187205,0.3836643881447538,0.3887526847047281,0.005088296559974337
FR,True,2018,2019,774,781,120,-0.0009411506388315453,0.3887526847047281,0.40037220336566093,0.011619518660932804
FR,True,2019,2020,799,777,117,0.03291068339159656,0.40037220336566093,0.4040915753055624,0.0037193719399014613
FR,True,2020,2021,729,758,158,0.06727864420948348,0.4040915753055624,0.3993449968210429,-0.004746578484519481
FR,True,2021,2022,833,817,70,0.01626187504982361,0.3993449968210429,0.41913447751762906,0.019789480696586148
FR,True,2022,2023,805,812,91,0.03982064227063119,0.41913447751762906,0.4119943831976117,-0.007140094320017332
FR,True,2023,2024,863,809,87,0.035662611705582714,0.4119943831976117,0.43001472761653253,0.01802034441892081
FR,True,2024,2025,824,815,135,0.061592855969739596,0.43001472761653253,0.39168805533405804,-0.038326672282474494
FR,True,2025,2026,699,664,295,0.062192790059250956,0.39168805533405804,0.3909126257830577,-0.0007754295510003506
NL,False,2012,2013,74,67,73,0.1455330982979141,0.3064988293654183,0.294567938271454,-0.01193089109396428
NL,False,2013,2014,73,76,71,0.008192729111784338,0.294567938271454,0.30199841056226434,0.0074304722908103416
NL,False,2014,2015,84,89,55,0.2822291354819017,0.30199841056226434,0.31066664816506273,0.00866823760279839
NL,False,2015,2016,83,91,48,0.1849273380230645,0.31066664816506273,0.3171395898046697,0.006472941639606988
NL,False,2016,2017,76,83,48,0.006979119339102867,0.3171395898046697,0.3734085718979055,0.056268982093235775
NL,False,2017,2018,72,69,55,0.19083915949188104,0.3734085718979055,0.31888825301710255,-0.05452031888080294
NL,False,2018,2019,85,76,51,0.0203364113177128,0.31888825301710255,0.2925852618974422,-0.026302991119660335
NL,False,2019,2020,86,90,46,-0.052050324668872223,0.2925852618974422,0.332947866574386,0.0403626046769438
NL,False,2020,2021,97,99,33,-0.04205677445363719,0.332947866574386,0.3178278409616941,-0.015120025612691934
NL,False,2021,2022,87,81,49,0.08414771626075443,0.3178278409616941,0.2905423009557593,-0.027285540005934805
NL,False,2022,2023,85,82,54,0.09657218792274545,0.2905423009557593,0.3106731672469516,0.020130866291192318
NL,False,2023,2024,94,87,52,0.12054421241269637,0.3106731672469516,0.2579800207706421,-0.052693146476309516
NL,False,2024,2025,96,91,55,0.03248700740790971,0.2579800207706421,0.27383646430942526,0.015856443538783183
NL,False,2025,2026,76,72,79,0.1077555390963571,0.27383646430942526,0.2634200585204615,-0.010416405788963745
NL,True,2012,2013,74,67,73,0.1455330982979141,0.3064988293654183,0.294567938271454,-0.01193089109396428
NL,True,2013,2014,73,76,71,0.008192729111784338,0.294567938271454,0.30199841056226434,0.0074304722908103416
NL,True,2014,2015,84,89,55,0.2822291354819017,0.30199841056226434,0.31066664816506273,0.00866823760279839
NL,True,2015,2016,83,91,48,0.1849273380230645,0.31066664816506273,0.3171395898046697,0.006472941639606988
NL,True,2016,2017,76,83,48,0.006979119339102867,0.3171395898046697,0.3734085718979055,0.056268982093235775
NL,True,2017,2018,72,69,55,0.19083915949188104,0.3734085718979055,0.31888825301710255,-0.05452031888080294
NL,True,2018,2019,85,76,51,0.0203364113177128,0.31888825301710255,0.2925852618974422,-0.026302991119660335
NL,True,2019,2020,86,90,46,-0.052050324668872223,0.2925852618974422,0.332947866574386,0.0403626046769438
NL,True,2020,2021,77,78,54,0.30318778447933786,0.332947866574386,0.28190912803315754,-0.05103873854122848
NL,True,2021,2022,91,96,35,0.2250057721166608,0.28190912803315754,0.32572724817806575,0.04381812014490821
