country,sector,scenario_included,top_k,m1_obs_mean_included,m1_obs_median_included,m1_obs_min_included,m1_n_pairs_included,m2_obs_mean_included,m2_n_pairs_included,m1_null_n1_mean_included,m1_null_n2_mean_included,m2_null_n1_mean_included,m2_null_n2_mean_included,p_m1_n1_included,p_m1_n2_included,p_m2_n1_included,p_m2_n2_included,q_m1_n1_included,q_m1_n2_included,q_m2_n1_included,q_m2_n2_included,sector_signal_pass_included,sector_stability_pass_included,scenario_excluded,m1_obs_mean_excluded,m1_obs_median_excluded,m1_obs_min_excluded,m1_n_pairs_excluded,m2_obs_mean_excluded,m2_n_pairs_excluded,m1_null_n1_mean_excluded,m1_null_n2_mean_excluded,m2_null_n1_mean_excluded,m2_null_n2_mean_excluded,p_m1_n1_excluded,p_m1_n2_excluded,p_m2_n1_excluded,p_m2_n2_excluded,q_m1_n1_excluded,q_m1_n2_excluded,q_m2_n1_excluded,q_m2_n2_excluded,sector_signal_pass_excluded,sector_stability_pass_excluded,m1_obs_mean_delta_excluded_minus_included,m1_obs_mean_relative_delta,m2_obs_mean_delta_excluded_minus_included,m2_obs_mean_relative_delta,decision_changed,covid_classification
FR,BE,include_observation_2020,5,0.2056881918108183,0.1902210314802411,0.1810865191146881,9,0.0692578386565246,45,0.1894615620119332,0.1940622502107447,0.0617582604480769,0.0633398594995457,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1885097659680004,0.1810865191146881,0.1038286826735885,9,0.0619117523028439,45,0.171349697949363,0.1792736181295092,0.0553125026029535,0.0572654423750499,0.005,0.02,0.005,0.005,0.005,0.02,0.005,0.005,True,False,-0.017178425842817896,-0.08351683045868648,-0.0073460863536806975,-0.1060686630738316,False,COVID_ROBUST
FR,FZ,include_observation_2020,5,0.2060573269299661,0.1983695652173913,0.1741160773849233,9,0.0684919741048977,45,0.1886762686528351,0.1866536684250216,0.0614493168218598,0.0614852340611099,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1879677013846679,0.1888440860215053,0.1042071197411003,9,0.0618380759922209,45,0.1705404967353559,0.170508549224875,0.0550860102662394,0.0551577269115176,0.005,0.005,0.005,0.005,0.005,0.01125,0.005,0.005,True,False,-0.018089625545298194,-0.08778928570419833,-0.006653898112676797,-0.09714858127006434,False,COVID_ROBUST
FR,GI,include_observation_2020,5,0.2009757047241527,0.1887052341597796,0.1790423317140874,9,0.0664188665179573,45,0.1886149321827998,0.18561776117543,0.0614972242453494,0.0613437877580449,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1811376586752756,0.1869476546566961,0.1043921069382558,9,0.0588396017891108,45,0.1700757253575802,0.1699609373392906,0.0549914222022979,0.0551800486573295,0.005,0.01,0.005,0.005,0.005,0.0128571428571428,0.005,0.005,True,False,-0.019838046048877095,-0.09870867762899808,-0.007579264728846492,-0.11411312969030162,False,COVID_ROBUST
FR,JZ,include_observation_2020,5,0.2141742294686355,0.2118702553485162,0.1963685272360457,9,0.072254165412742,45,0.1903160194034733,0.1939446865409856,0.0621807939624905,0.0639894469440651,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1854285427605899,0.2118702553485162,0.1109350237717908,9,0.0614833525176168,45,0.1655471185930688,0.1704521230652177,0.053296433168743,0.0550780173686521,0.005,0.005,0.005,0.005,0.005,0.01125,0.005,0.005,True,False,-0.028745686708045615,-0.13421636571012033,-0.0107708128951252,-0.14906840088178183,False,COVID_ROBUST
FR,KZ,include_observation_2020,5,0.2163859133977096,0.2152070604209097,0.1772486772486772,9,0.0728927147707638,45,0.1902341748221633,0.193329156048489,0.0621495705453388,0.0637498452478601,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1881762424432755,0.1772486772486772,0.1077222582738481,9,0.0628089184357042,45,0.1719117798115235,0.1774466364159806,0.0555784906347526,0.0574245592345307,0.005,0.01,0.005,0.005,0.005,0.0128571428571428,0.005,0.005,True,False,-0.028209670954434107,-0.13036740937283536,-0.010083796335059597,-0.13833750556240856,False,COVID_ROBUST
FR,LZ,include_observation_2020,5,0.211569667912214,0.2126358695652173,0.1685393258426966,9,0.0703944015932482,45,0.1889422440202154,0.191618903667738,0.0615654257360736,0.063192529099334,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1947743442129096,0.2241261137765592,0.102498398462524,9,0.0644417513115876,45,0.1707503586072542,0.1754101958407258,0.0551468445904183,0.05692710083824,0.005,0.005,0.005,0.005,0.005,0.01125,0.005,0.005,True,False,-0.016795323699304393,-0.07938436480541827,-0.005952650281660601,-0.08456141606339819,False,COVID_ROBUST
FR,MN,include_observation_2020,5,0.2099181148996174,0.2087611225188227,0.1771241830065359,9,0.0730256158094704,45,0.189077277682849,0.1911325472412169,0.0615208058744968,0.0629962628487017,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1840826109945842,0.2087611225188227,0.1005221932114882,9,0.0606910251331544,45,0.1703489328936591,0.1736938337760955,0.0549854683416001,0.0563008672176552,0.005,0.015,0.005,0.005,0.005,0.016875,0.005,0.005,True,False,-0.025835503905033197,-0.12307419927712149,-0.012334590676315996,-0.1689077255917693,False,COVID_ROBUST
FR,OQ,include_observation_2020,5,0.2085412900712402,0.206081081081081,0.1638095238095238,9,0.0705530726923579,45,0.1887799736377762,0.1890479630452124,0.0615674234594879,0.0617978986493984,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.1873756907673693,0.1775827143821742,0.0876095118898623,9,0.0625203785470583,45,0.1703622976459719,0.1717275182898743,0.0550112350857603,0.0555091967150661,0.005,0.005,0.005,0.005,0.005,0.01125,0.005,0.005,True,False,-0.021165599303870908,-0.10149356655768499,-0.008032694145299599,-0.11385321487450505,False,COVID_ROBUST
FR,RU,include_observation_2020,5,0.2142129484012841,0.2224462365591397,0.1738305941845765,9,0.0729719188520174,45,0.1895453234423417,0.1868746533375296,0.0617618493369535,0.0615768122492533,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False,exclude_observation_2020,0.184609549376641,0.178172255095332,0.0936914428482198,9,0.0605865584323927,45,0.1713425445451387,0.1732455608356242,0.0553588464794503,0.056135108815004,0.005,0.01,0.005,0.005,0.005,0.0128571428571428,0.005,0.005,True,False,-0.029603399024643096,-0.13819612327629788,-0.012385360419624701,-0.16972776123294026,False,COVID_ROBUST
NL,BE,include_observation_2020,5,0.4121466233306249,0.3932077139159802,0.3413461538461538,14,0.1679293437291845,105,0.3953190458249097,0.3849572601924108,0.1560328568995971,0.1590818571208981,0.125,0.01,0.03,0.06,0.1735714285714285,0.03,0.0385714285714285,0.0771428571428571,False,False,exclude_observation_2020,0.4262086728260508,0.4377289377289377,0.2475728155339805,14,0.1682897314697662,105,0.3888819511123887,0.3776300752502654,0.1532223370628046,0.1550587077224529,0.01,0.005,0.015,0.03,0.03,0.015,0.03,0.054,True,False,0.014062049495425888,0.03411904574587593,0.00036038774058169687,0.0021460677007282616,True,COVID_SENSITIVE
