country,sector,scenario,top_k,m1_obs_mean,m1_obs_median,m1_obs_min,m1_n_pairs,m2_obs_mean,m2_n_pairs,m1_null_n1_mean,m1_null_n2_mean,m2_null_n1_mean,m2_null_n2_mean,p_m1_n1,p_m1_n2,p_m2_n1,p_m2_n2,q_m1_n1,q_m1_n2,q_m2_n1,q_m2_n2,sector_signal_pass,sector_stability_pass
FR,BE,include_observation_2020,5,0.20568819181081835,0.19022103148024114,0.18108651911468812,9,0.06925783865652461,45,0.1894615620119332,0.19406225021074475,0.06175826044807696,0.0633398594995457,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,FZ,include_observation_2020,5,0.20605732692996617,0.1983695652173913,0.1741160773849233,9,0.06849197410489778,45,0.18867626865283516,0.18665366842502162,0.06144931682185985,0.061485234061109964,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,GI,include_observation_2020,5,0.2009757047241527,0.1887052341597796,0.17904233171408743,9,0.06641886651795735,45,0.18861493218279982,0.18561776117543008,0.06149722424534949,0.06134378775804493,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,JZ,include_observation_2020,5,0.21417422946863554,0.21187025534851622,0.19636852723604573,9,0.07225416541274202,45,0.1903160194034733,0.1939446865409856,0.06218079396249056,0.06398944694406515,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,KZ,include_observation_2020,5,0.2163859133977096,0.2152070604209097,0.17724867724867724,9,0.07289271477076387,45,0.19023417482216337,0.19332915604848902,0.062149570545338824,0.06374984524786016,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,LZ,include_observation_2020,5,0.211569667912214,0.21263586956521738,0.16853932584269662,9,0.0703944015932482,45,0.18894224402021548,0.19161890366773804,0.06156542573607364,0.06319252909933402,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,MN,include_observation_2020,5,0.20991811489961743,0.20876112251882273,0.17712418300653596,9,0.07302561580947044,45,0.18907727768284904,0.19113254724121698,0.06152080587449683,0.06299626284870179,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,OQ,include_observation_2020,5,0.20854129007124023,0.20608108108108109,0.16380952380952382,9,0.07055307269235793,45,0.18877997363777627,0.18904796304521249,0.061567423459487985,0.06179789864939842,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
FR,RU,include_observation_2020,5,0.21421294840128413,0.22244623655913978,0.1738305941845765,9,0.07297191885201747,45,0.1895453234423417,0.1868746533375296,0.061761849336953514,0.061576812249253356,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,True,False
NL,BE,include_observation_2020,5,0.41214662333062496,0.3932077139159802,0.34134615384615385,14,0.16792934372918453,105,0.3953190458249097,0.3849572601924108,0.15603285689959712,0.15908185712089812,0.125,0.01,0.03,0.06,0.17357142857142857,0.03,0.038571428571428576,0.07714285714285715,False,False
NL,FZ,include_observation_2020,5,0.41061413593074203,0.4027861822200005,0.3284313725490196,14,0.17592955428726462,105,0.39361750308357935,0.3757192222494343,0.15602761893355663,0.16018874957808785,0.075,0.005,0.005,0.01,0.17357142857142857,0.03,0.0225,0.03375,True,False
NL,GI,include_observation_2020,5,0.40740961637132334,0.41726009727783303,0.22510822510822512,14,0.1718292717080506,105,0.39587781645725817,0.37825824149319526,0.15617322745420756,0.1606056871109582,0.135,0.01,0.02,0.015,0.17357142857142857,0.03,0.03,0.03375,True,False
