country,sector,scenario,top_k,m1_obs_mean,m2_obs_mean
FR,BE,include_observation_2020,3,0.16769998397261587,0.053535685737656435
FR,FZ,include_observation_2020,3,0.16444717377444829,0.050978359418515966
FR,GI,include_observation_2020,3,0.16210721942148457,0.049744867756893484
FR,JZ,include_observation_2020,3,0.17465253610709328,0.05511257821928964
FR,KZ,include_observation_2020,3,0.17723721049055433,0.055930948602496734
FR,LZ,include_observation_2020,3,0.17622758225777746,0.05408516144396318
FR,MN,include_observation_2020,3,0.17568277860626613,0.05700205874710204
FR,OQ,include_observation_2020,3,0.17128099599651467,0.05668182858681915
FR,RU,include_observation_2020,3,0.17532966666483418,0.056206071085777874
FR,BE,include_observation_2020,5,0.20568819181081835,0.06925783865652461
FR,FZ,include_observation_2020,5,0.20605732692996617,0.06849197410489778
FR,GI,include_observation_2020,5,0.2009757047241527,0.06641886651795735
FR,JZ,include_observation_2020,5,0.21417422946863554,0.07225416541274202
FR,KZ,include_observation_2020,5,0.2163859133977096,0.07289271477076387
FR,LZ,include_observation_2020,5,0.211569667912214,0.0703944015932482
FR,MN,include_observation_2020,5,0.20991811489961743,0.07302561580947044
FR,OQ,include_observation_2020,5,0.20854129007124023,0.07055307269235793
FR,RU,include_observation_2020,5,0.21421294840128413,0.07297191885201747
FR,BE,include_observation_2020,10,0.27014902947888736,0.09948975134863272
FR,FZ,include_observation_2020,10,0.26905067569498736,0.10092133266814006
FR,GI,include_observation_2020,10,0.26265344477644825,0.09732561157792456
FR,JZ,include_observation_2020,10,0.27521732456066833,0.10312468337790723
FR,KZ,include_observation_2020,10,0.28103367891832653,0.10579616758362774
FR,LZ,include_observation_2020,10,0.26755271050142226,0.09910476764692154
FR,MN,include_observation_2020,10,0.27375362507532963,0.10441703803815876
FR,OQ,include_observation_2020,10,0.27392894088495234,0.10162014125816338
FR,RU,include_observation_2020,10,0.27393760156021196,0.10313007830384376
NL,BE,include_observation_2020,3,0.33288755987895924,0.1164414248775807
NL,FZ,include_observation_2020,3,0.3214190962492358,0.11881958946420408
NL,GI,include_observation_2020,3,0.32922374104985414,0.12195125904348761
NL,JZ,include_observation_2020,3,0.3305033542691976,0.11705924278289932
NL,KZ,include_observation_2020,3,0.3363840006207253,0.12150154192955308
NL,LZ,include_observation_2020,3,0.3287543328416233,0.10624734133214896
NL,MN,include_observation_2020,3,0.3406139920828341,0.12193016750098552
NL,OQ,include_observation_2020,3,0.34861270770304476,0.18605749458836443
NL,RU,include_observation_2020,3,0.3287818022736483,0.11855905106520216
NL,BE,include_observation_2020,5,0.41214662333062496,0.16792934372918453
NL,FZ,include_observation_2020,5,0.41061413593074203,0.17592955428726462
NL,GI,include_observation_2020,5,0.40740961637132334,0.1718292717080506
NL,JZ,include_observation_2020,5,0.4100817348294469,0.1705765985066066
NL,KZ,include_observation_2020,5,0.4106369259141506,0.17039551191822783
NL,LZ,include_observation_2020,5,0.4127039828123949,0.15141531431600247
NL,MN,include_observation_2020,5,0.409973680595593,0.1753933392770398
NL,OQ,include_observation_2020,5,0.42687190549468906,0.2529299574071358
NL,RU,include_observation_2020,5,0.4001572653495545,0.17054349490897444
NL,BE,include_observation_2020,10,0.5621284976195178,0.2855325873274803
NL,FZ,include_observation_2020,10,0.5482335033594887,0.30297131558727514
NL,GI,include_observation_2020,10,0.5452918336602015,0.2981874714574433
NL,JZ,include_observation_2020,10,0.5626316227600026,0.29654559891356147
NL,KZ,include_observation_2020,10,0.5545394693616968,0.2876135942717635
NL,LZ,include_observation_2020,10,0.5430293532373678,0.26086884666555665
NL,MN,include_observation_2020,10,0.5501996969031554,0.29753941525881433
NL,OQ,include_observation_2020,10,0.5711005296991575,0.39269146178505787
NL,RU,include_observation_2020,10,0.5348354529844841,0.28582768217664245
PT,BE,include_observation_2020,3,0.3756670251824275,0.17940999742779407
PT,FZ,include_observation_2020,3,0.4070481915473462,0.18988324750875604
PT,GI,include_observation_2020,3,0.3773325519199436,0.18992642610918878
PT,JZ,include_observation_2020,3,0.45397855884179794,0.2068786042570114
PT,LZ,include_observation_2020,3,0.40233273533257785,0.18809281764220348
PT,MN,include_observation_2020,3,0.4159219889350216,0.18344259171504293
PT,OQ,include_observation_2020,3,0.40941581578543196,0.1795075828058647
PT,RU,include_observation_2020,3,0.39559034460882253,0.18239800039065965
PT,BE,include_observation_2020,5,0.5153290470212711,0.26096726592557085
PT,FZ,include_observation_2020,5,0.4918295683634639,0.2665283370887606
PT,GI,include_observation_2020,5,0.4636854189421192,0.2671827015038576
PT,JZ,include_observation_2020,5,0.526015554597577,0.2777306937284371
PT,LZ,include_observation_2020,5,0.4837821419410823,0.26228321805462
PT,MN,include_observation_2020,5,0.4880739807045407,0.25956200471712004
PT,OQ,include_observation_2020,5,0.4953760658982958,0.24885790741838823
PT,RU,include_observation_2020,5,0.4800284638685326,0.255344786982478
PT,BE,include_observation_2020,10,0.6522962439638731,0.4407546308898452
PT,FZ,include_observation_2020,10,0.6713850523323858,0.4673732693457494
PT,GI,include_observation_2020,10,0.652970258674033,0.4540911482365171
PT,JZ,include_observation_2020,10,0.6861251061312986,0.44585790325261004
PT,LZ,include_observation_2020,10,0.6562015073426272,0.4395402897340134
PT,MN,include_observation_2020,10,0.649587410916511,0.4560557004271442
PT,OQ,include_observation_2020,10,0.6599967186917303,0.44289431390495965
PT,RU,include_observation_2020,10,0.6647169315174709,0.46333587751630223
