country,sector,eval_year,observation_year_last,period,top_k,n_regions,n_possible_pairs,n_edges_valid,density,mean_weight,median_weight,std_weight,p10_weight,p25_weight,p75_weight,p90_weight,frac_positive,frac_negative,frac_near_zero,mean_abs_weight,turnover,jaccard_consecutive,pair_resample_mean_weight_p025,pair_resample_mean_weight_p975,pair_resample_density_p025,pair_resample_density_p975,pair_resample_n,pair_resample_frac,pair_resample_seed,mean_weight_abs_change,mean_weight_rel_change,median_weight_abs_change,median_weight_rel_change,density_abs_change,density_rel_change,mean_abs_weight_abs_change,mean_abs_weight_rel_change
FR,BE,2017,2016,pre-2020,5,280,39060,869,0.022247823860727087,0.976739950758895,0.9829486578232146,0.022438860817863508,0.9479560939910432,0.9696378979581524,0.9920500470666416,0.9970662963828226,1.0,0.0,0.0,0.976739950758895,,,0.975286384754214,0.9783540941877696,0.020832533282130056,0.023745519713261647,200,0.8,42,,,,,,,,
FR,BE,2018,2017,pre-2020,5,280,39060,892,0.022836661546338965,0.9365644292923168,0.9465631112200485,0.04564315118607637,0.8735991323231643,0.9121824981121817,0.9716923737153087,0.9841158014184457,1.0,0.0,0.0,0.9365644292923168,0.7164723032069971,0.28352769679300294,0.9330537168122774,0.9393188586841201,0.021280561955965182,0.02429195468509985,200,0.8,42,-0.04017552146657821,-0.041132259856232097,-0.036385546603166063,-0.037016731559249026,0.0005888376856118781,0.026467203682393508,-0.04017552146657821,-0.041132259856232097
FR,BE,2019,2018,pre-2020,5,280,39060,884,0.022631848438300052,0.9375073473794389,0.9453156297849719,0.04374249132551571,0.879359111619183,0.9193788087784118,0.9682176228485758,0.9830780193670539,1.0,0.0,0.0,0.9375073473794389,0.7760165403170227,0.22398345968297725,0.9344048662368898,0.9405746338677515,0.020897337429595493,0.024067140296979005,200,0.8,42,0.0009429180871221021,0.0010067840050626163,-0.0012474814350766916,-0.0013179062444856763,-0.00020481310803891276,-0.008968609865470776,0.0009429180871221021,0.0010067840050626163
FR,BE,2020,2019,pre-2020,5,280,39060,877,0.022452636968766,0.9520030279198363,0.9654106725134618,0.04453737090819838,0.8962389138503148,0.9390765266338909,0.9811979379534616,0.9906229951188362,1.0,0.0,0.0,0.9520030279198363,0.8189134808853119,0.18108651911468812,0.948376802074412,0.9550541125264113,0.020800531233998977,0.02409834229390681,200,0.8,42,0.014495680540397404,0.015461938064716355,0.020095042728489942,0.0212574954812298,-0.00017921146953405256,-0.0079185520361992,0.014495680540397404,0.015461938064716355
FR,BE,2021,2020,2020,5,280,39060,884,0.022631848438300052,0.9444850483091125,0.9587363960317268,0.048095548336941,0.8801855363413637,0.9243463621558885,0.978582873947431,0.9890771456067686,1.0,0.0,0.0,0.9444850483091125,0.7921810699588477,0.20781893004115226,0.9409472428082978,0.9481694655308924,0.020958941372247825,0.024035138248847926,200,0.8,42,-0.007517979610723757,-0.007897012289079412,-0.00667427648173502,-0.006913406565475847,0.00017921146953405256,0.007981755986317096,-0.007517979610723757,-0.007897012289079412
FR,BE,2022,2021,post-2020,5,280,39060,893,0.02286226318484383,0.948232549645197,0.9632321622308966,0.046791653644624794,0.8880298938154417,0.9309968025177008,0.9803561415159584,0.9885834872752783,1.0,0.0,0.0,0.948232549645197,0.8097789685197588,0.19022103148024114,0.9451462029631924,0.9515877976751868,0.02163338453661034,0.02461117511520737,200,0.8,42,0.00374750133608448,0.003967772007395497,0.004495766199169804,0.0046892620513606,0.00023041474654377642,0.010180995475113017,0.00374750133608448,0.003967772007395497
FR,BE,2023,2022,post-2020,5,280,39060,896,0.022939068100358423,0.9395064726602481,0.9597785976789672,0.0571080269141113,0.8589129844911187,0.9217615992158277,0.9789002086291658,0.9884537694038803,1.0,0.0,0.0,0.9395064726602481,0.8152317880794702,0.1847682119205298,0.9350424359967345,0.9435953844160264,0.021470174091141832,0.024674379160266255,200,0.8,42,-0.008726076984948872,-0.009202465142347132,-0.0034535645519293556,-0.0035853916504726313,7.680491551459445e-05,0.0033594624860023062,-0.008726076984948872,-0.009202465142347132
FR,BE,2024,2023,post-2020,5,280,39060,892,0.022836661546338965,0.9403674953696903,0.9636744440341508,0.05961382782052393,0.8663231097002978,0.9227251692823599,0.979511542390369,0.9901321824520091,1.0,0.0,0.0,0.9403674953696903,0.795959595959596,0.20404040404040405,0.935989623094735,0.9443323488362263,0.0209597414234511,0.024514368919610854,200,0.8,42,0.0008610227094422163,0.0009164627754018531,0.0038958463551835854,0.004059109428575415,-0.00010240655401945811,-0.004464285714285752,0.0008610227094422163,0.0009164627754018531
FR,BE,2025,2024,post-2020,5,280,39060,904,0.02314388120839734,0.9370767383554245,0.9545205216254562,0.055101512141335705,0.8617536891548638,0.9197715939299445,0.9748611169516632,0.9866342367459359,1.0,0.0,0.0,0.9370767383554245,0.8113831899404368,0.1886168100595632,0.9331051312981823,0.9405965119671172,0.0213773681515617,0.024643977214541733,200,0.8,42,-0.0032907570142658438,-0.0034994372205221064,-0.009153922408694615,-0.009498978068126726,0.00030721966205837434,0.013452914798206393,-0.0032907570142658438,-0.0034994372205221064
FR,BE,2026,2025,post-2020,5,280,39060,904,0.02314388120839734,0.9424143473841405,0.9634531338650131,0.06392356620783851,0.8704245613568594,0.9307511332446695,0.9799025966188666,0.9886555813677681,1.0,0.0,0.0,0.9424143473841405,0.8128693368351937,0.1871306631648063,0.9372567474484399,0.9468315863595133,0.02131336405529954,0.024642377112135176,200,0.8,42,0.0053376090287160505,0.005696021265113877,0.00893261223955688,0.00935821916572889,0.0,0.0,0.0053376090287160505,0.005696021265113877
FR,FZ,2017,2016,pre-2020,5,280,39060,862,0.022068612391193038,0.976748375738546,0.9870424048701304,0.027857418030419405,0.9390921709725363,0.9706318766173845,0.9944200069177299,0.9978898451356787,1.0,0.0,0.0,0.976748375738546,,,0.9749087691421899,0.9786571827699014,0.020415706605222735,0.023842325908858167,200,0.8,42,,,,,,,,
