comparison,density_diff,density_rel_effect,mean_weight_diff,mean_weight_rel_effect,median_weight_diff,median_weight_rel_effect,std_weight_diff,std_weight_rel_effect,mean_abs_weight_diff,mean_abs_weight_rel_effect,frac_positive_diff,frac_positive_rel_effect,frac_negative_diff,frac_negative_rel_effect,pre_n_years,post_n_years,country,sector,top_k
post_minus_pre,0.00044290834613415486,0.019647927314026224,-0.009184168154681482,-0.009660389732904591,0.0008722540514725097,0.000908541642750563,0.017417248786273355,0.4455625483179085,-0.009184168154681482,-0.009660389732904591,0.0,0.0,0.0,,4,5,FR,BE,5
2020_minus_pre,8.960573476702802e-05,0.003975014196479404,-0.006218640528509178,-0.006541092247272546,-0.0013231218036974246,-0.0013781664356399177,0.009005079777527507,0.2303651020156157,-0.006218640528509178,-0.006541092247272546,0.0,0.0,0.0,,4,1,FR,BE,5
post_minus_pre,-0.00013184843830004941,-0.005827439886845749,-0.013159019837300279,-0.013788323035463873,-0.012227117355352646,-0.01262578322510763,0.005516132028031237,0.12310279299197942,-0.013159019837300279,-0.013788323035463873,0.0,0.0,0.0,,4,5,FR,FZ,5
2020_minus_pre,0.0005184331797235056,0.02291371994342306,-0.016269987545848075,-0.01704806640911276,-0.014716417126262038,-0.015196246759266261,0.011333918959773544,0.2529375787966495,-0.016269987545848075,-0.01704806640911276,0.0,0.0,0.0,,4,1,FR,FZ,5
post_minus_pre,0.0009741423451100906,0.04400115640358501,0.004119962878926353,0.004336477050141056,0.009806757734127647,0.010212433633332253,0.016179023029048688,0.39973977391639565,0.004119962878926353,0.004336477050141056,0.0,0.0,0.0,,4,5,FR,GI,5
2020_minus_pre,-0.0003008192524321558,-0.013587742122000585,-0.020441408965109598,-0.021515655226691174,-0.02913189706279462,-0.030336995511934244,-0.0020995027744796085,-0.05187301871692011,-0.020441408965109598,-0.021515655226691174,0.0,0.0,0.0,,4,1,FR,GI,5
post_minus_pre,0.0003648233486943167,0.016290368676764803,-0.00872513858519075,-0.009188442272221592,-0.008189855932706824,-0.008517165950217292,0.004717417611455388,0.10871700905836268,-0.00872513858519075,-0.009188442272221592,0.0,0.0,0.0,,4,5,FR,JZ,5
2020_minus_pre,8.320532514081297e-05,0.0037153472420693398,-0.009571166051568825,-0.010079393683437358,-0.01102906114362645,-0.01146984083812973,0.003983662966020221,0.09180699239147275,-0.009571166051568825,-0.010079393683437358,0.0,0.0,0.0,,4,1,FR,JZ,5
post_minus_pre,0.0002483358934971848,0.010979060554612381,-0.0009569804196941645,-0.0010134064064671157,0.006302587702245788,0.006618118231781538,0.014753228407906466,0.40174368258993837,-0.0009569804196941645,-0.0010134064064671157,0.0,0.0,0.0,,4,5,FR,KZ,5
2020_minus_pre,-3.8402457757297226e-05,-0.0016977928692699827,-0.009511316237102219,-0.010072127506740946,-0.010950868792424462,-0.011499109228288446,0.007145530179200811,0.1945792154015078,-0.009511316237102219,-0.010072127506740946,0.0,0.0,0.0,,4,1,FR,KZ,5
