period,n_years,density_mean,density_min,density_max,mean_weight_mean,mean_weight_min,mean_weight_max,median_weight_mean,median_weight_min,median_weight_max,std_weight_mean,std_weight_min,std_weight_max,mean_abs_weight_mean,mean_abs_weight_min,mean_abs_weight_max,frac_positive_mean,frac_positive_min,frac_positive_max,frac_negative_mean,frac_negative_min,frac_negative_max,frac_near_zero_mean,frac_near_zero_min,frac_near_zero_max,n_edges_valid_mean,n_edges_valid_min,n_edges_valid_max,country,sector,top_k
pre-2020,4,0.022542242703533024,0.022247823860727087,0.022836661546338965,0.9507036888376217,0.9365644292923168,0.976739950758895,0.9600595178354242,0.9453156297849719,0.9829486578232146,0.03909046855941349,0.022438860817863508,0.04564315118607637,0.9507036888376217,0.9365644292923168,0.976739950758895,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,880.5,869.0,892.0,FR,BE,5
2020,1,0.022631848438300052,0.022631848438300052,0.022631848438300052,0.9444850483091125,0.9444850483091125,0.9444850483091125,0.9587363960317268,0.9587363960317268,0.9587363960317268,0.048095548336941,0.048095548336941,0.048095548336941,0.9444850483091125,0.9444850483091125,0.9444850483091125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,884.0,884.0,FR,BE,5
post-2020,5,0.02298515104966718,0.022836661546338965,0.02314388120839734,0.9415195206829402,0.9370767383554245,0.948232549645197,0.9609317718868967,0.9545205216254562,0.9636744440341508,0.056507717345686846,0.046791653644624794,0.06392356620783851,0.9415195206829402,0.9370767383554245,0.948232549645197,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,897.8,892.0,904.0,FR,BE,5
pre-2020,4,0.022625448028673834,0.022068612391193038,0.02314388120839734,0.9543597001212538,0.9391990082862489,0.976748375738546,0.9684244642374187,0.956604579348598,0.9870424048701304,0.04480915415453354,0.027857418030419405,0.0543106009906963,0.9543597001212538,0.9391990082862489,0.976748375738546,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,883.75,862.0,904.0,FR,FZ,5
2020,1,0.02314388120839734,0.02314388120839734,0.02314388120839734,0.9380897125754057,0.9380897125754057,0.9380897125754057,0.9537080471111566,0.9537080471111566,0.9537080471111566,0.056143073114307086,0.056143073114307086,0.056143073114307086,0.9380897125754057,0.9380897125754057,0.9380897125754057,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,904.0,904.0,FR,FZ,5
post-2020,5,0.022493599590373784,0.022401433691756272,0.022657450076804916,0.9412006802839535,0.9372036144716698,0.9469445840828478,0.956197346882066,0.9521453458537558,0.9609628678020089,0.05032528618256478,0.04566802337352477,0.05421745331288222,0.9412006802839535,0.9372036144716698,0.9469445840828478,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,878.6,875.0,885.0,FR,FZ,5
pre-2020,4,0.022139016897081414,0.021812596006144394,0.022555043522785458,0.9500714131053316,0.9369281967679567,0.9765338470665642,0.9602762755901272,0.9491373631903661,0.9852960687242409,0.04047388847633781,0.026355916477106167,0.049895229261067556,0.9500714131053316,0.9369281967679567,0.9765338470665642,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,864.75,852.0,881.0,FR,GI,5
2020,1,0.021838197644649258,0.021838197644649258,0.021838197644649258,0.929630004140222,0.929630004140222,0.929630004140222,0.9311443785273326,0.9311443785273326,0.9311443785273326,0.0383743857018582,0.0383743857018582,0.0383743857018582,0.929630004140222,0.929630004140222,0.929630004140222,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,853.0,853.0,FR,GI,5
post-2020,5,0.023113159242191504,0.02165898617511521,0.023783922171018945,0.954191375984258,0.9301371564397479,0.9637311332493516,0.9700830333242548,0.9331399170449782,0.9814296042799212,0.0566529115053865,0.03929368057811949,0.07300058993340115,0.954191375984258,0.9301371564397479,0.9637311332493516,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,902.8,846.0,929.0,FR,GI,5
pre-2020,4,0.022395033282130054,0.022017409114183307,0.02260624679979519,0.9495775591438935,0.9391747324313234,0.9761967688619286,0.9615705482993299,0.9527817833504516,0.9852348117535537,0.043391716276180214,0.025704678010438926,0.0504348815711311,0.9495775591438935,0.9391747324313234,0.9761967688619286,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,874.75,860.0,883.0,FR,JZ,5
2020,1,0.022478238607270867,0.022478238607270867,0.022478238607270867,0.9400063930923247,0.9400063930923247,0.9400063930923247,0.9505414871557034,0.9505414871557034,0.9505414871557034,0.047375379242200436,0.047375379242200436,0.047375379242200436,0.9400063930923247,0.9400063930923247,0.9400063930923247,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0,878.0,878.0,FR,JZ,5
post-2020,5,0.02275985663082437,0.022555043522785458,0.02299027137736815,0.9408524205587028,0.9387476514131304,0.9432662934466812,0.953380692366623,0.9490643949662954,0.9576946821628399,0.0481091338876356,0.046801891480648596,0.049391167475639,0.9408524205587028,0.9387476514131304,0.9432662934466812,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,881.0,898.0,FR,JZ,5
pre-2020,4,0.02261904761904762,0.022247823860727087,0.02299027137736815,0.9443204755635396,0.9325801807624484,0.9748046077887441,0.9523232256534027,0.940873359487945,0.9806809173238169,0.03672298793299297,0.021615531897799963,0.04208955937413915,0.9443204755635396,0.9325801807624484,0.9748046077887441,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,883.5,869.0,898.0,FR,KZ,5
2020,1,0.02258064516129032,0.02258064516129032,0.02258064516129032,0.9348091593264374,0.9348091593264374,0.9348091593264374,0.9413723568609782,0.9413723568609782,0.9413723568609782,0.043868518112193784,0.043868518112193784,0.043868518112193784,0.9348091593264374,0.9348091593264374,0.9348091593264374,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,882.0,882.0,FR,KZ,5
