country,sector,top_k,m1_obs_mean,m1_obs_median,m1_obs_min,m1_n_pairs,m2_obs_mean,m2_n_pairs,m1_null_n1_mean,m1_null_n2_mean,m2_null_n1_mean,m2_null_n2_mean,p_m1_n1,p_m1_n2,p_m2_n1,p_m2_n2,sector_signal_pass,sector_stability_pass
FR,BE,5,0.18850976596800045,0.18108651911468812,0.10382868267358858,9,0.06191175230284397,45,0.17134969794936308,0.17927361812950926,0.05531250260295358,0.05726544237504995,0.005,0.02,0.005,0.005,True,False
FR,FZ,5,0.18796770138466795,0.18884408602150538,0.10420711974110032,9,0.06183807599222092,45,0.17054049673535596,0.17050854922487502,0.05508601026623947,0.05515772691151767,0.005,0.005,0.005,0.005,True,False
FR,GI,5,0.18113765867527562,0.18694765465669613,0.10439210693825589,9,0.05883960178911083,45,0.17007572535758028,0.16996093733929063,0.05499142220229794,0.0551800486573295,0.005,0.01,0.005,0.005,True,False
FR,JZ,5,0.1854285427605899,0.21187025534851622,0.1109350237717908,9,0.06148335251761685,45,0.16554711859306884,0.17045212306521773,0.05329643316874304,0.055078017368652185,0.005,0.005,0.005,0.005,True,False
FR,KZ,5,0.18817624244327558,0.17724867724867724,0.10772225827384815,9,0.06280891843570428,45,0.17191177981152359,0.17744663641598063,0.055578490634752696,0.05742455923453071,0.005,0.01,0.005,0.005,True,False
FR,LZ,5,0.19477434421290965,0.22412611377655928,0.10249839846252402,9,0.06444175131158768,45,0.17075035860725424,0.17541019584072587,0.055146844590418305,0.05692710083824,0.005,0.005,0.005,0.005,True,False
FR,MN,5,0.18408261099458428,0.20876112251882273,0.10052219321148825,9,0.060691025133154455,45,0.1703489328936591,0.1736938337760955,0.054985468341600174,0.056300867217655245,0.005,0.015,0.005,0.005,True,False
FR,OQ,5,0.18737569076736937,0.1775827143821742,0.08760951188986232,9,0.0625203785470583,45,0.17036229764597194,0.17172751828987431,0.05501123508576035,0.05550919671506617,0.005,0.005,0.005,0.005,True,False
FR,RU,5,0.18460954937664104,0.17817225509533202,0.09369144284821987,9,0.06058655843239277,45,0.17134254454513878,0.17324556083562423,0.05535884647945032,0.05613510881500407,0.005,0.01,0.005,0.005,True,False
NL,BE,5,0.42620867282605085,0.43772893772893773,0.24757281553398058,14,0.1682897314697662,105,0.38888195111238877,0.3776300752502654,0.1532223370628046,0.15505870772245292,0.01,0.005,0.015,0.03,True,False
NL,FZ,5,0.4132155413098801,0.39664585491502646,0.2727272727272727,14,0.1694556324727467,105,0.38713606918857657,0.3728018264848564,0.15280601996500523,0.15570347241540328,0.01,0.005,0.005,0.01,True,False
NL,GI,5,0.3828038894514257,0.3883218174204355,0.182648401826484,14,0.16738270481789103,105,0.39047962983013834,0.36576403135753677,0.15339281036404276,0.15556789577868135,0.76,0.09,0.02,0.02,True,False
NL,JZ,5,0.39433603528437366,0.4087675916597979,0.26146788990825687,14,0.164612068601952,105,0.3886445411732658,0.3869144690542509,0.15303368901782324,0.15717079978986387,0.295,0.255,0.025,0.105,False,False
NL,KZ,5,0.41192378259103796,0.368678955453149,0.27184466019417475,14,0.16565256595522004,105,0.3950511241991566,0.3842512417773506,0.15443389327547835,0.1572255044653278,0.085,0.02,0.02,0.09,False,False
NL,LZ,5,0.40461484159843414,0.40689932526028866,0.2585034013605442,14,0.15482208812662518,105,0.36987284447051266,0.34393380981384464,0.14117061594373187,0.1364635856573172,0.005,0.005,0.015,0.015,True,False
NL,MN,5,0.3945224010715612,0.3837837837837838,0.30927835051546393,14,0.1693062868099992,105,0.3886599929553355,0.3838370975167693,0.15323641409513558,0.15709760553621333,0.315,0.18,0.01,0.02,True,False
NL,OQ,5,0.49324622534217677,0.38055555555555554,0.2835820895522388,6,0.2601058582523952,21,0.4584217063627662,0.46737632173441856,0.23748881026747773,0.24571394648701228,0.03,0.05,0.045,0.105,False,False
NL,RU,5,0.372910916889852,0.35839740690486954,0.26291079812206575,14,0.1610864157890853,105,0.3894631033923678,0.37516792628036205,0.15301730383926634,0.15571563273569716,0.93,0.61,0.085,0.125,False,False
PT,BE,5,0.4722889555084912,0.4666093084234677,0.29457364341085274,12,0.24280817955346962,78,0.4675923788081018,0.443677586576419,0.23118219788244124,0.23138752963201484,0.36,0.03,0.15,0.115,False,False
