country,sector,top_k,m1_obs_mean,m2_obs_mean
FR,BE,3,0.1521806500706029,0.04680491625259539
FR,FZ,3,0.14907175027387817,0.04658769774233296
FR,GI,3,0.1432131339246805,0.04346664520970182
FR,JZ,3,0.14495912898103025,0.045310304299063096
FR,KZ,3,0.15258340830424755,0.04802670496949105
FR,LZ,3,0.16153649113567484,0.05055966337448894
FR,MN,3,0.1536053054948448,0.04749207273167991
FR,OQ,3,0.14961707928700163,0.047756457850865956
FR,RU,3,0.1510032290137113,0.045486681456897174
FR,BE,5,0.18850976596800045,0.06191175230284397
FR,FZ,5,0.18796770138466795,0.06183807599222092
FR,GI,5,0.18113765867527562,0.05883960178911083
FR,JZ,5,0.1854285427605899,0.06148335251761685
FR,KZ,5,0.18817624244327558,0.06280891843570428
FR,LZ,5,0.19477434421290965,0.06444175131158768
FR,MN,5,0.18408261099458428,0.060691025133154455
FR,OQ,5,0.18737569076736937,0.0625203785470583
FR,RU,5,0.18460954937664104,0.06058655843239277
FR,BE,10,0.25013586301187246,0.09082487042224927
FR,FZ,10,0.24631108979261804,0.08954371934847646
FR,GI,10,0.2409235732444897,0.08745146811522546
FR,JZ,10,0.2473497666349681,0.09145772446993702
FR,KZ,10,0.25268715371455047,0.09311968772714281
FR,LZ,10,0.2495382957084607,0.09110987867741797
FR,MN,10,0.24648750753324478,0.0903401053441403
FR,OQ,10,0.25240455725591165,0.09243155927503448
FR,RU,10,0.2433556015399398,0.08812170250056525
NL,BE,3,0.33322846345900103,0.1143743462315409
NL,FZ,3,0.32932612749082113,0.11656923742879911
NL,GI,3,0.31210866272475535,0.11743332553811603
NL,JZ,3,0.3248244164134885,0.11568436375512145
NL,KZ,3,0.32018516897341376,0.11255152637392747
NL,LZ,3,0.3121286792612656,0.10254842892817052
NL,MN,3,0.32794086297628355,0.11639575200288567
NL,OQ,3,0.4181977559607293,0.19057166597562822
NL,RU,3,0.3126936989721885,0.11660379718918644
NL,BE,5,0.42620867282605085,0.1682897314697662
NL,FZ,5,0.4132155413098801,0.1694556324727467
NL,GI,5,0.3828038894514257,0.16738270481789103
NL,JZ,5,0.39433603528437366,0.164612068601952
NL,KZ,5,0.41192378259103796,0.16565256595522004
NL,LZ,5,0.40461484159843414,0.15482208812662518
NL,MN,5,0.3945224010715612,0.1693062868099992
NL,OQ,5,0.49324622534217677,0.2601058582523952
NL,RU,5,0.372910916889852,0.1610864157890853
NL,BE,10,0.5625445998186274,0.2838080390534743
NL,FZ,10,0.545319752787279,0.28883889030883414
NL,GI,10,0.5202354019018756,0.2874177531461652
NL,JZ,10,0.5490697788479498,0.28953696638991955
NL,KZ,10,0.537033458679724,0.27895625237114624
NL,LZ,10,0.5350629366699678,0.2593500971825996
NL,MN,10,0.545537219717359,0.2917701508349565
NL,OQ,10,0.6177863930355899,0.38652628728787924
NL,RU,10,0.524331520793273,0.28555769236375356
PT,BE,3,0.3547749404448323,0.16813140154781164
PT,FZ,3,0.39023223566649085,0.18147682131454854
PT,GI,3,0.37542285675112286,0.17908724021299177
PT,JZ,3,0.4134744110331907,0.1847763169689388
PT,LZ,3,0.39049375031841516,0.17699159049741087
PT,MN,3,0.3988146993213568,0.17914312164558555
PT,OQ,3,0.3887197779404496,0.17530568070670566
PT,RU,3,0.3705270132964413,0.17991837217996046
PT,BE,5,0.4722889555084912,0.24280817955346962
PT,FZ,5,0.47281343806900283,0.25430987397152865
PT,GI,5,0.4467370356952913,0.24787774726207387
PT,JZ,5,0.5088942515821482,0.2611795396479744
PT,LZ,5,0.46989839422058677,0.24361120566537062
PT,MN,5,0.47435080827595694,0.2537747178422693
PT,OQ,5,0.4769225781876177,0.24630245421487268
PT,RU,5,0.4637827138613568,0.24499232406402152
PT,BE,10,0.6319259618170477,0.4300381260579697
PT,FZ,10,0.6577239864298541,0.4438768056455349
PT,GI,10,0.6149253747262977,0.4233095433542448
PT,JZ,10,0.6553463667972301,0.4354652782286861
PT,LZ,10,0.6373961810107497,0.4222238603902657
PT,MN,10,0.6331454936052474,0.4403169651907892
PT,OQ,10,0.6400628654813161,0.4266291402480618
PT,RU,10,0.6484350198022583,0.4449801253539816
