country,sector,pre_density,pre_w_mean,covid_density,covid_w_mean,post_density,post_w_mean,delta_density_post_pre,delta_w_post_pre,density_disrupted,weight_disrupted
FR,BE,0.0225721112817887,0.9502705758102169,0.022452636968766,0.9520030279198363,0.022811059907834098,0.9440746902048525,0.0002389486260453988,-0.006195885605364437,False,False
FR,FZ,0.022452636968766,0.9542625870328519,0.02314388120839734,0.9546510393864603,0.022700119474313024,0.9380540777403191,0.00024748250554702464,-0.016208509292532813,False,False
FR,GI,0.022000341355180062,0.9528171745429502,0.022555043522785458,0.9418341287924764,0.02227342549923195,0.9379105591236735,0.0002730841440518883,-0.014906615419276736,False,False
FR,JZ,0.022324628776241678,0.9519015295915505,0.02260624679979519,0.9426056478009226,0.02271718723331627,0.9409601942113186,0.00039255845707459117,-0.010941335380231898,False,False
FR,KZ,0.022606246799795185,0.9482339071639033,0.022657450076804916,0.9325801807624484,0.022700119474313024,0.9391691486432959,9.38726745178392e-05,-0.009064758520607397,False,False
FR,LZ,0.022307561017238436,0.9512355027880462,0.023015873015873017,0.9354756751820487,0.022546509643283835,0.935117696308597,0.0002389486260453988,-0.01611780647944927,False,False
FR,MN,0.022153951186209248,0.9556034352654947,0.023015873015873017,0.9514876074790792,0.023015873015873017,0.9381975624909726,0.0008619218296637698,-0.017405872774522102,False,False
FR,OQ,0.0220942140296979,0.9472041057991659,0.022350230414746545,0.9356545834948502,0.02267451783580816,0.9420343747840964,0.0005803038061102592,-0.0051697310150695674,False,False
FR,RU,0.022409967571257895,0.9541472994690503,0.02304147465437788,0.9598819920581146,0.023434033111452465,0.9558683407158882,0.0010240655401945707,0.0017210412468379177,False,False
NL,BE,0.15769230769230771,0.7714296423446869,0.15,0.7762522410803371,0.1692307692307692,0.7901590970665753,0.011538461538461497,0.01872945472188836,False,False
NL,FZ,0.16769230769230767,0.8462265211153186,0.17564102564102563,0.8872926902196715,0.17777777777777778,0.8498901361165435,0.010085470085470116,0.003663615001224918,False,False
NL,GI,0.17564102564102566,0.8062301297852041,0.1794871794871795,0.9261455174986245,0.1705128205128205,0.9347024495695692,-0.0051282051282051655,0.12847231978436502,False,False
NL,JZ,0.16205128205128205,0.7649682416471955,0.1564102564102564,0.7893736799978479,0.16538461538461538,0.7705022484026477,0.003333333333333327,0.0055340067554522365,False,False
NL,KZ,0.16564102564102565,0.8274580340554298,0.16282051282051282,0.8237808830291029,0.1564102564102564,0.7704661831429807,-0.009230769230769237,-0.05699185091244918,False,False
NL,LZ,0.1594871794871795,0.8045864604224857,0.15,0.7553921827625062,0.15854700854700854,0.7585430770598336,-0.000940170940170959,-0.046043383362652124,False,False
NL,MN,0.17153846153846156,0.8203555041388084,0.16538461538461538,0.8516691727541623,0.1756410256410256,0.7915644481947917,0.004102564102564044,-0.028791055944016763,False,False
NL,RU,0.16589743589743589,0.8030137504697257,0.1641025641025641,0.7678641226738402,0.16452991452991453,0.7792340503976302,-0.0013675213675213571,-0.02377970007209551,False,False
PT,BE,0.278,0.8537710194217951,0.29333333333333333,0.851810544400572,0.2688888888888889,0.8633580416708808,-0.009111111111111125,0.009587022249085697,False,False
PT,FZ,0.288,0.847296805240554,0.25666666666666665,0.7292642352316179,0.27444444444444444,0.8091591057197339,-0.013555555555555543,-0.03813769952082002,False,False
PT,GI,0.288,0.8994893310713243,0.24666666666666667,0.8385954965623885,0.2722222222222222,0.8707935029155854,-0.01577777777777778,-0.0286958281557389,False,False
PT,JZ,0.2693333333333333,0.7138550002963053,0.24666666666666667,0.6698074638794368,0.2677777777777778,0.7614196556223124,-0.0015555555555555323,0.047564655326007066,False,False
PT,LZ,0.2533333333333333,0.6803487728964162,0.26,0.7203277098543636,0.2722222222222222,0.7245237917474223,0.0188888888888889,0.044175018851006165,False,False
PT,MN,0.2746666666666667,0.7538729331907069,0.27666666666666667,0.7786931155278147,0.2811111111111111,0.8902746974364965,0.006444444444444364,0.13640176424578954,False,False
PT,OQ,0.282,0.7826006450965293,0.27,0.7017913442426166,0.28,0.8407303193369549,-0.0019999999999999463,0.05812967424042559,False,False
PT,RU,0.286,0.7121469689644717,0.25333333333333335,0.6530554140728135,0.2833333333333334,0.8398608860070897,-0.002666666666666595,0.12771391704261803,False,False
