country,sector,n_years,n_regions,year_min,year_max
FR,BE,10,280,2017,2026
FR,FZ,10,280,2017,2026
FR,GI,10,280,2017,2026
FR,JZ,10,280,2017,2026
FR,KZ,10,280,2017,2026
FR,LZ,10,280,2017,2026
FR,MN,10,280,2017,2026
FR,OQ,10,280,2017,2026
FR,RU,10,280,2017,2026
NL,BE,15,40,2012,2026
NL,FZ,15,40,2012,2026
NL,GI,15,40,2012,2026
NL,JZ,15,40,2012,2026
NL,KZ,15,40,2012,2026
NL,LZ,15,40,2012,2026
NL,MN,15,40,2012,2026
NL,OQ,7,40,2020,2026
NL,RU,15,40,2012,2026
PT,BE,13,25,2013,2025
PT,FZ,13,25,2013,2025
PT,GI,13,25,2013,2025
PT,JZ,13,25,2013,2025
PT,LZ,13,25,2013,2025
PT,MN,13,25,2013,2025
PT,OQ,13,25,2013,2025
PT,RU,13,25,2013,2025
