country,sector,top_k,exclude_covid,n_years,n_regions,obs_loyo_jaccard,null_mean,null_median,null_q5,null_q95,effect_abs,effect_rel,p_value,positive_effect,n_permutations_valid,fdr_reject
FR,BE,5,True,9,280,0.06799,0.053428,0.053437,0.052592,0.05425,0.014562,0.2726,0.005,True,199,True
FR,FZ,5,True,9,280,0.06663,0.050673,0.050693,0.049805,0.051481,0.015957,0.3149,0.005,True,199,True
FR,GI,5,True,9,280,0.064604,0.047573,0.047602,0.046711,0.048376,0.01703,0.358,0.005,True,199,True
FR,JZ,5,True,9,280,0.069474,0.057235,0.057175,0.056283,0.058301,0.012239,0.2138,0.005,True,199,True
FR,KZ,5,True,9,280,0.070875,0.056671,0.056682,0.055698,0.057626,0.014204,0.2506,0.005,True,199,True
FR,LZ,5,True,9,280,0.06723,0.053148,0.053148,0.052219,0.053978,0.014082,0.265,0.005,True,199,True
FR,MN,5,True,9,280,0.069975,0.053897,0.053856,0.053027,0.054854,0.016078,0.2983,0.005,True,199,True
FR,OQ,5,True,9,280,0.069055,0.055636,0.055635,0.054686,0.056526,0.013419,0.2412,0.005,True,199,True
FR,RU,5,True,9,280,0.069692,0.04985,0.049861,0.048921,0.050824,0.019842,0.398,0.005,True,199,True
NL,BE,5,True,14,40,0.167085,0.130174,0.1302,0.126887,0.133164,0.03691,0.2835,0.005,True,199,True
NL,FZ,5,True,14,40,0.176341,0.127856,0.127736,0.124708,0.131027,0.048485,0.3792,0.005,True,199,True
NL,GI,5,True,14,40,0.169161,0.124722,0.124712,0.121656,0.127518,0.044438,0.3563,0.005,True,199,True
NL,JZ,5,True,14,40,0.169874,0.143718,0.143722,0.140776,0.146923,0.026157,0.182,0.005,True,199,True
NL,KZ,5,True,14,40,0.17081,0.094267,0.09406,0.091994,0.096855,0.076543,0.812,0.005,True,199,True
NL,LZ,5,True,14,40,0.163886,0.137006,0.136962,0.134004,0.140051,0.026879,0.1962,0.005,True,199,True
NL,MN,5,True,14,40,0.172214,0.125677,0.125518,0.123109,0.128387,0.046537,0.3703,0.005,True,199,True
NL,OQ,5,True,6,40,0.270737,0.164678,0.164886,0.157661,0.171283,0.106059,0.644,0.005,True,199,True
NL,RU,5,True,14,40,0.168406,0.11167,0.111645,0.108894,0.114531,0.056736,0.5081,0.005,True,199,True
PT,BE,5,True,12,25,0.255014,0.204213,0.203853,0.199422,0.210354,0.050802,0.2488,0.005,True,199,True
PT,FZ,5,True,12,25,0.265913,0.214335,0.214005,0.209345,0.220075,0.051579,0.2406,0.005,True,199,True
PT,GI,5,True,12,25,0.259745,0.200185,0.200182,0.194298,0.206525,0.05956,0.2975,0.005,True,199,True
PT,JZ,5,True,12,25,0.276453,0.2239,0.223834,0.218663,0.230165,0.052552,0.2347,0.005,True,199,True
PT,LZ,5,True,12,25,0.263549,0.23436,0.234336,0.228029,0.2415,0.029189,0.1245,0.005,True,199,True
PT,MN,5,True,12,25,0.255992,0.196755,0.196744,0.1919,0.202275,0.059237,0.3011,0.005,True,199,True
PT,OQ,5,True,12,25,0.246206,0.196169,0.196371,0.190191,0.201712,0.050037,0.2551,0.005,True,199,True
PT,RU,5,True,12,25,0.252855,0.19039,0.190239,0.185182,0.195565,0.062465,0.3281,0.005,True,199,True
