country,sector,top_k,exclude_covid,n_years,n_regions,obs_loyo_jaccard,null_mean,null_median,null_q5,null_q95,effect_abs,effect_rel,p_value,positive_effect,n_permutations_valid,fdr_reject
FR,BE,10,True,9,280,0.096993,0.077215,0.077196,0.07643,0.07797,0.019778,0.2561,0.005,True,199,True
FR,BE,3,True,9,280,0.052453,0.04078,0.040715,0.039799,0.04179,0.011673,0.2862,0.005,True,199,True
FR,FZ,10,True,9,280,0.098446,0.0764,0.076412,0.075602,0.077212,0.022046,0.2886,0.005,True,199,True
FR,FZ,3,True,9,280,0.04987,0.038336,0.038316,0.03727,0.03938,0.011534,0.3009,0.005,True,199,True
FR,GI,10,True,9,280,0.094253,0.069786,0.069781,0.069164,0.070406,0.024466,0.3506,0.005,True,199,True
FR,GI,3,True,9,280,0.048421,0.036389,0.036359,0.035499,0.037279,0.012031,0.3306,0.005,True,199,True
FR,JZ,10,True,9,280,0.099106,0.082731,0.082735,0.081946,0.083427,0.016376,0.1979,0.005,True,199,True
FR,JZ,3,True,9,280,0.052135,0.043585,0.043541,0.042383,0.044733,0.00855,0.1962,0.005,True,199,True
FR,KZ,10,True,9,280,0.102347,0.082828,0.082796,0.082102,0.083569,0.019519,0.2357,0.005,True,199,True
FR,KZ,3,True,9,280,0.054363,0.042762,0.042774,0.041667,0.043747,0.011602,0.2713,0.005,True,199,True
FR,LZ,10,True,9,280,0.094601,0.076419,0.076435,0.075737,0.077033,0.018182,0.2379,0.005,True,199,True
FR,LZ,3,True,9,280,0.051199,0.04178,0.041771,0.040727,0.04287,0.009419,0.2254,0.005,True,199,True
FR,MN,10,True,9,280,0.101105,0.078487,0.078517,0.077778,0.079231,0.022618,0.2882,0.005,True,199,True
FR,MN,3,True,9,280,0.054479,0.040678,0.040685,0.0395,0.041738,0.013801,0.3393,0.005,True,199,True
FR,OQ,10,True,9,280,0.099167,0.080364,0.080372,0.079698,0.081101,0.018802,0.234,0.005,True,199,True
FR,OQ,3,True,9,280,0.055662,0.042358,0.042343,0.041111,0.0435,0.013304,0.3141,0.005,True,199,True
FR,RU,10,True,9,280,0.097683,0.072492,0.072484,0.071797,0.073083,0.025191,0.3475,0.005,True,199,True
FR,RU,3,True,9,280,0.053186,0.038576,0.038559,0.037497,0.03978,0.01461,0.3787,0.005,True,199,True
NL,BE,10,True,14,40,0.282419,0.238249,0.238169,0.235412,0.241412,0.04417,0.1854,0.005,True,199,True
NL,BE,3,True,14,40,0.116518,0.086354,0.086314,0.083045,0.089554,0.030164,0.3493,0.005,True,199,True
NL,FZ,10,True,14,40,0.305158,0.23503,0.235076,0.232266,0.23756,0.070128,0.2984,0.005,True,199,True
NL,FZ,3,True,14,40,0.119996,0.084963,0.084849,0.082262,0.088153,0.035033,0.4123,0.005,True,199,True
NL,GI,10,True,14,40,0.297544,0.225642,0.225894,0.222826,0.228364,0.071902,0.3187,0.005,True,199,True
NL,GI,3,True,14,40,0.119424,0.084297,0.084099,0.081243,0.087521,0.035127,0.4167,0.005,True,199,True
NL,JZ,10,True,14,40,0.296488,0.245505,0.245389,0.24257,0.24889,0.050982,0.2077,0.005,True,199,True
NL,JZ,3,True,14,40,0.11537,0.099173,0.099093,0.095501,0.1028,0.016197,0.1633,0.005,True,199,True
NL,KZ,10,True,14,40,0.286267,0.189736,0.189824,0.187302,0.192183,0.096531,0.5088,0.005,True,199,True
NL,KZ,3,True,14,40,0.122605,0.061832,0.061845,0.059421,0.064107,0.060773,0.9829,0.005,True,199,True
NL,LZ,10,True,14,40,0.271562,0.239564,0.239525,0.236511,0.242857,0.031998,0.1336,0.005,True,199,True
NL,LZ,3,True,14,40,0.117506,0.09726,0.097235,0.093995,0.100711,0.020246,0.2082,0.005,True,199,True
NL,MN,10,True,14,40,0.295439,0.219694,0.219669,0.217264,0.222033,0.075745,0.3448,0.005,True,199,True
NL,MN,3,True,14,40,0.121257,0.086745,0.086475,0.083584,0.090078,0.034513,0.3979,0.005,True,199,True
NL,OQ,10,True,6,40,0.411042,0.272657,0.27265,0.267231,0.278131,0.138385,0.5075,0.005,True,199,True
NL,OQ,3,True,6,40,0.201639,0.123673,0.123767,0.11541,0.131701,0.077966,0.6304,0.005,True,199,True
NL,RU,10,True,14,40,0.284778,0.201801,0.201957,0.198981,0.204477,0.082977,0.4112,0.005,True,199,True
NL,RU,3,True,14,40,0.117466,0.07619,0.076098,0.073556,0.078723,0.041276,0.5417,0.005,True,199,True
PT,BE,10,True,12,25,0.43617,0.386884,0.387077,0.381242,0.392427,0.049285,0.1274,0.005,True,199,True
PT,BE,3,True,12,25,0.179259,0.143016,0.143145,0.136444,0.149213,0.036243,0.2534,0.005,True,199,True
PT,FZ,10,True,12,25,0.467513,0.378062,0.378066,0.373055,0.382874,0.089452,0.2366,0.005,True,199,True
PT,FZ,3,True,12,25,0.184842,0.150687,0.150402,0.143835,0.157635,0.034155,0.2267,0.005,True,199,True
PT,GI,10,True,12,25,0.448766,0.362744,0.362803,0.357011,0.368101,0.086022,0.2371,0.005,True,199,True
PT,GI,3,True,12,25,0.186183,0.140264,0.14027,0.134078,0.146078,0.045919,0.3274,0.005,True,199,True
PT,JZ,10,True,12,25,0.443288,0.399098,0.398921,0.393338,0.405639,0.04419,0.1107,0.005,True,199,True
PT,JZ,3,True,12,25,0.205001,0.153694,0.153791,0.147078,0.159769,0.051307,0.3338,0.005,True,199,True
PT,LZ,10,True,12,25,0.442632,0.407896,0.407969,0.401904,0.413364,0.034737,0.0852,0.005,True,199,True
PT,LZ,3,True,12,25,0.186564,0.158256,0.158326,0.15033,0.164627,0.028309,0.1789,0.005,True,199,True
PT,MN,10,True,12,25,0.456161,0.367934,0.367753,0.363036,0.373708,0.088227,0.2398,0.005,True,199,True
PT,MN,3,True,12,25,0.180168,0.132953,0.132964,0.12678,0.13879,0.047215,0.3551,0.005,True,199,True
PT,OQ,10,True,12,25,0.440136,0.367782,0.367949,0.362404,0.372734,0.072355,0.1967,0.005,True,199,True
PT,OQ,3,True,12,25,0.174284,0.13681,0.136458,0.131232,0.142823,0.037474,0.2739,0.005,True,199,True
PT,RU,10,True,12,25,0.466764,0.375352,0.375253,0.36987,0.380324,0.091412,0.2435,0.005,True,199,True
PT,RU,3,True,12,25,0.179272,0.125412,0.125336,0.120483,0.130538,0.05386,0.4295,0.005,True,199,True
