country,sector,year_from,year_to,mean_turnover,stable
FR,BE,2017,2018,0.6944069571301714,False
FR,BE,2018,2019,0.7605788011591583,False
FR,BE,2019,2020,0.8085154528011671,False
FR,BE,2020,2021,0.7771041656755943,False
FR,BE,2021,2022,0.7928532479425336,False
FR,BE,2022,2023,0.8002684270094984,False
FR,BE,2023,2024,0.7786901342704914,False
FR,BE,2024,2025,0.793632894882895,False
FR,BE,2025,2026,0.7980433752755182,False
FR,FZ,2017,2018,0.736085273853131,False
FR,FZ,2018,2019,0.7975548197134332,False
FR,FZ,2019,2020,0.7941983809840952,False
FR,FZ,2020,2021,0.7889529765869052,False
FR,FZ,2021,2022,0.7672905071119356,False
FR,FZ,2022,2023,0.7334519151483437,False
FR,FZ,2023,2024,0.7819611043718186,False
FR,FZ,2024,2025,0.8086993116010973,False
FR,FZ,2025,2026,0.7828785351553209,False
FR,GI,2017,2018,0.7157227692941979,False
FR,GI,2018,2019,0.794539617128903,False
FR,GI,2019,2020,0.7982497363747363,False
FR,GI,2020,2021,0.7670814835258113,False
FR,GI,2021,2022,0.8058571141160427,False
FR,GI,2022,2023,0.7695415497201211,False
FR,GI,2023,2024,0.7771483546798673,False
FR,GI,2024,2025,0.8048499848657412,False
FR,GI,2025,2026,0.7961183859508716,False
FR,JZ,2017,2018,0.7211929276372554,False
FR,JZ,2018,2019,0.7732833535512107,False
FR,JZ,2019,2020,0.7708555977752407,False
FR,JZ,2020,2021,0.7568888557754104,False
FR,JZ,2021,2022,0.7849880179344465,False
FR,JZ,2022,2023,0.7583782061775759,False
FR,JZ,2023,2024,0.7873635144617288,False
FR,JZ,2024,2025,0.7795928129410273,False
FR,JZ,2025,2026,0.7888459591295726,False
FR,KZ,2017,2018,0.7208331747617461,False
FR,KZ,2018,2019,0.8103264330207607,False
FR,KZ,2019,2020,0.7895840518608376,False
FR,KZ,2020,2021,0.7466086344211345,False
FR,KZ,2021,2022,0.7890119107083393,False
FR,KZ,2022,2023,0.7508726442208585,False
FR,KZ,2023,2024,0.7661902616524466,False
FR,KZ,2024,2025,0.7482059607059608,False
FR,KZ,2025,2026,0.772407572586144,False
FR,LZ,2017,2018,0.7356093014128728,False
FR,LZ,2018,2019,0.7368555289248567,False
FR,LZ,2019,2020,0.7570541412952128,False
FR,LZ,2020,2021,0.7728863993149707,False
FR,LZ,2021,2022,0.7799428597196455,False
FR,LZ,2022,2023,0.7437805646734218,False
FR,LZ,2023,2024,0.8160995537492387,False
FR,LZ,2024,2025,0.8038673330637617,False
FR,LZ,2025,2026,0.7940333624708624,False
FR,MN,2017,2018,0.7332177678763814,False
FR,MN,2018,2019,0.7695682116086529,False
FR,MN,2019,2020,0.7776491663098806,False
FR,MN,2020,2021,0.734232721643436,False
FR,MN,2021,2022,0.8104300610104181,False
FR,MN,2022,2023,0.7738721100328243,False
FR,MN,2023,2024,0.7886000265490811,False
FR,MN,2024,2025,0.7787136425082853,False
FR,MN,2025,2026,0.7814391263498407,False
FR,OQ,2017,2018,0.7049994152672724,False
FR,OQ,2018,2019,0.7732894090036947,False
FR,OQ,2019,2020,0.8085754295890851,False
FR,OQ,2020,2021,0.782340719796077,False
FR,OQ,2021,2022,0.7738665104736533,False
FR,OQ,2022,2023,0.7718279736136878,False
FR,OQ,2023,2024,0.7731312388008817,False
FR,OQ,2024,2025,0.8200290037343608,False
FR,OQ,2025,2026,0.7482431705199563,False
FR,RU,2017,2018,0.7321746705675277,False
FR,RU,2018,2019,0.7823990493633352,False
FR,RU,2019,2020,0.8049282419844395,False
FR,RU,2020,2021,0.7183335860568003,False
FR,RU,2021,2022,0.7558676541712256,False
FR,RU,2022,2023,0.7489518453068874,False
FR,RU,2023,2024,0.8091895292499284,False
FR,RU,2024,2025,0.7990818655550799,False
FR,RU,2025,2026,0.7438512330923045,False
NL,BE,2012,2013,0.4028177378177379,False
NL,BE,2013,2014,0.5974224386724387,False
NL,BE,2014,2015,0.5514529914529914,False
NL,BE,2015,2016,0.5832305194805194,False
NL,BE,2016,2017,0.5843687562437563,False
NL,BE,2017,2018,0.5285362554112554,False
NL,BE,2018,2019,0.4717422161172161,False
NL,BE,2019,2020,0.5276635864135863,False
NL,BE,2020,2021,0.608306277056277,False
NL,BE,2021,2022,0.6331621156621157,False
NL,BE,2022,2023,0.5273727661227661,False
NL,BE,2023,2024,0.6198846986346986,False
NL,BE,2024,2025,0.6315304976885858,False
NL,BE,2025,2026,0.6165719003219003,False
NL,FZ,2012,2013,0.5549353424353425,False
NL,FZ,2013,2014,0.6145188492063491,False
NL,FZ,2014,2015,0.6009675047175047,False
NL,FZ,2015,2016,0.4928953685203686,False
NL,FZ,2016,2017,0.48608967421467425,False
NL,FZ,2017,2018,0.6043987956487957,False
NL,FZ,2018,2019,0.5208531746031746,False
NL,FZ,2019,2020,0.5777965784215784,False
NL,FZ,2020,2021,0.6224451243201242,False
NL,FZ,2021,2022,0.6483769008769009,False
NL,FZ,2022,2023,0.5127910977910978,False
NL,FZ,2023,2024,0.530548063048063,False
NL,FZ,2024,2025,0.5887765706515706,False
NL,FZ,2025,2026,0.5924725274725274,False
NL,GI,2012,2013,0.4973262848262848,False
NL,GI,2013,2014,0.6289992993117993,False
NL,GI,2014,2015,0.650811618936619,False
NL,GI,2015,2016,0.5471269988181753,False
NL,GI,2016,2017,0.5643601537351538,False
NL,GI,2017,2018,0.5574494949494949,False
NL,GI,2018,2019,0.598333263958264,False
NL,GI,2019,2020,0.41206182706182704,False
NL,GI,2020,2021,0.6528337634587634,False
NL,GI,2021,2022,0.6194846472971474,False
NL,GI,2022,2023,0.44534812409812413,False
NL,GI,2023,2024,0.5217091935841937,False
NL,GI,2024,2025,0.7626605379914203,False
NL,GI,2025,2026,0.4923728354978355,False
NL,JZ,2012,2013,0.509251443001443,False
NL,JZ,2013,2014,0.5268943556443556,False
NL,JZ,2014,2015,0.6238476800976801,False
NL,JZ,2015,2016,0.545827713952714,False
NL,JZ,2016,2017,0.5488248556998556,False
NL,JZ,2017,2018,0.5853470834720834,False
NL,JZ,2018,2019,0.5390978465978467,False
NL,JZ,2019,2020,0.6228821872571872,False
NL,JZ,2020,2021,0.536758658008658,False
NL,JZ,2021,2022,0.607241230991231,False
NL,JZ,2022,2023,0.4595770202020201,False
NL,JZ,2023,2024,0.5645967920967921,False
NL,JZ,2024,2025,0.5165615634365635,False
NL,JZ,2025,2026,0.64828139589169,False
NL,KZ,2012,2013,0.3954528804528804,False
NL,KZ,2013,2014,0.621188358210417,False
NL,KZ,2014,2015,0.6313316544566545,False
NL,KZ,2015,2016,0.5600868922743922,False
NL,KZ,2016,2017,0.6524206349206348,False
NL,KZ,2017,2018,0.4703995310245309,False
NL,KZ,2018,2019,0.5747483766233766,False
NL,KZ,2019,2020,0.5109884559884559,False
NL,KZ,2020,2021,0.5986408730158729,False
NL,KZ,2021,2022,0.505441919191919,False
NL,KZ,2022,2023,0.5433721139971139,False
NL,KZ,2023,2024,0.5476366688866688,False
NL,KZ,2024,2025,0.6223318695193696,False
NL,KZ,2025,2026,0.5757215007215007,False
NL,LZ,2012,2013,0.518103620026697,False
NL,LZ,2013,2014,0.5036629325090863,False
NL,LZ,2014,2015,0.5351428432678433,False
NL,LZ,2015,2016,0.3248331529581529,False
NL,LZ,2016,2017,0.5581800144300144,False
NL,LZ,2017,2018,0.5991796398046398,False
NL,LZ,2018,2019,0.4304725829725829,False
NL,LZ,2019,2020,0.5270535714285713,False
NL,LZ,2020,2021,0.502904502904503,False
NL,LZ,2021,2022,0.6067789048558279,False
NL,LZ,2022,2023,0.5290242521011753,False
NL,LZ,2023,2024,0.6078486328486329,False
NL,LZ,2024,2025,0.634070060993138,False
NL,LZ,2025,2026,0.581133658008658,False
NL,MN,2012,2013,0.5649226467976467,False
NL,MN,2013,2014,0.5427048645798646,False
NL,MN,2014,2015,0.6650509213009214,False
NL,MN,2015,2016,0.6014427586302586,False
NL,MN,2016,2017,0.5985825979575979,False
NL,MN,2017,2018,0.59562611000111,False
NL,MN,2018,2019,0.5934725690975691,False
NL,MN,2019,2020,0.627620018870019,False
NL,MN,2020,2021,0.49552940115440114,False
NL,MN,2021,2022,0.5238442113442113,False
NL,MN,2022,2023,0.45371101121101115,False
NL,MN,2023,2024,0.6075373931623932,False
NL,MN,2024,2025,0.5453110778110778,False
NL,MN,2025,2026,0.5344556138306139,False
NL,OQ,2020,2021,0.47438041125541125,False
NL,OQ,2021,2022,0.5811652236652236,False
NL,OQ,2022,2023,0.5445275557775557,False
NL,OQ,2023,2024,0.5751374320124321,False
