country,sector,year_from,year_to,n_common_pairs,mean_abs_change,frac_strengthening,frac_weakening,wave_signal
FR,BE,2017,2018,39060,0.17162576347744232,0.16717869943676394,0.19818228366615465,False
FR,BE,2018,2019,39060,0.2345301873303097,0.271505376344086,0.25821812596006144,True
FR,BE,2019,2020,39060,0.35913331443493485,0.541705069124424,0.12852022529441884,True
FR,BE,2020,2021,39060,0.23389507905389192,0.18783922171018946,0.32319508448540707,True
FR,BE,2021,2022,39060,0.2464888580913098,0.30686123911930363,0.22406554019457245,True
FR,BE,2022,2023,39060,0.24509262503859885,0.1878136200716846,0.3349462365591398,True
FR,BE,2023,2024,39060,0.2289877437822536,0.29523809523809524,0.21853558627752176,True
FR,BE,2024,2025,39060,0.2470087343351129,0.2119815668202765,0.32557603686635944,True
FR,BE,2025,2026,39060,0.2454733870677413,0.38868407578084996,0.1557347670250896,True
FR,FZ,2017,2018,39060,0.19631717912426036,0.2155657962109575,0.20424987199180747,False
FR,FZ,2018,2019,39060,0.2594697962902902,0.34226830517153095,0.19795186891961086,True
FR,FZ,2019,2020,39060,0.24624745052146252,0.39500768049155144,0.16410650281618022,True
FR,FZ,2020,2021,39060,0.3054480953194528,0.10721966205837173,0.512647209421403,True
FR,FZ,2021,2022,39060,0.2372968981564988,0.25949820788530464,0.28302611367127495,True
FR,FZ,2022,2023,39060,0.22289440191487453,0.23855606758832565,0.2520993343573989,True
FR,FZ,2023,2024,39060,0.26483139448101733,0.40209933435739886,0.1595494111623144,True
FR,FZ,2024,2025,39060,0.2600773485928303,0.20010240655401945,0.37140296979006654,True
FR,FZ,2025,2026,39060,0.20698360718617026,0.25532514080901175,0.20033282130056324,True
FR,GI,2017,2018,39060,0.20683525759405896,0.21879160266257042,0.21769073220686125,False
FR,GI,2018,2019,39060,0.2837852902676738,0.36108550947260626,0.23637992831541219,True
FR,GI,2019,2020,39060,0.22345250489216315,0.2263952892985151,0.27549923195084486,True
FR,GI,2020,2021,39060,0.3081346920492631,0.1679467485919099,0.459242191500256,True
FR,GI,2021,2022,39060,0.27705145026361394,0.28545826932923707,0.29782386072708655,True
FR,GI,2022,2023,39060,0.5438996995363073,0.7871479774705581,0.04810547875064004,True
FR,GI,2023,2024,39060,0.14191005065231835,0.2074500768049155,0.1155657962109575,False
FR,GI,2024,2025,39060,0.13304004183515586,0.19180747567844342,0.11825396825396825,False
FR,GI,2025,2026,39060,0.13527126513014492,0.1703020993343574,0.1495647721454173,False
FR,JZ,2017,2018,39060,0.21200307512674293,0.223963133640553,0.20785970302099335,False
FR,JZ,2018,2019,39060,0.2639022002513746,0.29260112647209424,0.27293906810035845,True
FR,JZ,2019,2020,39060,0.25045450994912094,0.29219150025601637,0.2463389656938044,True
FR,JZ,2020,2021,39060,0.2555982185992033,0.2060931899641577,0.3453149001536098,True
FR,JZ,2021,2022,39060,0.2679614089021729,0.2955197132616487,0.27306707629288274,True
FR,JZ,2022,2023,39060,0.22019538815930978,0.25212493599590374,0.24580133128520226,True
FR,JZ,2023,2024,39060,0.24258770225298537,0.30276497695852533,0.21451612903225806,True
FR,JZ,2024,2025,39060,0.235985537381516,0.25419866871479774,0.25478750640040965,True
FR,JZ,2025,2026,39060,0.23575759446609137,0.2755504352278546,0.2357142857142857,True
FR,KZ,2017,2018,39060,0.17917965173531203,0.19436763952892985,0.1945468509984639,False
FR,KZ,2018,2019,39060,0.2744116491161362,0.29293394777265747,0.28914490527393755,True
