country,country_name,primary_source,indicator,nuts_version,territorial_level,n_territories,year_min,year_max,consecutive_years,n_observations,coverage_pct_a10,sectors_available,sectors_absent,n_sectors_a10_compatible,enterprise_births_available,sector_births_available,employment_only,geometry_available,zeros_vs_missing_distinguishable,territorial_breaks_noted,kl_combined,oq_partial,phase7_n_samples,phase7_temporal_ok,phase7_territorial_ok,phase7_sector_ok,phase7_concept_ok,phase7_samples_ok,eligibility_status,blocking_reason,notes,n_samples_estimated,phase7_all_criteria_met
AT,Austria,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,35,2007,2022,16,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,420,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from Statistics Austria (Unternehmensdemografie) to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source Statistics Austria (Unternehmensdemografie) expected at https://www.statistik.at/en/statistics/trade-and-services/enterprise-demography/newly-established-enterprises; Expected: 35 territories, 2007-2022",420,True
BE,,Statbel TVA primo-assujetissements,vat_first_registration,NUTS2021,arrondissement_functional,42,2007,2024,18,,,,,0,False,False,True,True,False,False,False,False,756,True,True,False,False,True,BLOCKED_SEMANTICS,"flag_target_concept=vat_first_registration (≠ enterprise_birth); mask_sector_a10=0 (no sector births); ONSS provides employment jobs, not births. Primary blocker: indicator concept incompatible with FR/NL/PT baseline.",,756,False
BG,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,28,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
CY,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,1,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
CZ,Czech Republic,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,14,2005,2023,19,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,168,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from Czech Statistical Office (CSO) to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source Czech Statistical Office (CSO) expected at https://www.czso.cz/csu/czso/business-statistics; Expected: 14 territories, 2005-2023; Borderline territory count (14 territories). n_samples = 168. Marginal eligibility.",168,True
DE,Germany,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,401,2008,2022,15,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,4812,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from Destatis Unternehmensregister AND semantic verification of enterprise_birth concept before integration.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source Destatis Unternehmensregister expected at https://www.destatis.de/EN/Themes/Economic-Sectors-Enterprises/Enterprises/Business-Notifications/_node.html; Expected: 401 territories, 2008-2022; Semantic risk: Gewerbemeldungen concept may differ from Eurostat enterprise_birth; verification against Eurostat counts required before integration.",4812,True
DK,Denmark,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,12,2007,2023,17,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,144,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from Statistics Denmark (DST) to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source Statistics Denmark (DST) expected at https://www.dst.dk/en/Statistik/emner/erhvervslivets-sektorer/virksomheder; Expected: 12 territories, 2007-2023; Borderline territory count (12 territories). n_samples = 144. Marginal eligibility.",144,True
EE,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,5,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
EL,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,52,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
ES,Spain,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,50,2007,2023,17,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,600,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from INE DIRCE (Directorio Central de Empresas) to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source INE DIRCE (Directorio Central de Empresas) expected at https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736160707; Expected: 50 territories, 2007-2023",600,True
