country,year,cr_code,cr_name,gm_code,gm_name,region_level,sector_a10,observed_births_corop,stock_observed_gemeente,stock_total_corop,stock_share_within_corop,estimated_births_gemeente,evidence_status,evidence_type,proxy_method,source_birth_table,source_stock_table
NL,2007,nan,,GM0000,,gemeente,BE,,0.0,6645.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2008,nan,,GM0000,,gemeente,BE,,0.0,6970.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2009,nan,,GM0000,,gemeente,BE,,0.0,7065.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2010,nan,,GM0000,,gemeente,BE,,0.0,6820.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2011,nan,,GM0000,,gemeente,BE,,0.0,5670.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2012,nan,,GM0000,,gemeente,BE,,0.0,5530.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2013,nan,,GM0000,,gemeente,BE,,0.0,5205.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2014,nan,,GM0000,,gemeente,BE,,0.0,4975.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2015,nan,,GM0000,,gemeente,BE,,0.0,4455.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2016,nan,,GM0000,,gemeente,BE,,0.0,3850.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2017,nan,,GM0000,,gemeente,BE,,0.0,3400.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2018,nan,,GM0000,,gemeente,BE,,0.0,2675.0,0.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2019,nan,,GM0000,,gemeente,BE,,1190.0,1190.0,1.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2020,nan,,GM0000,,gemeente,BE,,1220.0,1220.0,1.0,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
NL,2021,nan,,GM0000,,gemeente,BE,,1210.0,1400.0,0.8642857142857143,,no_corop_births_data,proxy_disaggregated_by_stock_share,corop_births_allocated_by_gemeente_stock_share,83631NED,81575NED
