gm_code,gm_name,cr_code,cr_name
GM1680,Aa en Hunze,CR07,Noord-Drenthe
GM0358,Aalsmeer,CR23,Groot-Amsterdam
GM0197,Aalten,CR14,Achterhoek
GM0059,Achtkarspelen,CR04,Noord-Friesland
GM0482,Alblasserdam,CR30,Zuidoost-Zuid-Holland
GM0613,Albrandswaard,CR29,Groot-Rijnmond
GM0361,Alkmaar,CR19,Alkmaar en omgeving
GM0141,Almelo,CR12,Twente
GM0034,Almere,CR40,Flevoland
GM0484,Alphen aan den Rijn,CR28,Oost-Zuid-Holland
GM1723,Alphen-Chaam,CR34,Midden-Noord-Brabant
GM1959,Altena,CR34,Midden-Noord-Brabant
GM0060,Ameland,CR04,Noord-Friesland
GM0307,Amersfoort,CR17,Utrecht
GM0362,Amstelveen,CR23,Groot-Amsterdam
GM0363,Amsterdam,CR23,Groot-Amsterdam
GM0200,Apeldoorn,CR13,Veluwe
GM0003,Appingedam,CR02,Delfzijl en omgeving
GM0202,Arnhem,CR15,Arnhem/Nijmegen
GM0106,Assen,CR07,Noord-Drenthe
GM0743,Asten,CR36,Zuidoost-Noord-Brabant
GM0744,Baarle-Nassau,CR34,Midden-Noord-Brabant
GM0308,Baarn,CR17,Utrecht
GM0489,Barendrecht,CR29,Groot-Rijnmond
GM0203,Barneveld,CR13,Veluwe
GM0888,Beek,CR39,Zuid-Limburg
GM1954,Beekdaelen,CR39,Zuid-Limburg
GM0370,Beemster,CR23,Groot-Amsterdam
GM0889,Beesel,CR37,Noord-Limburg
GM1945,Berg en Dal,CR15,Arnhem/Nijmegen
GM1724,Bergeijk,CR36,Zuidoost-Noord-Brabant
GM0893,Bergen (L.),CR37,Noord-Limburg
GM0373,Bergen (NH.),CR19,Alkmaar en omgeving
GM0748,Bergen op Zoom,CR33,West-Noord-Brabant
GM1859,Berkelland,CR14,Achterhoek
GM1721,Bernheze,CR35,Noordoost-Noord-Brabant
GM0753,Best,CR36,Zuidoost-Noord-Brabant
GM0209,Beuningen,CR15,Arnhem/Nijmegen
GM0375,Beverwijk,CR20,IJmond
GM0310,De Bilt,CR17,Utrecht
