country,gm_code,gm_name,cr_code,cr_name,region_level,year,evidence_type,source_table,sector_BE,sector_FZ,sector_GI,sector_JZ,sector_KZ,sector_LZ,sector_MN,sector_OQ,sector_RU,total_stock_all_sectors
NL,GM0000,,,,gemeente,2007,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2008,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2009,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2010,observed_stock,81575NED,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NL,GM0000,,,,gemeente,2011,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2012,observed_stock,81575NED,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NL,GM0000,,,,gemeente,2013,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2014,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2015,observed_stock,81575NED,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NL,GM0000,,,,gemeente,2016,observed_stock,81575NED,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NL,GM0000,,,,gemeente,2017,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2018,observed_stock,81575NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,GM0000,,,,gemeente,2019,observed_stock,81575NED,1190.0,90.0,1195.0,580.0,90.0,15.0,675.0,110.0,80.0,4025.0
NL,GM0000,,,,gemeente,2020,observed_stock,81575NED,1220.0,95.0,1255.0,625.0,100.0,15.0,725.0,125.0,90.0,4250.0
NL,GM0000,,,,gemeente,2021,observed_stock,81575NED,1210.0,85.0,1245.0,665.0,90.0,10.0,715.0,140.0,105.0,4265.0
NL,GM0000,,,,gemeente,2022,observed_stock,81575NED,1280.0,95.0,1265.0,815.0,105.0,10.0,855.0,175.0,150.0,4750.0
NL,GM0000,,,,gemeente,2023,observed_stock,81575NED,1235.0,90.0,1255.0,840.0,110.0,10.0,845.0,170.0,140.0,4695.0
NL,GM0000,,,,gemeente,2024,observed_stock,81575NED,1200.0,80.0,1285.0,815.0,90.0,10.0,980.0,175.0,155.0,4790.0
NL,GM0000,,,,gemeente,2025,observed_stock,81575NED,1105.0,80.0,1225.0,710.0,95.0,15.0,905.0,175.0,145.0,4455.0
NL,GM0003,Appingedam,CR02,Delfzijl en omgeving,gemeente,2007,observed_stock,81575NED,20.0,45.0,190.0,10.0,30.0,5.0,75.0,25.0,60.0,460.0
NL,GM0003,Appingedam,CR02,Delfzijl en omgeving,gemeente,2008,observed_stock,81575NED,25.0,60.0,195.0,10.0,30.0,10.0,80.0,25.0,65.0,500.0
NL,GM0003,Appingedam,CR02,Delfzijl en omgeving,gemeente,2009,observed_stock,81575NED,20.0,50.0,200.0,15.0,35.0,10.0,80.0,25.0,65.0,500.0
NL,GM0003,Appingedam,CR02,Delfzijl en omgeving,gemeente,2010,observed_stock,81575NED,20.0,55.0,205.0,15.0,35.0,10.0,80.0,30.0,70.0,520.0
NL,GM0003,Appingedam,CR02,Delfzijl en omgeving,gemeente,2011,observed_stock,81575NED,20.0,50.0,200.0,20.0,35.0,15.0,75.0,30.0,75.0,520.0
