country,region_id,region_name,region_level,year,node_idx,target_births,lag1_births,lag2_births,lag3_births,growth_1y,growth_2y,stock_lag1,sector_BE,sector_FZ,sector_GI,sector_JZ,sector_KZ,sector_LZ,sector_MN,sector_OQ,sector_RU,mask_sector_a10,mask_target,mask_employment,mask_tensor,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,flag_is_covid_year,flag_is_rebound_year,flag_forecast_safe,meta_nuts3_code,meta_region_system,meta_source_label,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1,mask_eu_signals
NL,CR01,Oost-Groningen,COROP,2015,0,885.0,,,,,,,35.0,90.0,255.0,40.0,35.0,15.0,185.0,40.0,115.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,0,,COROP,CBS,76.3,8.4,,100.35833333333333,,0.0,1.6,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2016,0,915.0,885.0,,,,,11030.0,45.0,85.0,225.0,30.0,35.0,10.0,165.0,170.0,125.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,77.2,7.9,,104.375,,-2.0833332538604736,2.1,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2017,0,845.0,915.0,885.0,,0.03389830508474576,,11325.0,40.0,75.0,220.0,35.0,50.0,5.0,200.0,180.0,110.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2018,0,870.0,845.0,915.0,885.0,-0.07650273224043716,-0.04519774011299435,11605.0,35.0,90.0,225.0,20.0,40.0,10.0,150.0,190.0,90.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,78.9,5.9,,109.85833333333333,,-6.249999761581421,2.8,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2019,0,895.0,870.0,845.0,915.0,0.029585798816568046,-0.04918032786885246,10975.0,40.0,90.0,200.0,25.0,55.0,10.0,170.0,155.0,125.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,80.0,4.9,,109.85833333333335,,-8.333333015441895,2.3,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2020,0,995.0,895.0,870.0,845.0,0.028735632183908046,0.05917159763313609,11385.0,35.0,95.0,220.0,50.0,25.0,10.0,170.0,180.0,115.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,81.0,4.4,,104.47500000000001,,-8.333333015441895,2.3,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2021,0,965.0,995.0,895.0,870.0,0.11173184357541899,0.14367816091954022,11730.0,50.0,120.0,270.0,40.0,45.0,10.0,190.0,160.0,115.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,80.8,4.9,,88.26666666666665,,2.0833332538604736,-3.9,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2022,0,1010.0,965.0,995.0,895.0,-0.03015075376884422,0.0782122905027933,12090.0,55.0,115.0,265.0,30.0,30.0,15.0,180.0,165.0,105.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,81.7,4.2,,107.62500000000001,,0.0,6.3,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2023,0,1090.0,1010.0,965.0,995.0,0.046632124352331605,0.01507537688442211,12805.0,60.0,160.0,215.0,25.0,25.0,10.0,175.0,195.0,135.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,82.9,3.5,,98.78333333333332,,0.0,5.0,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2024,0,1060.0,1090.0,1010.0,965.0,0.07920792079207921,0.12953367875647667,13140.0,55.0,210.0,235.0,25.0,15.0,15.0,235.0,175.0,120.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,83.5,3.6,,95.03333333333332,,0.0,-0.6,0.7142857142857143
NL,CR01,Oost-Groningen,COROP,2025,0,930.0,1060.0,1090.0,1010.0,-0.027522935779816515,0.04950495049504951,13800.0,50.0,160.0,275.0,30.0,15.0,10.0,245.0,160.0,120.0,1.0,1.0,1.0,1.0,enterprise_birth,1,1,0,0,1,,COROP,CBS,83.5,3.7,,99.30833333333332,,-2.083333333333333,1.1,0.7142857142857143
