country,region_id,region_name,region_level,year,node_idx,target_births,lag1_births,lag2_births,lag3_births,growth_1y,growth_2y,business_sector_total,sector_BE,sector_FZ,sector_GI,sector_JZ,sector_LZ,sector_MN,sector_OQ,sector_RU,sector_KZ,mask_sector_a10,mask_target,mask_employment,mask_tensor,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,flag_is_covid_year,flag_is_rebound_year,flag_forecast_safe,meta_nuts3_code,meta_region_system,meta_source_label,source_indicator,source_geocod,nuts_version,is_continental,available_for_forecast_year
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2008,0,250,,,,,,250,6,40,64,3,8,71,41,17,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2009,0,223,250.0,,,-0.108,,223,7,28,72,1,2,45,60,8,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2010,0,225,223.0,250.0,,0.008968609865470852,-0.1,225,8,31,60,4,5,48,60,9,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2011,0,230,225.0,223.0,250.0,0.022222222222222223,0.03139013452914798,230,8,37,74,1,2,57,40,11,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2012,0,169,230.0,225.0,223.0,-0.26521739130434785,-0.24888888888888888,169,6,25,50,2,2,39,32,13,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2013,0,795,169.0,230.0,225.0,3.7041420118343193,2.4565217391304346,795,6,36,81,1,3,37,615,16,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2014,0,679,795.0,169.0,230.0,-0.1459119496855346,3.0177514792899407,679,16,28,86,2,4,31,489,23,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2015,0,367,679.0,795.0,169.0,-0.45949926362297494,-0.5383647798742138,367,14,38,82,1,4,48,166,14,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2016,0,322,367.0,679.0,795.0,-0.1226158038147139,-0.5257731958762887,322,21,45,74,2,7,50,107,16,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2017,0,305,322.0,367.0,679.0,-0.052795031055900624,-0.16893732970027248,305,9,20,77,2,9,56,120,12,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2018,0,430,305.0,322.0,367.0,0.4098360655737705,0.33540372670807456,430,17,48,108,5,4,63,168,17,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2019,0,327,430.0,305.0,322.0,-0.23953488372093024,0.07213114754098361,327,7,40,67,1,13,55,118,26,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,0,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2020,0,298,327.0,430.0,305.0,-0.08868501529051988,-0.30697674418604654,298,11,40,70,3,6,48,106,14,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,1,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
PT,1111601,Arcos de Valdevez,MUNICIPALITY,2021,0,367,298.0,327.0,430.0,0.23154362416107382,0.12232415902140673,367,6,39,86,3,8,61,147,17,,1.0,1.0,0.0,0.0,enterprise_birth,0,0,1,0,0,,MUNICIPALITY_CONTINENTE,INE_0009703_0014099,0009703,1111601,NUTS2013,True,1
