ZE2020,flores_total_establishments_t_minus_1,flores_etab_az_t_minus_1,flores_etab_de_t_minus_1,flores_etab_c1_t_minus_1,flores_etab_c2_t_minus_1,flores_etab_c3_t_minus_1,flores_etab_c4_t_minus_1,flores_etab_c5_t_minus_1,flores_etab_fz_t_minus_1,flores_etab_gz_t_minus_1,flores_etab_hz_t_minus_1,flores_etab_iz_t_minus_1,flores_etab_jz_t_minus_1,flores_etab_kz_t_minus_1,flores_etab_lz_t_minus_1,flores_etab_mn_t_minus_1,flores_etab_oq_t_minus_1,flores_etab_ru_t_minus_1,flores_total_salaried_jobs_t_minus_1,source_year,flores_herfindahl_t_minus_1,flores_dominant_sector_weight_t_minus_1,flores_growth_etab_1y_t_minus_1,target_year
0051,4166,501.0,45.0,117.0,0.0,12.0,10.0,118.0,440.0,756.0,93.0,252.0,39.0,155.0,51.0,363.0,818.0,396.0,42854,2017,0.1212308035536286,0.19635141622659624,,2018
0051,4135,505.0,45.0,111.0,0.0,12.0,11.0,116.0,435.0,740.0,90.0,255.0,39.0,159.0,52.0,368.0,815.0,382.0,42122,2018,0.12095530384001849,0.19709794437726724,-0.007441190590494529,2019
0051,4303,567.0,48.0,112.0,0.0,11.0,11.0,111.0,445.0,751.0,82.0,277.0,43.0,167.0,57.0,396.0,838.0,387.0,43129,2019,0.12077220066376793,0.1947478503369742,0.04062877871825887,2020
0051,4284,558.0,47.0,108.0,0.0,13.0,9.0,112.0,456.0,770.0,78.0,272.0,41.0,161.0,57.0,390.0,833.0,379.0,43628,2020,0.12202135756263291,0.19444444444444445,-0.004415524052986286,2021
0051,4331,566.0,48.0,113.0,0.0,13.0,9.0,112.0,473.0,772.0,82.0,274.0,47.0,162.0,59.0,401.0,821.0,379.0,43615,2021,0.12049290416808454,0.1895636111752482,0.010971055088702109,2022
0051,4403,590.0,47.0,115.0,0.0,13.0,11.0,111.0,477.0,780.0,80.0,285.0,46.0,160.0,57.0,410.0,827.0,394.0,43793,2022,0.12059628990598517,0.18782648194412901,0.01662433618102055,2023
0051,4407,612.0,49.0,115.0,,13.0,10.0,116.0,475.0,778.0,82.0,283.0,42.0,158.0,54.0,414.0,810.0,396.0,44521,2023,0.12025616362441725,0.18379850238257317,0.0009084714967066976,2024
0052,5733,660.0,44.0,129.0,0.0,8.0,2.0,194.0,551.0,1165.0,135.0,723.0,73.0,185.0,150.0,594.0,587.0,533.0,41827,2017,0.11370603155009228,0.20320948892377463,,2018
0052,5753,668.0,41.0,133.0,0.0,6.0,3.0,191.0,552.0,1155.0,142.0,758.0,72.0,184.0,157.0,611.0,563.0,517.0,40949,2018,0.1135101060038386,0.20076481835564053,0.00348857491714627,2019
0052,5991,715.0,43.0,132.0,0.0,6.0,4.0,196.0,572.0,1199.0,149.0,794.0,72.0,197.0,166.0,636.0,572.0,538.0,42879,2019,0.11364793810645861,0.200133533633784,0.04136972014601081,2020
0052,6022,733.0,57.0,127.0,0.0,9.0,3.0,192.0,581.0,1217.0,152.0,786.0,73.0,200.0,166.0,631.0,575.0,520.0,42991,2020,0.11375432778803639,0.20209232813018932,0.005174428309130397,2021
0052,6283,758.0,60.0,139.0,0.0,9.0,3.0,208.0,606.0,1280.0,169.0,808.0,81.0,204.0,163.0,696.0,567.0,532.0,44651,2021,0.11377963505959265,0.20372433550851504,0.04334108269677839,2022
0052,6367,762.0,62.0,147.0,0.0,9.0,3.0,209.0,624.0,1297.0,175.0,826.0,83.0,203.0,156.0,718.0,560.0,533.0,45117,2022,0.11396522961065664,0.20370661221925554,0.013369409517746345,2023
0052,6483,762.0,61.0,147.0,,9.0,2.0,206.0,623.0,1311.0,191.0,846.0,78.0,222.0,168.0,724.0,586.0,547.0,46358,2023,0.11320474633772652,0.2022211938917168,0.01821894141667979,2024
0053,11130,584.0,71.0,226.0,0.0,30.0,10.0,343.0,1257.0,2499.0,396.0,926.0,205.0,496.0,240.0,1509.0,1210.0,1128.0,114037,2017,0.11878219425897805,0.22452830188679246,,2018
0053,11081,567.0,70.0,212.0,0.0,33.0,11.0,333.0,1296.0,2495.0,399.0,964.0,194.0,481.0,230.0,1506.0,1202.0,1088.0,112478,2018,0.11967768723993759,0.22516018409890803,-0.004402515723270439,2019
0053,11611,630.0,74.0,212.0,0.0,37.0,10.0,336.0,1424.0,2580.0,433.0,1022.0,204.0,508.0,231.0,1574.0,1226.0,1110.0,113775,2019,0.11900373697140845,0.22220308328309363,0.047829618265499585,2020
0053,11602,629.0,76.0,217.0,0.0,39.0,10.0,336.0,1439.0,2532.0,420.0,999.0,201.0,492.0,232.0,1612.0,1242.0,1126.0,115093,2020,0.11860090995373443,0.21823823478710566,-0.0007751270347085004,2021
0053,12006,628.0,84.0,217.0,0.0,39.0,12.0,342.0,1534.0,2618.0,462.0,1066.0,212.0,497.0,233.0,1665.0,1267.0,1130.0,118521,2021,0.11880265375669098,0.2180576378477428,0.03482158248577827,2022
0053,12157,632.0,80.0,229.0,0.0,38.0,15.0,334.0,1607.0,2608.0,475.0,1066.0,220.0,502.0,253.0,1674.0,1287.0,1137.0,119149,2022,0.11795857992910055,0.2145266101834334,0.012577044810927918,2023
0053,12283,621.0,84.0,233.0,,37.0,12.0,324.0,1584.0,2636.0,488.0,1092.0,210.0,516.0,257.0,1707.0,1307.0,1175.0,120635,2023,0.11811835521147987,0.2146055523894814,0.010364399111622902,2024
0054,7504,531.0,76.0,159.0,0.0,42.0,11.0,301.0,973.0,1388.0,258.0,466.0,82.0,258.0,138.0,807.0,1357.0,657.0,85670,2017,0.11683846795568308,0.1849680170575693,,2018
0054,7492,515.0,75.0,152.0,0.0,41.0,12.0,297.0,974.0,1376.0,267.0,493.0,80.0,241.0,134.0,839.0,1355.0,641.0,86033,2018,0.11711445759263699,0.18366257341163908,-0.0015991471215351938,2019
0054,7728,588.0,72.0,160.0,0.0,40.0,14.0,295.0,995.0,1387.0,267.0,519.0,85.0,265.0,142.0,862.0,1368.0,669.0,87718,2019,0.11519101575727961,0.17947722567287785,0.031500266951414835,2020
0054,7711,597.0,75.0,156.0,0.0,40.0,16.0,292.0,1007.0,1400.0,272.0,523.0,83.0,231.0,136.0,857.0,1375.0,651.0,86592,2020,0.11642665268023267,0.1815588120866295,-0.0021997929606625277,2021
0054,7914,622.0,73.0,167.0,0.0,40.0,16.0,291.0,1059.0,1408.0,276.0,558.0,90.0,233.0,144.0,910.0,1366.0,661.0,87157,2021,0.11515352459970714,0.17791256002021733,0.02632602775256121,2022
0054,7960,625.0,75.0,157.0,0.0,39.0,16.0,288.0,1036.0,1439.0,281.0,565.0,94.0,239.0,150.0,903.0,1380.0,673.0,87322,2022,0.11535406302871139,0.1807788944723618,0.005812484205205859,2023
0054,8068,659.0,72.0,163.0,,37.0,16.0,282.0,1032.0,1463.0,279.0,559.0,95.0,244.0,150.0,927.0,1391.0,699.0,89129,2023,0.11547806092438369,0.1813336638572137,0.013567839195979925,2024
0055,2453,187.0,40.0,60.0,0.0,13.0,3.0,116.0,300.0,443.0,83.0,229.0,22.0,100.0,48.0,286.0,287.0,236.0,26768,2017,0.10503723570180128,0.18059518956379944,,2018
