source_sector,target_sector,fr_label,n_windows,n_perm001,n_bss095,n_promoted,n_near_miss_beta,n_near_miss_fdr,min_q,max_abs_beta,max_dr2,mean_bss,max_bss,n_pre_covid_p001,n_covid_era_p001
BE,FZ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.6851,0.0251,0.000625,0.6455,0.832,0,0
BE,GI,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.369,0.0501,0.00251,0.686,0.974,0,0
BE,JZ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.468,0.0528,0.002786,0.7151,0.942,0,0
BE,KZ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.6679,0.0575,0.003303,0.6705,0.902,0,0
BE,LZ,FR_WEAK_SIGNAL,11,0,2,0,0,0,0.432,0.0731,0.005341,0.8315,0.986,0,0
BE,MN,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.36,0.0438,0.00191,0.7829,0.976,0,0
BE,OQ,FR_WEAK_SIGNAL,11,0,5,0,0,0,0.27,0.0608,0.00369,0.8844,0.984,0,0
BE,RU,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.3384,0.0828,0.006841,0.7353,0.97,0,0
FZ,BE,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.6851,0.0282,0.000794,0.6793,0.896,0,0
FZ,GI,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.598,0.0551,0.002988,0.77,0.914,0,0
FZ,JZ,FR_FDR_ONLY_BLOCKED,11,0,3,0,0,1,0.261,0.1029,0.010515,0.7969,0.99,0,0
FZ,KZ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.5367,0.0411,0.001692,0.6816,0.874,0,0
FZ,LZ,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.384,0.0709,0.005019,0.9067,0.98,0,0
FZ,MN,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.4903,0.0468,0.002181,0.7245,0.964,0,0
FZ,OQ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.495,0.0416,0.001727,0.6822,0.906,0,0
FZ,RU,FR_FDR_ONLY_BLOCKED,11,3,3,0,0,2,0.072,0.137,0.018715,0.7742,1.0,3,0
GI,BE,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.261,0.0889,0.007815,0.7825,0.968,0,0
GI,FZ,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.261,0.0838,0.006607,0.7462,0.974,0,0
GI,JZ,FR_FDR_ONLY_BLOCKED,11,1,1,0,0,1,0.144,0.1274,0.016229,0.8384,0.998,1,0
GI,KZ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.328,0.0927,0.008539,0.7882,0.948,0,0
GI,LZ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.8577,0.0148,0.000219,0.6227,0.708,0,0
GI,MN,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.528,0.0315,0.000991,0.7435,0.876,0,0
GI,OQ,FR_WEAK_SIGNAL,11,0,2,0,0,0,0.261,0.0981,0.009618,0.7658,0.982,0,0
GI,RU,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.5091,0.0716,0.005124,0.7391,0.958,0,0
JZ,BE,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.261,0.0924,0.00852,0.74,0.986,0,0
JZ,FZ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.528,0.0338,0.001142,0.7342,0.898,0,0
JZ,GI,FR_WEAK_SIGNAL,11,1,5,0,0,0,0.09,0.0763,0.005821,0.8529,0.992,0,1
JZ,KZ,FR_WEAK_SIGNAL,11,1,1,0,0,0,0.108,0.0933,0.008696,0.7685,0.974,1,0
JZ,LZ,FR_WEAK_SIGNAL,11,0,2,0,0,0,0.216,0.0625,0.003902,0.8327,0.982,0,0
JZ,MN,FR_WEAK_SIGNAL,11,1,4,0,0,0,0.216,0.0812,0.006559,0.8513,1.0,1,0
JZ,OQ,FR_WEAK_SIGNAL,11,0,0,0,0,0,0.4423,0.0482,0.002328,0.7782,0.93,0,0
JZ,RU,FR_WEAK_SIGNAL,11,0,1,0,0,0,0.501,0.0489,0.002382,0.7838,0.952,0,0
